,Date,Open,High,Low,Close,Adj Close,Volume
0,1996-01-02,3.164063,3.222656,3.140625,3.222656,2.009995,3060267
1,1996-01-03,3.351563,3.363281,3.210938,3.292969,2.05385,12903467
2,1996-01-04,3.398438,3.550781,3.398438,3.503906,2.185412,3607467
3,1996-01-05,3.75,3.9375,3.714844,3.867188,2.411995,3552000
4,1996-01-08,4.21875,4.21875,3.996094,3.996094,2.492393,1383467
5,1996-01-09,4.03125,4.054688,3.703125,3.703125,2.309667,2754133
6,1996-01-10,3.726563,3.726563,3.527344,3.609375,2.251194,1164800
7,1996-01-11,3.861328,3.902344,3.808594,3.867188,2.411995,1862400
8,1996-01-12,3.914063,3.984375,3.820313,3.9375,2.455848,800000
9,1996-01-15,3.996094,4.03125,3.808594,3.808594,2.375448,780800
10,1996-01-16,3.9375,3.9375,3.785156,3.832031,2.390066,992000
11,1996-01-17,3.773438,3.984375,3.703125,3.890625,2.426612,552533
12,1996-01-18,3.914063,3.914063,3.785156,3.84375,2.397376,1171200
13,1996-01-19,3.902344,4.125,3.84375,4.125,2.572794,1019733
14,1996-01-22,4.054688,4.054688,3.908203,3.960938,2.470466,738133
15,1996-01-23,3.966797,4.03125,3.960938,3.960938,2.470466,825600
16,1996-01-24,4.019531,4.089844,4.019531,4.078125,2.543557,756267
17,1996-01-25,4.113281,4.3125,4.007813,4.007813,2.499702,1483733
18,1996-01-26,4.125,4.171875,4.066406,4.113281,2.565484,846933
19,1996-01-29,4.242188,4.265625,4.171875,4.207031,2.623956,1782400
20,1996-01-30,4.195313,4.242188,4.125,4.148438,2.587412,1269333
21,1996-01-31,4.171875,4.195313,4.113281,4.195313,2.616648,408533
22,1996-02-01,4.171875,4.347656,4.03125,4.335938,2.704357,1689600
23,1996-02-02,4.242188,4.335938,4.242188,4.335938,2.704357,820267
24,1996-02-05,4.371094,4.429688,4.289063,4.359375,2.718975,5460267
25,1996-02-06,4.265625,4.382813,4.265625,4.265625,2.660502,1521067
26,1996-02-07,4.265625,4.335938,4.125,4.148438,2.587412,855467
27,1996-02-08,4.523438,4.523438,4.3125,4.40625,2.748211,2496000
28,1996-02-09,4.476563,4.476563,4.359375,4.359375,2.718975,359467
29,1996-02-12,4.3125,4.535156,4.3125,4.488281,2.799374,3566933
30,1996-02-13,4.359375,4.453125,4.3125,4.3125,2.689739,696533
31,1996-02-14,4.335938,4.350586,4.21875,4.3125,2.689739,2064000
32,1996-02-15,4.21875,4.230469,4.013672,4.101563,2.558176,2172800
33,1996-02-16,4.21875,4.289063,4.183594,4.195313,2.616648,2168533
34,1996-02-20,4.6875,4.898438,4.675781,4.734375,2.952865,3281067
35,1996-02-21,4.851563,4.96875,4.828125,4.945313,3.084429,2778667
36,1996-02-22,4.945313,4.96875,4.851563,4.886719,3.047884,2236800
37,1996-02-23,4.851563,4.921875,4.78125,4.851563,3.025957,1942400
38,1996-02-26,4.851563,4.863281,4.804688,4.828125,3.011337,647467
39,1996-02-27,4.757813,4.757813,4.523438,4.546875,2.835921,2971733
40,1996-02-28,4.464844,4.59375,4.3125,4.335938,2.704357,4777600
41,1996-02-29,4.476563,4.59375,4.476563,4.546875,2.835921,3537067
42,1996-03-01,4.59375,4.664063,4.3125,4.453125,2.777447,3332267
43,1996-03-04,4.464844,4.476563,4.136719,4.3125,2.689739,4826667
44,1996-03-05,4.242188,4.359375,4.037109,4.277344,2.667812,8796800
45,1996-03-06,4.066406,4.148438,3.773438,3.867188,2.411995,9713067
46,1996-03-07,3.75,3.820313,3.679688,3.75,2.338903,35539200
47,1996-03-08,3.703125,3.75,3.679688,3.726563,2.324286,6310400
48,1996-03-11,3.726563,3.84375,3.703125,3.832031,2.390066,4316800
49,1996-03-12,3.820313,3.84375,3.75,3.820313,2.382758,2480000
50,1996-03-13,3.867188,3.890625,3.820313,3.84375,2.397376,4074667
51,1996-03-14,3.84375,3.855469,3.75,3.767578,2.349867,3333333
52,1996-03-15,3.773438,3.84375,3.75,3.808594,2.375448,2466133
53,1996-03-18,3.84375,4.007813,3.84375,4.007813,2.499702,2958933
54,1996-03-19,4.03125,4.101563,3.890625,3.960938,2.470466,1714133
55,1996-03-20,3.9375,3.960938,3.820313,3.914063,2.441231,1385600
56,1996-03-21,3.878906,3.925781,3.84375,3.925781,2.448539,1270400
57,1996-03-22,3.949219,3.984375,3.84375,3.960938,2.470466,3634133
58,1996-03-25,3.75,3.890625,3.703125,3.890625,2.426612,1131733
59,1996-03-26,3.867188,3.914063,3.84375,3.902344,2.433921,827733
60,1996-03-27,3.867188,3.9375,3.767578,3.767578,2.349867,3281067
61,1996-03-28,3.855469,3.890625,3.773438,3.820313,2.382758,4114133
62,1996-03-29,3.867188,3.867188,3.75,3.785156,2.360831,1674667
63,1996-04-01,3.832031,3.84375,3.773438,3.832031,2.390066,117333
64,1996-04-02,3.84375,3.9375,3.796875,3.9375,2.455848,3022933
65,1996-04-03,4.007813,4.078125,3.949219,4.066406,2.536248,1801600
66,1996-04-04,4.101563,4.101563,4.03125,4.089844,2.550867,680533
67,1996-04-08,3.996094,4.101563,3.960938,4.03125,2.514321,1601067
68,1996-04-09,4.113281,4.125,4.042969,4.048828,2.525285,1292800
69,1996-04-10,3.98877,4.101563,3.98877,4.078125,2.543557,1630933
70,1996-04-11,4.054688,4.078125,4.007813,4.078125,2.543557,3310933
71,1996-04-12,4.078125,4.078125,4.03125,4.03125,2.514321,1601067
72,1996-04-15,4.054688,4.078125,4.03125,4.069336,2.538076,1084800
73,1996-04-16,4.136719,4.21875,4.078125,4.171875,2.60203,1213867
74,1996-04-17,4.148438,4.230469,4.148438,4.171875,2.60203,507733
75,1996-04-18,4.171875,4.289063,4.125,4.289063,2.67512,404267
76,1996-04-19,4.242188,4.242188,4.21875,4.21875,2.631266,124800
77,1996-04-22,4.230469,4.242188,4.171875,4.207031,2.623956,238933
78,1996-04-23,4.148438,4.3125,4.148438,4.253906,2.653192,696533
79,1996-04-24,4.277344,4.277344,4.183594,4.183594,2.609339,578133
80,1996-04-25,4.207031,4.265625,4.183594,4.265625,2.660502,294400
81,1996-04-26,4.195313,4.265625,4.195313,4.21875,2.631266,50133
82,1996-04-29,4.171875,4.21875,4.171875,4.171875,2.60203,117333
83,1996-04-30,4.148438,4.195313,4.125,4.148438,2.587412,258133
84,1996-05-01,4.125,4.171875,4.101563,4.148438,2.587412,771200
85,1996-05-02,4.101563,4.113281,4.03125,4.101563,2.558176,1274667
86,1996-05-03,4.03125,4.113281,4.03125,4.089844,2.550867,860800
87,1996-05-06,4.125,4.160156,4.089844,4.160156,2.59472,1466667
88,1996-05-07,4.148438,4.289063,4.136719,4.265625,2.660502,11600000
89,1996-05-08,4.289063,4.289063,4.195313,4.289063,2.67512,2026667
90,1996-05-09,4.242188,4.242188,4.21875,4.21875,2.631266,247467
91,1996-05-10,4.21875,4.21875,4.148438,4.148438,2.587412,393600
92,1996-05-13,4.148438,4.207031,4.148438,4.195313,2.616648,747733
93,1996-05-14,4.230469,4.289063,4.195313,4.21875,2.631266,217600
94,1996-05-15,4.265625,4.5,4.265625,4.453125,2.777447,860800
95,1996-05-16,4.453125,4.453125,4.40625,4.429688,2.76283,54400
96,1996-05-17,4.359375,4.488281,4.359375,4.453125,2.777447,609067
97,1996-05-20,4.435547,4.453125,4.394531,4.453125,2.777447,1642667
98,1996-05-21,4.40625,4.429688,4.371094,4.394531,2.740902,169600
99,1996-05-22,4.359375,4.382813,4.359375,4.371094,2.726285,380800
100,1996-05-23,4.242188,4.253906,4.03125,4.113281,2.565484,1864533
101,1996-05-24,4.289063,4.289063,4.242188,4.289063,2.67512,878933
102,1996-05-28,4.335938,4.335938,4.265625,4.271484,2.664156,570667
103,1996-05-29,4.3125,4.3125,4.265625,4.277344,2.667812,477867
104,1996-05-30,4.277344,4.382813,4.277344,4.359375,2.718975,387200
105,1996-05-31,4.382813,4.453125,4.324219,4.429688,2.76283,916267
106,1996-06-03,4.453125,4.5,4.429688,4.476563,2.792066,382933
107,1996-06-04,4.59375,4.6875,4.59375,4.59375,2.865157,721067
108,1996-06-05,4.617188,4.664063,4.59375,4.605469,2.872467,1102933
109,1996-06-06,4.640625,4.652344,4.570313,4.570313,2.850539,1579733
110,1996-06-07,4.476563,4.535156,4.453125,4.488281,2.799374,564267
111,1996-06-10,4.523438,4.546875,4.476563,4.523438,2.821302,1400533
112,1996-06-11,4.453125,4.453125,4.242188,4.253906,2.653192,1570133
113,1996-06-12,4.371094,4.429688,4.335938,4.40625,2.748211,2311467
114,1996-06-13,4.429688,4.476563,4.417969,4.429688,2.76283,1305600
115,1996-06-14,4.371094,4.40625,4.359375,4.371094,2.726285,976000
116,1996-06-17,4.324219,4.335938,4.224609,4.242188,2.645885,2349867
117,1996-06-18,4.253906,4.277344,3.9375,4.066406,2.536248,4691200
118,1996-06-19,4.066406,4.089844,3.960938,4.007813,2.499702,3546667
119,1996-06-20,3.972656,4.125,3.972656,4.078125,2.543557,2966400
120,1996-06-21,4.171875,4.171875,3.925781,4.03125,2.514321,2417067
121,1996-06-24,3.9375,4.007813,3.9375,3.960938,2.470466,2947200
122,1996-06-25,3.890625,3.960938,3.832031,3.84375,2.397376,2558933
123,1996-06-26,3.855469,3.855469,3.726563,3.738281,2.331594,4611200
124,1996-06-27,3.679688,3.878906,3.679688,3.84375,2.397376,1974400
125,1996-06-28,3.902344,3.914063,3.820313,3.84375,2.397376,497067
