,Date,Open,High,Low,Close,Adj Close,Volume
0,1996-01-02,15.0,15.0,14.833333,14.916667,10.975445,161100
1,1996-01-03,15.0,15.333333,14.833333,15.166667,11.159391,365700
2,1996-01-04,15.166667,15.291667,14.958333,14.958333,11.006103,388500
3,1996-01-05,14.916667,15.0,14.75,14.75,10.852814,189300
4,1996-01-08,14.916667,14.916667,14.666667,14.75,10.852814,58200
5,1996-01-09,14.666667,14.75,14.333333,14.541667,10.699528,328500
6,1996-01-10,14.333333,14.583333,14.166667,14.333333,10.546236,277500
7,1996-01-11,14.333333,14.333333,13.916667,14.083333,10.362291,154200
8,1996-01-12,13.916667,14.166667,13.916667,14.083333,10.362291,378600
9,1996-01-15,14.166667,14.166667,14.0,14.041667,10.331633,77400
10,1996-01-16,14.083333,14.416667,14.0,14.25,10.484923,574200
11,1996-01-17,14.416667,14.958333,14.25,14.833333,10.914128,508200
12,1996-01-18,14.833333,14.833333,14.416667,14.583333,10.730184,240600
13,1996-01-19,14.541667,14.833333,14.541667,14.833333,10.914128,484800
14,1996-01-22,14.833333,14.833333,14.583333,14.583333,10.730184,94800
15,1996-01-23,14.833333,14.833333,14.5,14.833333,10.914128,244200
16,1996-01-24,14.75,15.0,14.666667,14.916667,10.975445,191400
17,1996-01-25,14.75,15.25,14.75,15.083333,11.098076,237000
18,1996-01-26,15.125,15.416667,15.0,15.416667,11.343337,368700
19,1996-01-29,15.416667,15.416667,15.083333,15.083333,11.098076,426900
20,1996-01-30,15.333333,15.333333,15.083333,15.208333,11.190049,253500
21,1996-01-31,15.083333,15.5,15.083333,15.333333,11.282022,196500
22,1996-02-01,15.5,15.75,15.25,15.75,11.588598,479100
23,1996-02-02,15.666667,16.25,15.5,16.083332,11.833858,517500
24,1996-02-05,16.083332,16.25,16.083332,16.25,11.956493,255300
25,1996-02-06,16.25,16.5,16.083332,16.25,11.956493,420600
26,1996-02-07,16.25,16.333332,16.166668,16.166668,11.895177,101100
27,1996-02-08,16.166668,16.708332,16.166668,16.583332,12.201753,438300
28,1996-02-09,16.583332,16.666668,16.083332,16.083332,11.833858,540300
29,1996-02-12,16.0,16.166668,16.0,16.083332,11.833858,148500
30,1996-02-13,16.083332,16.541668,16.041668,16.25,11.956493,369900
31,1996-02-14,16.25,16.75,16.25,16.416668,12.079122,357300
32,1996-02-15,16.416668,16.583332,16.25,16.5,12.140435,234600
33,1996-02-16,16.25,16.5,16.083332,16.083332,11.833858,239700
34,1996-02-20,16.0,16.333332,15.833333,15.916667,11.71123,276900
35,1996-02-21,15.833333,16.0,15.666667,15.833333,11.649914,149700
36,1996-02-22,15.666667,16.166668,15.666667,16.166668,11.895177,235200
37,1996-02-23,15.916667,16.291668,15.916667,16.0,11.772542,171000
38,1996-02-26,16.0,16.25,16.0,16.0,11.772542,78600
39,1996-02-27,16.25,16.833332,16.0,16.666668,12.263069,337500
40,1996-02-28,16.708332,16.833332,16.333332,16.583332,12.201753,386100
41,1996-02-29,16.333332,16.583332,16.166668,16.166668,11.895177,151200
42,1996-03-01,16.416668,16.5,16.166668,16.25,11.956493,230400
43,1996-03-04,16.166668,16.5,16.166668,16.333332,12.017803,150600
44,1996-03-05,16.333332,16.5,16.166668,16.416668,12.079122,188100
45,1996-03-06,16.416668,16.416668,16.166668,16.166668,11.955864,121800
46,1996-03-07,16.333332,16.333332,16.0,16.0,11.832607,132300
47,1996-03-08,15.916667,16.0,15.75,15.75,11.647723,113100
48,1996-03-11,15.916667,16.083332,15.666667,16.083332,11.894237,179100
49,1996-03-12,15.916667,16.083332,15.666667,15.791667,11.678539,361500
50,1996-03-13,15.916667,16.083332,15.75,16.0,11.832607,409200
51,1996-03-14,16.083332,16.083332,15.833333,15.833333,11.709352,212400
52,1996-03-15,15.916667,16.083332,15.833333,16.083332,11.894237,252600
53,1996-03-18,16.083332,16.166668,15.916667,16.125,11.92505,239700
54,1996-03-19,16.166668,16.166668,16.0,16.083332,11.894237,266400
55,1996-03-20,16.125,16.5,16.0,16.333332,12.079118,387900
56,1996-03-21,16.5,16.5,16.333332,16.333332,12.079118,134700
57,1996-03-22,16.5,16.5,16.166668,16.333332,12.079118,102300
58,1996-03-25,16.416668,16.416668,16.166668,16.25,12.017494,176400
59,1996-03-26,16.333332,16.583332,16.166668,16.5,12.202377,310200
60,1996-03-27,16.333332,16.75,16.333332,16.75,12.387263,440100
61,1996-03-28,16.5,16.75,16.5,16.5,12.202377,408000
62,1996-03-29,16.666668,16.916668,16.583332,16.666668,12.325635,341700
63,1996-04-01,17.0,17.333332,16.75,17.083332,12.633773,318600
64,1996-04-02,17.083332,17.5,17.083332,17.5,12.941917,253200
65,1996-04-03,17.458332,17.5,17.0,17.0,12.572148,181200
66,1996-04-04,17.166668,17.166668,16.916668,16.916668,12.510517,152100
67,1996-04-08,16.666668,17.0,16.666668,16.75,12.387263,258000
68,1996-04-09,16.75,17.083332,16.75,16.916668,12.510517,200100
69,1996-04-10,16.916668,17.083332,16.833332,16.916668,12.510517,54600
70,1996-04-11,16.916668,17.416668,16.916668,17.166668,12.695403,505800
71,1996-04-12,17.416668,17.75,17.416668,17.75,13.1268,426300
72,1996-04-15,17.75,18.0,17.416668,17.5,12.941917,658500
73,1996-04-16,17.583332,17.666668,17.416668,17.583332,13.003545,207600
74,1996-04-17,17.416668,17.5,17.333332,17.333332,12.818656,309900
75,1996-04-18,17.416668,17.416668,17.333332,17.416668,12.880286,49500
76,1996-04-19,17.416668,17.416668,17.208332,17.208332,12.726214,570900
77,1996-04-22,17.333332,17.5,17.25,17.416668,12.880286,400500
78,1996-04-23,17.25,17.5,17.25,17.5,12.941917,546900
79,1996-04-24,17.416668,17.416668,16.916668,17.083332,12.633773,234600
80,1996-04-25,17.083332,17.416668,16.916668,17.375,12.849474,453000
81,1996-04-26,17.416668,17.416668,17.25,17.25,12.757029,432600
82,1996-04-29,17.416668,17.916668,17.416668,17.833332,13.188431,319200
83,1996-04-30,17.833332,18.083332,17.666668,17.916668,13.250056,324300
84,1996-05-01,18.083332,18.25,17.916668,18.25,13.496566,116700
85,1996-05-02,18.083332,18.333332,18.083332,18.166668,13.43494,432600
86,1996-05-03,18.166668,18.25,18.0,18.166668,13.43494,192000
87,1996-05-06,18.0,18.166668,17.75,17.916668,13.250056,170400
88,1996-05-07,18.0,18.0,17.666668,17.666668,13.065174,240000
89,1996-05-08,17.666668,18.0,17.5,18.0,13.311685,247200
90,1996-05-09,18.0,18.166668,17.833332,18.166668,13.43494,167100
91,1996-05-10,18.0,18.333332,18.0,18.333332,13.558198,123900
92,1996-05-13,18.333332,18.416668,18.166668,18.416668,13.619824,111600
93,1996-05-14,18.291668,18.5,18.166668,18.5,13.681453,96000
94,1996-05-15,18.333332,18.666668,18.166668,18.416668,13.619824,272700
95,1996-05-16,18.416668,18.666668,18.166668,18.333332,13.558198,195000
96,1996-05-17,18.333332,18.333332,18.083332,18.083332,13.373311,140100
97,1996-05-20,18.083332,18.333332,18.083332,18.333332,13.558198,96300
98,1996-05-21,18.083332,18.333332,18.083332,18.083332,13.373311,102300
99,1996-05-22,18.0,18.166668,17.833332,17.916668,13.250056,319800
100,1996-05-23,18.041668,18.166668,17.916668,18.166668,13.43494,101100
101,1996-05-24,17.916668,18.166668,17.916668,17.916668,13.250056,203100
102,1996-05-28,18.166668,18.166668,17.833332,17.916668,13.250056,140100
103,1996-05-29,17.916668,18.333332,17.833332,18.083332,13.373311,324900
104,1996-05-30,18.083332,18.25,17.833332,18.0,13.311685,144300
105,1996-05-31,18.083332,18.083332,17.75,17.833332,13.188431,248400
106,1996-06-03,17.833332,18.0,17.833332,17.833332,13.188431,128400
107,1996-06-04,18.0,18.458332,17.833332,18.25,13.496566,420600
108,1996-06-05,18.083332,18.25,18.083332,18.083332,13.373311,100500
109,1996-06-06,18.083332,18.333332,18.0,18.0,13.311685,89400
110,1996-06-07,18.166668,18.166668,17.916668,18.166668,13.43494,106200
111,1996-06-10,17.916668,18.333332,17.833332,18.166668,13.43494,195600
112,1996-06-11,18.125,18.333332,18.125,18.125,13.404125,86100
113,1996-06-12,18.333332,18.416668,18.125,18.25,13.496566,159000
114,1996-06-13,18.25,18.416668,18.166668,18.333332,13.558198,205500
115,1996-06-14,18.166668,18.333332,18.083332,18.083332,13.373311,140400
116,1996-06-17,18.0,18.166668,18.0,18.0,13.311685,71400
117,1996-06-18,18.25,18.416668,18.083332,18.416668,13.619824,282600
118,1996-06-19,18.375,18.583332,18.25,18.583332,13.743082,244500
119,1996-06-20,18.5,18.583332,18.25,18.416668,13.619824,516000
120,1996-06-21,18.375,18.5,18.083332,18.25,13.496566,326400
121,1996-06-24,18.333332,18.666668,18.166668,18.416668,13.619824,251700
122,1996-06-25,18.666668,18.666668,18.208332,18.25,13.496566,185100
123,1996-06-26,18.416668,18.416668,18.0,18.083332,13.373311,180000
124,1996-06-27,18.0,18.166668,18.0,18.020832,13.32709,122100
125,1996-06-28,18.041668,18.083332,17.583332,17.833332,13.188431,885300
126,1996-07-01,17.833332,17.916668,17.583332,17.916668,13.250056,204600
127,1996-07-02,17.916668,18.166668,17.708332,17.916668,13.250056,225300
128,1996-07-03,18.166668,18.166668,17.916668,17.916668,13.250056,400500
129,1996-07-05,17.666668,17.833332,17.666668,17.666668,13.065174,65400
130,1996-07-08,17.833332,17.833332,17.583332,17.583332,13.003545,154500
131,1996-07-09,17.833332,17.833332,17.5,17.75,13.1268,153900
132,1996-07-10,17.75,17.75,17.5,17.5,12.941917,52800
133,1996-07-11,17.75,17.75,17.25,17.25,12.757029,275100
134,1996-07-12,17.25,17.416668,17.25,17.416668,12.880286,265800
135,1996-07-15,17.25,17.416668,17.25,17.416668,12.880286,138900
136,1996-07-16,17.25,17.416668,17.25,17.416668,12.880286,436800
137,1996-07-17,17.333332,17.5,17.083332,17.25,12.757029,583200
138,1996-07-18,17.25,17.25,17.083332,17.25,12.757029,672000
139,1996-07-19,17.166668,17.25,17.0,17.0,12.572148,270000
140,1996-07-22,17.0,17.166668,17.0,17.166668,12.695403,55200
141,1996-07-23,17.0,17.166668,16.833332,16.958332,12.54133,354000
142,1996-07-24,16.666668,16.833332,16.583332,16.75,12.387263,302700
143,1996-07-25,16.583332,16.833332,16.416668,16.833332,12.448888,1402500
144,1996-07-26,16.833332,17.0,16.666668,17.0,12.572148,112200
145,1996-07-29,16.75,17.083332,16.75,16.833332,12.448888,445200
146,1996-07-30,17.166668,17.166668,16.833332,17.083332,12.633773,222000
147,1996-07-31,17.083332,17.083332,16.833332,17.0,12.572148,121200
148,1996-08-01,17.083332,17.083332,16.916668,17.083332,12.633773,60000
149,1996-08-02,17.083332,17.083332,16.916668,16.916668,12.510517,146400
150,1996-08-05,17.166668,17.166668,16.916668,16.916668,12.510517,134700
151,1996-08-06,17.166668,17.166668,16.916668,17.166668,12.695403,216000
152,1996-08-07,17.166668,17.166668,17.0,17.166668,12.695403,109200
153,1996-08-08,17.166668,17.25,16.916668,16.916668,12.510517,360600
154,1996-08-09,16.75,16.916668,16.583332,16.666668,12.325635,233700
155,1996-08-12,16.666668,16.833332,16.583332,16.833332,12.448888,97200
156,1996-08-13,16.671875,16.916668,16.666668,16.833332,12.448888,225300
157,1996-08-14,16.916668,17.166668,16.75,17.166668,12.695403,217200
158,1996-08-15,17.041668,17.583332,16.916668,17.333332,12.818656,341100
159,1996-08-16,17.333332,18.333332,17.333332,18.166668,13.43494,587700
160,1996-08-19,18.25,18.25,18.0,18.166668,13.43494,120300
161,1996-08-20,18.166668,18.166668,17.833332,17.833332,13.188431,147900
162,1996-08-21,17.875,17.916668,17.75,17.916668,13.250056,59400
163,1996-08-22,17.75,17.916668,17.75,17.916668,13.250056,46200
164,1996-08-23,17.75,17.916668,17.75,17.75,13.1268,53100
165,1996-08-26,17.916668,18.0,17.75,17.75,13.1268,85500
166,1996-08-27,18.0,18.25,17.75,18.25,13.496566,191700
167,1996-08-28,18.25,18.416668,18.0,18.416668,13.619824,114600
168,1996-08-29,18.25,18.5,18.166668,18.25,13.496566,181500
169,1996-08-30,18.25,18.416668,18.083332,18.083332,13.373311,158100
170,1996-09-03,18.25,18.333332,18.083332,18.333332,13.558198,25800
171,1996-09-04,18.208332,18.333332,18.0,18.0,13.311685,37800
172,1996-09-05,18.166668,18.166668,18.0,18.0,13.311685,90600
173,1996-09-06,18.166668,18.416668,18.083332,18.416668,13.619824,137700
174,1996-09-09,18.5,18.583332,18.25,18.583332,13.743082,111000
175,1996-09-10,18.416668,18.666668,18.333332,18.333332,13.558198,57000
176,1996-09-11,18.416668,18.416668,18.25,18.416668,13.619824,78000
177,1996-09-12,18.416668,18.416668,18.25,18.25,13.496566,123600
178,1996-09-13,18.416668,18.5,18.25,18.5,13.681453,116400
179,1996-09-16,18.25,18.583332,18.25,18.583332,13.743082,112500
180,1996-09-17,18.416668,18.583332,18.416668,18.583332,13.743082,73800
181,1996-09-18,18.583332,18.666668,18.416668,18.416668,13.619824,43200
182,1996-09-19,18.541668,18.666668,18.416668,18.583332,13.743082,293400
183,1996-09-20,18.666668,18.666668,18.416668,18.666668,13.804714,232200
184,1996-09-23,18.666668,18.666668,18.25,18.416668,13.619824,278700
185,1996-09-24,18.583332,18.583332,18.25,18.333332,13.558198,320700
186,1996-09-25,18.375,18.416668,18.25,18.416668,13.619824,188400
187,1996-09-26,18.416668,18.625,18.333332,18.583332,13.743082,553200
188,1996-09-27,18.625,18.666668,18.458332,18.666668,13.804714,192600
189,1996-09-30,18.666668,18.75,18.541668,18.666668,13.804714,283200
190,1996-10-01,18.666668,18.666668,18.541668,18.541668,13.712266,73800
191,1996-10-02,18.541668,18.666668,18.541668,18.666668,13.804714,38400
192,1996-10-03,18.541668,18.666668,18.333332,18.458332,13.650637,136200
193,1996-10-04,18.520832,18.666668,18.458332,18.666668,13.804714,236400
194,1996-10-07,18.666668,18.666668,18.5,18.5,13.681453,66900
195,1996-10-08,18.666668,18.666668,18.5,18.5,13.681453,165900
196,1996-10-09,18.666668,18.666668,18.416668,18.5,13.681453,134700
197,1996-10-10,18.5,18.833332,18.5,18.583332,13.743082,107100
198,1996-10-11,18.583332,19.083332,18.583332,19.083332,14.112849,148800
199,1996-10-14,19.083332,19.333332,19.0,19.166668,14.17448,171600
200,1996-10-15,19.083332,19.166668,19.0,19.0,14.051224,98100
201,1996-10-16,19.083332,19.166668,18.833332,18.833332,13.927967,86400
202,1996-10-17,19.083332,19.166668,18.833332,19.0,14.051224,149400
203,1996-10-18,19.0,19.5,19.0,19.5,14.420994,326400
204,1996-10-21,19.5,19.583332,19.25,19.416668,14.359365,139500
205,1996-10-22,19.416668,19.583332,19.333332,19.333332,14.297732,243000
206,1996-10-23,19.333332,19.5,19.333332,19.5,14.420994,98400
207,1996-10-24,19.333332,19.5,19.25,19.291668,14.266925,101700
208,1996-10-25,19.5,19.583332,19.25,19.416668,14.359365,267000
209,1996-10-28,19.583332,19.583332,19.333332,19.333332,14.297732,67200
210,1996-10-29,19.333332,19.583332,19.333332,19.416668,14.359365,127200
211,1996-10-30,19.5,19.583332,19.416668,19.416668,14.359365,59700
212,1996-10-31,19.416668,19.75,19.416668,19.416668,14.359365,263700
213,1996-11-01,19.5,19.583332,19.416668,19.583332,14.482618,60000
214,1996-11-04,19.416668,19.583332,19.416668,19.5,14.420994,90000
215,1996-11-05,19.416668,19.5,19.25,19.416668,14.359365,138000
216,1996-11-06,19.5,19.708332,19.333332,19.708332,14.575061,205800
217,1996-11-07,19.5,19.833332,19.5,19.833332,14.667503,81300
218,1996-11-08,19.625,19.75,19.583332,19.583332,14.482618,72900
219,1996-11-11,19.75,20.166668,19.583332,20.166668,14.914019,125100
220,1996-11-12,20.166668,20.166668,19.916668,19.916668,14.729136,110400
