,Date,Open,High,Low,Close,Adj Close,Volume
0,2001-06-13,31.5,32.0,31.09,31.25,12.123148,69567200
1,2001-06-14,31.0,31.0,29.5,30.15,11.696414,31979800
2,2001-06-15,30.0,30.75,29.950001,30.6,11.870987,14369300
3,2001-06-18,30.059999,30.6,30.059999,30.32,11.762361,4019800
4,2001-06-19,30.6,30.709999,30.209999,30.4,11.793394,5690300
5,2001-06-20,30.4,30.59,30.18,30.299999,11.754602,3791600
6,2001-06-21,30.35,30.35,30.0,30.0,11.638217,6027200
7,2001-06-22,30.0,30.02,29.76,30.0,11.638217,4847700
8,2001-06-25,30.0,30.15,29.85,30.15,11.696414,2420300
9,2001-06-26,30.0,30.08,29.809999,30.040001,11.653738,3333300
10,2001-06-27,29.950001,30.0,29.809999,29.940001,11.614946,3182300
11,2001-06-28,29.98,30.440001,29.969999,30.41,11.797276,2778100
12,2001-06-29,30.5,31.0,30.33,31.0,12.026162,5777800
13,2001-07-02,30.700001,30.700001,30.42,30.469999,11.820552,3167600
14,2001-07-03,30.459999,30.639999,30.42,30.559999,11.855465,608700
15,2001-07-05,30.75,31.030001,30.629999,30.93,11.999005,2085500
16,2001-07-06,30.98,30.98,30.5,30.65,11.890381,945300
17,2001-07-09,30.6,30.74,30.25,30.379999,11.785638,2295300
18,2001-07-10,30.450001,30.85,30.280001,30.35,11.774002,3301300
19,2001-07-11,30.360001,30.360001,30.0,30.299999,11.754602,2023000
20,2001-07-12,30.65,30.9,30.200001,30.9,11.987363,1912500
21,2001-07-13,30.9,30.98,30.459999,30.73,11.921411,995400
22,2001-07-16,30.73,31.01,30.65,30.709999,11.91366,1198100
23,2001-07-17,30.889999,31.450001,30.85,31.450001,12.200737,3792700
24,2001-07-18,31.450001,31.5,30.799999,31.49,12.216244,5645100
25,2001-07-19,31.74,31.74,30.190001,31.32,12.150305,3326000
26,2001-07-20,31.25,31.34,31.01,31.200001,12.103747,1390900
27,2001-07-23,31.1,31.190001,30.92,31.0,12.026162,1756000
28,2001-07-24,31.18,31.190001,30.9,31.07,12.053312,1146500
29,2001-07-25,31.0,31.0,30.51,30.700001,11.909781,860600
30,2001-07-26,30.950001,31.190001,30.620001,31.120001,12.07271,1901900
31,2001-07-27,31.200001,31.200001,30.809999,30.91,11.991248,1541800
32,2001-07-30,31.09,31.1,30.5,30.6,11.870987,1233900
33,2001-07-31,30.5,31.16,30.5,30.950001,12.006765,2020200
34,2001-08-01,30.9,31.01,30.58,30.780001,11.94081,2302200
35,2001-08-02,30.700001,31.17,30.65,30.950001,12.006765,2700000
36,2001-08-03,30.860001,30.98,30.5,30.700001,11.909781,456800
37,2001-08-06,30.709999,30.84,30.25,30.35,11.774002,847600
38,2001-08-07,30.450001,30.540001,30.280001,30.5,11.832188,991400
39,2001-08-08,30.700001,30.700001,30.0,30.01,11.642097,1517200
40,2001-08-09,30.049999,30.370001,30.0,30.370001,11.781755,752900
41,2001-08-10,30.25,31.120001,30.15,30.799999,11.948566,1119700
42,2001-08-13,30.959999,31.190001,30.92,31.1,12.064954,1749200
43,2001-08-14,31.200001,31.25,31.0,31.1,12.064954,1365300
44,2001-08-15,31.1,31.200001,30.969999,30.98,12.018404,2106500
45,2001-08-16,30.98,31.27,30.950001,31.15,12.084356,1351200
46,2001-08-17,31.15,31.35,30.91,31.35,12.161944,1164200
47,2001-08-20,31.389999,31.76,31.27,31.719999,12.305476,2020900
48,2001-08-21,31.950001,32.099998,31.75,32.080002,12.445137,2699600
49,2001-08-22,32.799999,33.009998,32.419998,32.900002,12.763248,3184700
50,2001-08-23,32.889999,32.939999,32.57,32.889999,12.759363,2358900
51,2001-08-24,32.889999,32.889999,32.349998,32.349998,12.549872,1173700
52,2001-08-27,32.0,32.470001,32.0,32.299999,12.530478,866500
53,2001-08-28,32.5,32.580002,31.75,31.9,12.375306,965300
54,2001-08-29,31.9,32.290001,31.58,32.290001,12.526602,1504200
55,2001-08-30,32.09,32.650002,32.049999,32.650002,12.666267,1569700
56,2001-08-31,32.650002,32.98,32.189999,32.25,12.511081,1536500
57,2001-09-04,32.700001,33.290001,32.200001,33.049999,12.82143,1841800
58,2001-09-05,33.0,33.349998,32.869999,33.349998,12.937816,1770400
59,2001-09-06,33.400002,34.799999,33.349998,34.0,13.189986,3816000
60,2001-09-07,33.5,34.200001,33.439999,34.0,13.189986,2900700
61,2001-09-10,33.75,33.880001,33.290001,33.75,13.092997,1463500
62,2001-09-17,33.150002,34.27,32.77,32.900002,12.763248,3904000
63,2001-09-18,32.950001,33.380001,32.900002,32.900002,12.763248,4516300
64,2001-09-19,32.950001,33.049999,31.93,32.400002,12.569277,3134900
65,2001-09-20,32.200001,32.689999,32.0,32.529999,12.619712,1987000
66,2001-09-21,31.5,32.0,31.0,32.0,12.414101,2464200
67,2001-09-24,32.279999,33.5,32.279999,33.5,12.996011,3665200
68,2001-09-25,33.5,33.5,32.689999,33.299999,12.918421,2239500
69,2001-09-26,33.400002,33.419998,32.959999,33.299999,12.918421,1247200
70,2001-09-27,33.25,33.599998,33.25,33.509998,12.999889,1626200
71,2001-09-28,33.75,34.810001,33.700001,34.369999,13.333523,3542000
72,2001-10-01,34.599998,34.619999,33.720001,33.919998,13.158944,1087400
73,2001-10-02,33.919998,34.23,33.75,34.150002,13.248176,1101700
74,2001-10-03,34.200001,34.93,34.150002,34.700001,13.461539,1332200
75,2001-10-04,34.0,34.32,33.82,34.0,13.189986,1311100
76,2001-10-05,33.849998,33.900002,33.5,33.73,13.085232,915800
77,2001-10-08,33.73,34.0,33.5,33.900002,13.151184,625700
78,2001-10-09,33.700001,34.0,33.599998,33.950001,13.170586,2067500
79,2001-10-10,33.900002,34.049999,33.82,33.970001,13.178344,1416600
80,2001-10-11,33.970001,33.990002,32.400002,33.0,12.802039,3550200
81,2001-10-12,33.049999,33.400002,32.84,33.400002,12.957222,2580000
82,2001-10-15,33.150002,33.77,33.130001,33.349998,12.937816,1082200
83,2001-10-16,33.400002,33.619999,32.59,33.599998,13.034807,2040800
84,2001-10-17,34.0,34.060001,33.450001,34.0,13.189986,1842900
85,2001-10-18,34.099998,34.459999,33.950001,34.009998,13.193862,1197800
86,2001-10-19,34.0,34.700001,33.959999,34.52,13.391712,1249500
87,2001-10-22,34.599998,35.279999,34.560001,35.259998,13.67879,1885500
88,2001-10-23,35.299999,35.57,35.259998,35.389999,13.729222,1734000
