,Date,Open,High,Low,Close,Adj Close,Volume
0,1996-01-02,4.4375,4.4375,4.1875,4.1875,3.693503,33200
1,1996-01-03,4.375,4.375,4.125,4.375,3.858885,26400
2,1996-01-04,4.375,4.375,4.1875,4.25,3.748629,24400
3,1996-01-05,4.375,4.375,4.1875,4.1875,3.693503,41800
4,1996-01-08,4.375,4.375,4.375,4.375,3.858885,4000
5,1996-01-09,4.375,4.375,4.1875,4.1875,3.693503,14300
6,1996-01-10,4.1875,4.375,4.1875,4.375,3.858885,7000
7,1996-01-11,4.125,4.1875,3.6875,3.6875,3.252488,36400
8,1996-01-12,4.0,4.0,3.6875,3.6875,3.252488,24400
9,1996-01-15,4.0,4.0,4.0,4.0,3.528122,5800
10,1996-01-16,3.6875,3.75,3.5,3.5625,3.142234,20600
11,1996-01-17,3.375,3.5625,3.1875,3.375,2.976854,22800
12,1996-01-18,3.125,3.375,3.0625,3.375,2.976854,39400
13,1996-01-19,3.125,3.25,3.03125,3.25,2.866599,19800
14,1996-01-22,3.0,3.25,2.9375,3.125,2.756345,12000
15,1996-01-23,3.25,3.25,3.0625,3.0625,2.701219,4200
16,1996-01-24,3.25,3.5,3.125,3.5,3.087107,59300
17,1996-01-25,3.5,3.625,3.5,3.625,3.197361,52000
18,1996-01-26,3.625,3.625,3.5,3.625,3.197361,57000
19,1996-01-29,3.625,3.625,3.625,3.625,3.197361,100
20,1996-01-30,3.625,3.6875,3.5,3.625,3.197361,233700
21,1996-01-31,3.625,3.625,3.5,3.625,3.197361,46900
22,1996-02-01,3.625,3.625,3.625,3.625,3.197361,4100
23,1996-02-02,3.625,3.625,3.4375,3.625,3.197361,102600
24,1996-02-05,3.625,3.625,3.4375,3.4375,3.03198,46900
25,1996-02-06,3.625,3.625,3.625,3.625,3.197361,12100
26,1996-02-07,3.5,3.5625,3.3125,3.5,3.087107,33900
27,1996-02-08,3.25,3.5625,3.25,3.5625,3.142234,10400
28,1996-02-09,3.5625,3.5625,3.3125,3.5625,3.142234,18700
29,1996-02-12,3.5625,3.5625,3.5625,3.5625,3.142234,8000
30,1996-02-13,3.25,3.5625,3.25,3.25,2.866599,18400
31,1996-02-14,3.4375,3.5,3.25,3.5,3.087107,56000
32,1996-02-15,3.4375,3.5,3.3125,3.3125,2.921726,22400
33,1996-02-16,3.4375,3.4375,3.4375,3.4375,3.03198,1000
34,1996-02-20,3.4375,3.4375,3.25,3.4375,3.03198,10500
35,1996-02-21,3.25,3.4375,3.1875,3.25,2.866599,20400
36,1996-02-22,3.5,3.875,3.4375,3.875,3.417868,74000
37,1996-02-23,3.875,4.25,3.875,4.125,3.638376,24000
38,1996-02-26,4.0,4.125,3.75,4.0,3.528122,18400
39,1996-02-27,4.25,4.25,4.0625,4.125,3.638376,27800
40,1996-02-28,4.25,4.5,4.1875,4.5,3.969136,15300
41,1996-02-29,4.625,4.625,4.25,4.5,3.969136,20800
42,1996-03-01,4.75,5.75,4.75,5.75,5.071676,57300
43,1996-03-04,5.875,6.8125,5.875,6.0,5.292183,286000
44,1996-03-05,6.0,6.5,5.75,6.0,5.292183,140500
45,1996-03-06,6.0,6.0,5.75,5.9375,5.237057,48700
46,1996-03-07,5.9375,5.9375,5.75,5.875,5.181929,17000
47,1996-03-08,5.75,5.8125,5.625,5.625,4.961421,12700
48,1996-03-11,5.625,5.625,5.0,5.0,4.410152,139300
49,1996-03-12,5.0,5.125,4.8125,5.0625,4.46528,253200
50,1996-03-13,5.375,5.375,5.1875,5.375,4.740914,67900
51,1996-03-14,5.375,5.375,5.3125,5.375,4.740914,4700
52,1996-03-15,5.375,6.0,5.25,6.0,5.292183,88500
53,1996-03-18,6.25,6.5,5.875,6.375,5.622944,109400
54,1996-03-19,6.5,7.125,6.375,6.625,5.843452,214100
55,1996-03-20,6.6875,6.875,6.5,6.75,5.953708,41300
56,1996-03-21,6.875,7.0,6.5,7.0,6.174214,45800
57,1996-03-22,7.125,7.125,6.875,7.125,6.284468,52500
58,1996-03-25,7.125,7.25,6.875,7.25,6.394722,81200
59,1996-03-26,7.375,8.125,7.25,7.9375,7.001117,332300
60,1996-03-27,8.0,8.6875,7.75,8.6875,7.662639,288800
61,1996-03-28,8.875,9.8125,8.625,9.125,8.048529,460600
62,1996-03-29,9.125,9.25,8.5,8.6875,7.662639,136500
63,1996-04-01,9.0,9.125,8.625,8.8125,7.772895,103900
64,1996-04-02,8.625,8.8125,6.5,7.125,6.284468,196600
65,1996-04-03,7.0,7.875,6.5,7.75,6.835737,185200
66,1996-04-04,7.9375,8.625,7.5,8.625,7.607514,99400
67,1996-04-08,8.375,8.625,8.125,8.625,7.607514,49900
68,1996-04-09,8.625,9.0,8.375,8.375,7.387005,68800
69,1996-04-10,8.75,8.75,7.875,7.875,6.945992,21000
70,1996-04-11,7.75,7.9375,7.125,7.5625,6.670355,92300
71,1996-04-12,7.625,7.9375,7.5625,7.5625,6.670355,22000
72,1996-04-15,7.9375,8.6875,7.5625,8.625,7.607514,39700
73,1996-04-16,8.625,8.625,8.0,8.25,7.276751,48900
74,1996-04-17,8.3125,8.3125,8.0,8.125,7.166498,11000
75,1996-04-18,8.21875,8.5625,8.0,8.5,7.497259,91200
76,1996-04-19,8.375,8.9375,8.375,8.875,7.828023,93700
77,1996-04-22,9.0,9.875,9.0,9.625,8.489545,198400
78,1996-04-23,9.625,9.625,8.4375,8.6875,7.662639,117500
79,1996-04-24,8.6875,8.9375,8.5625,8.9375,7.883149,63900
80,1996-04-25,8.9375,9.5,8.8125,9.25,8.158781,114400
81,1996-04-26,9.25,10.875,9.25,10.25,9.040816,224800
82,1996-04-29,10.25,10.75,10.125,10.75,9.481829,106000
83,1996-04-30,10.75,14.625,10.75,13.625,12.017665,401300
84,1996-05-01,13.75,14.125,10.125,11.375,10.033097,240600
85,1996-05-02,11.5,13.25,11.5,11.625,10.253606,156400
86,1996-05-03,11.75,12.25,11.375,11.875,10.474114,91200
87,1996-05-06,12.625,13.5,12.25,13.5,11.907415,160400
88,1996-05-07,13.25,13.875,13.25,13.625,12.017665,105700
89,1996-05-08,13.75,13.75,9.875,12.125,10.69462,334200
90,1996-05-09,12.0,13.5,11.75,13.0,11.466395,195500
91,1996-05-10,10.25,10.5,6.625,10.5,9.261319,555000
92,1996-05-13,10.75,11.875,10.25,10.875,9.592084,91500
93,1996-05-14,10.5,11.0,9.75,9.875,8.710052,85500
94,1996-05-15,9.875,10.0,9.0,9.5,8.37929,113100
95,1996-05-16,8.875,11.625,8.5,10.1875,8.985686,332800
96,1996-05-17,10.375,11.125,10.125,10.75,9.481829,63200
97,1996-05-20,10.625,12.375,10.625,12.0,10.584367,109400
98,1996-05-21,12.5,13.625,12.0,12.875,11.356146,178300
99,1996-05-22,12.875,13.375,12.5,13.25,11.686905,104300
100,1996-05-23,13.5,13.75,13.0,13.75,12.127921,67000
101,1996-05-24,13.75,14.125,13.0,14.0,12.348428,70600
102,1996-05-28,14.25,14.625,13.0,13.25,11.686905,105100
103,1996-05-29,13.375,13.375,12.0,12.0,10.584367,75600
104,1996-05-30,11.875,12.0,11.0,11.6875,10.308734,100800
105,1996-05-31,12.0,12.625,11.5,12.25,10.804874,41600
106,1996-06-03,12.0,12.375,11.5,11.625,10.253606,18900
107,1996-06-04,11.625,12.0,11.375,12.0,10.584367,24500
108,1996-06-05,12.125,12.5,11.75,12.5,11.02538,9500
109,1996-06-06,12.125,13.0,12.125,12.875,11.356146,40100
110,1996-06-07,12.625,12.625,11.75,11.75,10.363857,30200
111,1996-06-10,12.25,12.875,11.625,12.5,11.02538,36200
112,1996-06-11,13.125,13.625,12.75,13.5,11.907415,55700
113,1996-06-12,12.75,13.0,11.875,12.375,10.91513,43200
114,1996-06-13,12.5,14.125,12.125,12.125,10.69462,226100
115,1996-06-14,12.75,12.75,12.125,12.5,11.02538,36000
116,1996-06-17,12.5,12.5,11.75,12.375,10.91513,22000
117,1996-06-18,12.375,12.375,11.625,11.625,10.253606,23100
118,1996-06-19,11.375,12.375,11.375,12.375,10.91513,54100
119,1996-06-20,12.375,12.5,11.75,12.0,10.584367,33000
120,1996-06-21,12.25,12.25,11.625,12.125,10.69462,3500
121,1996-06-24,12.125,12.125,11.625,12.125,10.69462,33000
122,1996-06-25,11.75,12.125,11.0,11.75,10.363857,58900
123,1996-06-26,11.75,11.75,9.875,10.25,9.040816,74300
124,1996-06-27,10.125,10.875,9.375,9.875,8.710052,56500
125,1996-06-28,10.25,10.25,9.625,9.875,8.710052,55300
126,1996-07-01,9.875,10.25,9.375,9.875,8.710052,23300
127,1996-07-02,9.375,9.875,9.375,9.5,8.37929,13500
128,1996-07-03,9.75,10.125,9.5,9.75,8.599798,20100
129,1996-07-05,9.25,9.875,8.0,9.875,8.710052,56300
130,1996-07-08,9.875,9.875,9.25,9.875,8.710052,11100
131,1996-07-09,9.875,10.25,9.5,9.5,8.37929,26600
132,1996-07-10,10.0,10.0,9.375,9.5,8.37929,11600
133,1996-07-11,9.5,9.75,9.0,9.0,7.938273,20700
134,1996-07-12,9.0,9.0,7.625,8.375,7.387005,64300
135,1996-07-15,7.75,8.25,6.75,7.5,6.61523,105200
136,1996-07-16,7.0,8.25,7.0,8.125,7.166498,64500
137,1996-07-17,8.375,8.5,8.0,8.25,7.276751,67800
138,1996-07-18,8.25,8.375,7.75,8.375,7.387005,67700
139,1996-07-19,8.375,8.375,8.0,8.0,7.056245,35000
140,1996-07-22,8.375,8.375,7.75,8.25,7.276751,14300
141,1996-07-23,7.75,8.25,7.5,7.5,6.61523,17700
142,1996-07-24,7.0,7.875,7.0,7.5,6.61523,24300
143,1996-07-25,8.0,8.0,7.625,7.625,6.725483,5100
144,1996-07-26,8.0,8.0,7.625,7.625,6.725483,6700
145,1996-07-29,8.0,8.75,7.875,8.75,7.71777,37100
146,1996-07-30,9.0,9.125,8.0,8.125,7.166498,90900
147,1996-07-31,8.625,8.75,8.125,8.75,7.71777,3300
148,1996-08-01,8.125,8.5,8.0,8.25,7.276751,3200
149,1996-08-02,8.0,8.125,7.375,7.75,6.835737,35100
150,1996-08-05,8.0,8.25,7.375,7.625,6.725483,70600
151,1996-08-06,7.625,8.0,7.53125,7.53125,6.642793,24800
152,1996-08-07,8.0,8.0,7.25,7.5,6.61523,24200
153,1996-08-08,8.0,8.0,7.25,7.875,6.945992,12200
154,1996-08-09,7.25,7.875,7.25,7.5,6.61523,56500
155,1996-08-12,7.125,7.75,7.125,7.625,6.725483,4300
156,1996-08-13,7.625,7.625,7.125,7.125,6.284468,1700
157,1996-08-14,7.375,7.75,7.375,7.375,6.504976,2600
158,1996-08-15,7.75,7.75,7.375,7.75,6.835737,5200
159,1996-08-16,7.125,7.75,7.125,7.25,6.394722,11700
160,1996-08-19,7.625,7.625,7.125,7.5,6.61523,4100
161,1996-08-20,7.125,7.5,7.125,7.5,6.61523,2400
162,1996-08-21,7.125,7.5,7.125,7.125,6.284468,3600
163,1996-08-22,7.125,7.5,7.125,7.5,6.61523,2200
164,1996-08-23,7.75,8.375,7.125,8.0,7.056245,32800
165,1996-08-26,8.375,8.375,7.875,8.125,7.166498,4100
166,1996-08-27,7.625,8.0,7.625,7.875,6.945992,4500
167,1996-08-28,8.0,8.25,7.75,8.25,7.276751,40700
168,1996-08-29,8.375,8.5,8.0,8.5,7.497259,33000
169,1996-08-30,8.875,9.375,8.375,9.25,8.158781,105300
170,1996-09-03,9.25,9.5,8.875,9.0,7.938273,61200
171,1996-09-04,9.25,9.25,8.875,9.125,8.048529,17000
172,1996-09-05,9.125,9.125,8.875,8.875,7.828023,40100
173,1996-09-06,9.0,9.0,8.0,8.6875,7.662639,80200
174,1996-09-09,8.8125,8.8125,8.25,8.375,7.387005,71400
175,1996-09-10,8.375,8.5,7.625,8.0,7.056245,79100
176,1996-09-11,8.375,8.375,7.875,7.875,6.945992,16700
177,1996-09-12,8.25,8.25,7.5,7.75,6.835737,54100
178,1996-09-13,7.875,8.25,6.625,7.125,6.284468,134000
179,1996-09-16,7.75,8.125,7.375,7.5,6.61523,59100
180,1996-09-17,7.75,7.875,6.875,7.125,6.284468,52500
181,1996-09-18,7.75,7.75,6.875,7.25,6.394722,57700
182,1996-09-19,7.0,7.375,6.5,6.875,6.063961,148700
183,1996-09-20,6.75,7.875,6.75,7.625,6.725483,147100
184,1996-09-23,7.875,8.125,7.5,8.0,7.056245,8300
185,1996-09-24,7.75,7.75,7.25,7.625,6.725483,42500
186,1996-09-25,7.5,7.625,7.5,7.5,6.61523,9600
187,1996-09-26,8.0,8.0,7.125,7.125,6.284468,22600
188,1996-09-27,7.125,7.625,6.875,7.0,6.174214,49800
189,1996-09-30,6.875,7.375,6.875,7.25,6.394722,14900
190,1996-10-01,7.0,7.25,6.625,6.875,6.063961,16100
191,1996-10-02,6.875,7.25,6.5,7.25,6.394722,40500
192,1996-10-03,7.625,7.625,6.75,7.0,6.174214,33100
193,1996-10-04,7.0,7.25,6.75,6.875,6.063961,18600
194,1996-10-07,7.25,7.25,6.875,7.125,6.284468,20200
195,1996-10-08,6.75,7.0,6.5,7.0,6.174214,43700
196,1996-10-09,6.875,6.875,5.5,5.75,5.071676,76000
197,1996-10-10,6.25,6.375,5.75,6.0,5.292183,84900
198,1996-10-11,5.75,6.0,5.375,6.0,5.292183,112600
199,1996-10-14,6.0,6.375,6.0,6.25,5.51269,22800
200,1996-10-15,6.5,6.75,6.25,6.25,5.51269,25600
201,1996-10-16,6.25,6.75,6.25,6.75,5.953708,4100
202,1996-10-17,5.875,6.125,5.875,6.125,5.402437,1400
203,1996-10-18,5.875,6.375,5.75,6.375,5.622944,13800
204,1996-10-21,5.75,6.375,5.75,6.0,5.292183,1600
205,1996-10-22,6.375,6.375,5.75,6.125,5.402437,9800
206,1996-10-23,5.75,6.125,5.5,5.625,4.961421,20500
207,1996-10-24,5.5,6.0,5.5,5.75,5.071676,20500
208,1996-10-25,5.75,6.0,5.75,6.0,5.292183,300
209,1996-10-28,5.625,5.75,5.125,5.625,4.961421,14100
210,1996-10-29,5.375,5.625,5.0,5.625,4.961421,10300
211,1996-10-30,5.625,5.625,5.125,5.625,4.961421,15700
212,1996-10-31,5.625,5.625,5.0,5.625,4.961421,11700
213,1996-11-01,5.0,5.625,5.0,5.125,4.520408,4800
214,1996-11-04,5.75,5.75,4.625,4.875,4.299899,10800
215,1996-11-05,5.375,5.375,4.75,5.375,4.740914,7500
216,1996-11-06,5.375,5.375,4.75,5.375,4.740914,11200
217,1996-11-07,5.375,5.375,4.875,5.25,4.63066,19200
218,1996-11-08,5.0,5.5,5.0,5.5,4.851168,11400
219,1996-11-11,5.5,8.125,5.5,7.625,6.725483,134900
220,1996-11-12,7.9375,8.0625,7.375,7.375,6.504976,63700
221,1996-11-13,7.625,8.25,7.375,7.75,6.835737,41700
222,1996-11-14,8.1875,9.875,7.75,8.5,7.497259,187300
223,1996-11-15,9.25,9.25,7.75,8.5,7.497259,93900
224,1996-11-18,8.5,9.0,7.875,8.375,7.387005,44300
225,1996-11-19,8.125,8.25,3.0,4.5,3.969136,391800
226,1996-11-20,4.5,4.65625,3.75,4.3125,3.803757,51500
227,1996-11-21,4.1875,4.875,4.125,4.375,3.858885,47300
228,1996-11-22,4.625,4.625,4.0,4.3125,3.803757,182500
229,1996-11-25,4.0625,4.3125,3.75,3.875,3.417868,77700
230,1996-11-26,3.75,4.375,3.75,4.0,3.528122,108200
231,1996-11-27,3.875,4.25,3.8125,4.125,3.638376,41200
232,1996-11-29,4.125,4.125,3.875,4.0,3.528122,1800
233,1996-12-02,4.0,4.125,3.625,4.0,3.528122,33700
234,1996-12-03,3.75,4.0,3.75,4.0,3.528122,70600
235,1996-12-04,3.75,4.25,3.75,4.25,3.748629,94000
236,1996-12-05,4.25,4.375,4.0,4.125,3.638376,42300
237,1996-12-06,3.75,4.5,3.75,4.375,3.858885,65100
238,1996-12-09,4.5,4.5,4.125,4.5,3.969136,28200
239,1996-12-10,4.75,4.75,4.125,4.1875,3.693503,32800
240,1996-12-11,4.0,4.25,3.625,4.0,3.528122,23600
241,1996-12-12,4.0,4.125,3.625,4.125,3.638376,23700
242,1996-12-13,3.765625,4.0,3.625,4.0,3.528122,31600
243,1996-12-16,3.625,3.875,3.375,3.625,3.197361,48900
244,1996-12-17,3.5,3.875,3.125,3.5,3.087107,48300
245,1996-12-18,3.5625,3.875,3.4375,3.4375,3.03198,55700
246,1996-12-19,3.875,4.125,3.4375,4.125,3.638376,133300
247,1996-12-20,4.25,4.5625,4.0,4.375,3.858885,35600
248,1996-12-23,4.0,4.5,4.0,4.25,3.748629,26300
249,1996-12-24,4.125,4.75,4.125,4.5,3.969136,20800
250,1996-12-26,4.75,4.875,4.25,4.625,4.079391,62700
251,1996-12-27,4.875,4.875,4.125,4.75,4.189645,10700
252,1996-12-30,4.125,4.375,4.0,4.25,3.748629,51500
253,1996-12-31,4.0625,4.5,4.0625,4.125,3.638376,40300
254,1997-01-02,4.375,4.5,4.25,4.5,3.969136,14200
255,1997-01-03,4.375,4.875,4.375,4.8125,4.244772,35400
256,1997-01-06,5.0,6.125,5.0,6.125,5.402437,47500
257,1997-01-07,6.125,6.125,5.625,5.75,5.071676,81200
258,1997-01-08,6.125,6.125,5.5,5.625,4.961421,30100
259,1997-01-09,5.75,5.875,5.375,5.8125,5.126803,25400
260,1997-01-10,5.375,6.125,5.375,5.75,5.071676,50300
261,1997-01-13,6.125,6.125,5.75,6.125,5.402437,15300
262,1997-01-14,6.125,7.5,6.0,6.625,5.843452,104100
263,1997-01-15,6.875,6.875,6.375,6.5,5.733198,41000
264,1997-01-16,6.5,6.6875,6.25,6.3125,5.567818,14000
265,1997-01-17,6.3125,6.4375,6.1875,6.25,5.51269,18000
266,1997-01-20,6.375,7.0,6.25,6.625,5.843452,57300
267,1997-01-21,6.875,6.875,6.5,6.75,5.953708,35600
268,1997-01-22,6.875,7.5,6.75,7.5,6.61523,32000
269,1997-01-23,7.5,7.625,6.75,6.8125,6.008832,53700
270,1997-01-24,7.125,7.125,6.5,6.625,5.843452,17900
271,1997-01-27,6.875,7.125,6.75,6.875,6.063961,28700
272,1997-01-28,7.125,7.25,6.75,7.0,6.174214,39000
273,1997-01-29,7.125,7.125,6.625,6.6875,5.898581,12600
274,1997-01-30,6.625,7.0,6.625,7.0,6.174214,12900
275,1997-01-31,6.75,7.0,6.625,6.625,5.843452,14500
276,1997-02-03,6.5,6.75,6.375,6.375,5.622944,9600
277,1997-02-04,6.375,6.625,6.25,6.25,5.51269,5100
278,1997-02-05,6.625,6.625,6.125,6.125,5.402437,3700
279,1997-02-06,6.5,6.5,6.0,6.25,5.51269,19200
280,1997-02-07,6.375,6.5,6.1875,6.5,5.733198,8300
281,1997-02-10,6.5,7.0,6.5,6.75,5.953708,8400
282,1997-02-11,6.875,7.0625,6.5,6.75,5.953708,26500
283,1997-02-12,6.625,6.625,6.125,6.125,5.402437,38100
284,1997-02-13,6.125,6.25,5.875,6.0625,5.34731,13000
285,1997-02-14,6.25,6.25,5.5,5.75,5.071676,55100
