,Date,Open,High,Low,Close,Adj Close,Volume
0,1996-01-02,7.46875,7.8125,7.46875,7.53125,4.654036,4125600
1,1996-01-03,7.5625,7.65625,7.5,7.5,4.634727,1956800
2,1996-01-04,7.46875,7.53125,7.28125,7.40625,4.576792,2717200
3,1996-01-05,7.34375,7.6875,7.3125,7.6875,4.750595,4696800
4,1996-01-08,7.65625,7.71875,7.625,7.625,4.711971,817600
5,1996-01-09,7.65625,7.6875,7.53125,7.5625,4.673348,1606400
6,1996-01-10,7.5,7.625,7.46875,7.5,4.634727,2629200
7,1996-01-11,7.5,7.5625,7.4375,7.5,4.634727,3013600
8,1996-01-12,7.5625,7.6875,7.53125,7.65625,4.731282,2144000
9,1996-01-15,7.625,7.65625,7.59375,7.625,4.711971,1302400
10,1996-01-16,7.6875,7.71875,7.5,7.65625,4.731282,2388000
11,1996-01-17,7.6875,7.9375,7.6875,7.875,4.866458,2569600
12,1996-01-18,7.96875,8.0625,7.875,8.0625,4.98233,3417600
13,1996-01-19,8.0625,8.40625,8.03125,8.3125,5.136821,3333600
14,1996-01-22,8.3125,8.4375,8.25,8.375,5.175445,2488000
15,1996-01-23,8.3125,8.4375,8.125,8.125,5.020951,1832800
16,1996-01-24,8.1875,8.25,8.15625,8.25,5.098196,1479200
17,1996-01-25,8.25,8.25,8.125,8.1875,5.059575,2222000
18,1996-01-26,8.25,8.40625,8.1875,8.375,5.175445,1270800
19,1996-01-29,8.375,8.4375,8.21875,8.28125,5.117509,841600
20,1996-01-30,8.3125,8.5625,8.28125,8.5625,5.291313,1230000
21,1996-01-31,8.625,8.84375,8.59375,8.71875,5.387866,4321600
22,1996-02-01,8.71875,9.03125,8.703125,9.03125,5.580983,2194400
23,1996-02-02,8.75,8.8125,8.625,8.65625,5.349246,3333200
24,1996-02-05,8.6875,8.75,8.625,8.71875,5.387866,2418800
25,1996-02-06,8.8125,8.90625,8.71875,8.84375,5.465112,4525600
26,1996-02-07,8.875,8.9375,8.8125,8.875,5.484425,3294400
27,1996-02-08,8.875,8.96875,8.8125,8.96875,5.542359,3258400
28,1996-02-09,8.96875,9.0,8.875,8.90625,5.503736,1277600
29,1996-02-12,8.96875,9.09375,8.96875,9.09375,5.619603,1845600
30,1996-02-13,8.96875,9.0,8.8125,8.875,5.484425,2282800
31,1996-02-14,8.84375,8.9375,8.78125,8.8125,5.445801,1745200
32,1996-02-15,8.8125,8.84375,8.625,8.71875,5.387866,2300000
33,1996-02-16,8.71875,8.75,8.625,8.6875,5.368557,1469600
34,1996-02-20,8.59375,8.6875,8.5625,8.59375,5.327487,1021600
35,1996-02-21,8.53125,8.71875,8.53125,8.71875,5.404977,2038000
36,1996-02-22,8.625,8.84375,8.625,8.84375,5.482468,2400400
37,1996-02-23,8.875,8.9375,8.59375,8.75,5.424349,2166000
38,1996-02-26,8.6875,8.71875,8.375,8.375,5.191878,1938400
39,1996-02-27,8.4375,8.46875,8.34375,8.34375,5.172505,1751600
40,1996-02-28,8.46875,8.5,8.3125,8.34375,5.172505,1181200
41,1996-02-29,8.25,8.34375,8.21875,8.25,5.114388,1189200
42,1996-03-01,8.3125,8.375,8.1875,8.28125,5.133758,1955200
43,1996-03-04,8.25,8.625,8.25,8.53125,5.288741,2700400
44,1996-03-05,8.5,8.625,8.46875,8.59375,5.327487,1495600
45,1996-03-06,8.625,8.65625,8.25,8.28125,5.133758,1862400
46,1996-03-07,8.25,8.5625,8.25,8.53125,5.288741,1845200
47,1996-03-08,8.46875,8.46875,8.1875,8.25,5.114388,2332000
