,Date,Open,High,Low,Close,Adj Close,Volume
0,2004-02-05,23.75,24.940001,23.25,24.700001,17.640163,27565200
1,2004-02-06,24.709999,24.940001,24.15,24.85,17.747286,5284400
2,2004-02-09,24.6,24.700001,24.0,24.469999,17.475899,3252900
3,2004-02-10,24.15,24.469999,24.049999,24.35,17.390202,1651600
4,2004-02-11,24.280001,24.5,24.15,24.25,17.318785,2010200
5,2004-02-12,24.190001,25.0,24.17,24.68,17.625874,1637500
6,2004-02-13,24.790001,24.84,24.280001,24.700001,17.640163,612000
7,2004-02-17,24.75,24.9,24.5,24.6,17.568739,592300
8,2004-02-18,24.6,25.4,24.35,25.4,18.140079,805700
9,2004-02-19,25.25,25.98,25.25,25.68,18.340055,1494600
10,2004-02-20,25.690001,25.690001,25.0,25.35,18.104382,742000
11,2004-02-23,25.389999,25.389999,24.35,24.549999,17.533037,1331500
12,2004-02-24,24.4,24.969999,24.209999,24.799999,17.71158,963600
13,2004-02-25,24.799999,25.0,24.700001,24.85,17.747286,321700
14,2004-02-26,24.85,25.27,24.6,25.24,18.02581,617200
15,2004-02-27,25.15,25.75,25.110001,25.74,18.382908,1569100
16,2004-03-01,25.74,26.190001,25.700001,25.799999,18.425745,851700
17,2004-03-02,25.950001,25.950001,25.1,25.940001,18.525743,595600
18,2004-03-03,25.700001,25.799999,25.35,25.48,18.197226,457000
19,2004-03-04,25.48,25.75,24.75,25.209999,18.004389,1060200
20,2004-03-05,25.02,25.639999,25.0,25.549999,18.247213,450200
21,2004-03-08,25.549999,25.65,25.17,25.48,18.197226,370100
22,2004-03-09,25.5,25.51,24.709999,25.0,17.854412,816200
23,2004-03-10,24.799999,24.85,24.4,24.65,17.604445,1034300
24,2004-03-11,24.15,24.65,24.15,24.200001,17.28307,2538500
25,2004-03-12,24.34,24.65,24.25,24.5,17.497328,1501700
26,2004-03-15,24.75,24.75,23.74,24.0,17.140242,1595900
27,2004-03-16,24.5,24.549999,24.18,24.23,17.304497,1525800
28,2004-03-17,24.200001,24.5,24.059999,24.07,17.190229,1051700
29,2004-03-18,24.07,24.1,23.709999,23.799999,16.997398,1006800
30,2004-03-19,23.75,23.84,23.4,23.74,16.95455,759200
31,2004-03-22,23.4,23.75,23.09,23.700001,16.92598,1018700
32,2004-03-23,23.75,24.0,23.51,24.0,17.140242,678300
33,2004-03-24,24.0,24.049999,23.77,23.799999,16.997398,510900
34,2004-03-25,23.65,24.059999,23.49,23.959999,17.111671,1499800
35,2004-03-26,23.870001,24.34,23.870001,24.1,17.211662,887500
36,2004-03-29,24.110001,24.440001,24.110001,24.370001,17.404482,823900
37,2004-03-30,24.200001,24.75,24.18,24.719999,17.654442,739300
38,2004-03-31,24.75,25.290001,24.6,25.15,17.961535,728500
39,2004-04-01,25.25,25.4,24.780001,25.25,18.032957,1568800
40,2004-04-02,25.360001,25.41,24.75,25.219999,18.011532,1166400
41,2004-04-05,25.049999,25.530001,24.9,25.51,18.218645,544200
42,2004-04-06,25.450001,26.0,25.25,25.940001,18.525743,697900
43,2004-04-07,25.75,25.860001,25.4,25.73,18.375761,444100
44,2004-04-08,25.84,26.26,25.700001,26.219999,18.72571,657400
45,2004-04-12,26.15,26.25,25.709999,25.879999,18.482882,804000
46,2004-04-13,25.98,26.16,25.15,25.25,18.032957,860800
47,2004-04-14,25.25,25.450001,24.969999,25.190001,17.990103,1518700
48,2004-04-15,25.299999,25.75,25.07,25.25,18.032957,1406600
49,2004-04-16,25.299999,25.639999,25.049999,25.540001,18.240074,272100
50,2004-04-19,25.450001,26.129999,25.450001,25.73,18.375761,627800
51,2004-04-20,25.700001,25.799999,25.4,25.549999,18.247213,926200
52,2004-04-21,25.5,25.58,25.0,25.200001,17.997255,980800
53,2004-04-22,25.35,25.440001,25.0,25.200001,17.997255,568200
54,2004-04-23,25.200001,25.219999,24.860001,25.030001,17.875843,355900
55,2004-04-26,24.85,25.0,24.65,24.9,17.782995,238900
56,2004-04-27,24.85,25.27,24.84,25.17,17.975824,171900
57,2004-04-28,25.25,25.25,24.92,25.0,17.854412,256100
58,2004-04-29,24.889999,24.950001,24.6,24.719999,17.654442,298200
59,2004-04-30,24.629999,25.0,24.34,24.360001,17.397339,608100
60,2004-05-03,24.559999,25.040001,24.450001,25.0,17.854412,514800
61,2004-05-04,24.950001,25.02,24.5,24.75,17.675873,953800
62,2004-05-05,24.9,25.0,24.6,24.690001,17.633018,304700
63,2004-05-06,24.700001,24.959999,24.290001,24.65,17.604445,319600
64,2004-05-07,24.5,24.799999,23.549999,24.1,17.211662,564500
65,2004-05-10,24.0,24.049999,23.48,24.0,17.140242,479000
66,2004-05-11,23.940001,24.49,23.719999,24.26,17.32592,418400
67,2004-05-12,24.65,24.719999,23.559999,24.4,17.425907,1549800
68,2004-05-13,24.25,25.280001,24.08,24.99,17.847267,753400
69,2004-05-14,24.99,25.15,24.85,25.0,17.854412,750400
70,2004-05-17,24.799999,24.799999,24.25,24.370001,17.404482,569600
71,2004-05-18,24.5,25.049999,24.41,24.84,17.740147,852100
72,2004-05-19,24.799999,25.0,24.639999,24.75,17.675873,434400
73,2004-05-20,24.75,25.0,24.700001,25.0,17.905054,546500
74,2004-05-21,24.99,25.0,24.879999,24.93,17.854925,469600
75,2004-05-24,25.049999,25.049999,24.82,25.0,17.905054,532500
76,2004-05-25,25.0,25.01,24.52,24.65,17.654387,1171200
77,2004-05-26,24.700001,24.84,24.379999,24.799999,17.761806,349200
