,Date,Open,High,Low,Close,Adj Close,Volume
0,2001-12-03,13.6,13.84,13.5,13.8,8.942897,847400
1,2001-12-04,13.7,13.84,13.6,13.75,8.910496,780700
2,2001-12-05,13.75,14.2,13.75,14.06,9.111386,906200
3,2001-12-06,13.95,14.2,13.7,13.98,9.059544,291300
4,2001-12-07,13.88,13.88,13.4,13.48,8.735525,399500
5,2001-12-10,13.1,13.1,11.2,11.2,7.258005,348800
6,2001-12-11,11.3,12.58,11.3,12.58,8.152295,595400
7,2001-12-12,12.48,12.85,11.95,12.0,7.776431,226700
8,2001-12-13,12.1,12.4,11.75,12.0,7.776431,248600
9,2001-12-14,11.9,12.08,11.76,11.98,7.763471,146000
10,2001-12-17,11.65,12.1,10.8,11.0,7.128402,523600
11,2001-12-18,10.9,11.5,10.7,11.5,7.452415,685500
12,2001-12-19,11.16,12.1,11.05,11.95,7.74403,290400
13,2001-12-20,12.0,12.0,11.35,11.51,7.458895,535400
14,2001-12-21,11.2,11.95,11.15,11.9,7.711634,367700
15,2001-12-24,12.35,12.95,12.1,12.89,8.353183,112300
16,2001-12-26,13.09,13.2,11.96,12.51,8.106931,255900
17,2001-12-27,12.7,12.95,12.7,12.9,8.359665,374500
18,2001-12-28,12.91,12.91,11.9,12.0,7.776431,324500
19,2001-12-31,12.0,12.4,12.0,12.1,7.841238,451000
20,2002-01-02,12.05,14.0,12.01,14.0,9.072502,164700
21,2002-01-03,13.75,14.75,13.75,14.75,9.558534,260000
22,2002-01-04,14.75,14.89,14.11,14.81,9.597416,155700
23,2002-01-07,14.71,14.71,14.02,14.26,9.240998,131100
24,2002-01-08,14.2,14.2,13.81,14.2,9.202109,67500
25,2002-01-09,14.15,14.35,13.8,13.8,8.942897,52200
26,2002-01-10,13.7,14.05,13.2,13.57,8.793848,74500
27,2002-01-11,13.62,13.74,13.5,13.5,8.748484,56100
28,2002-01-14,13.28,14.65,13.2,14.61,9.46781,177500
29,2002-01-15,14.4,14.52,13.88,13.96,9.140426,208500
30,2002-01-16,13.99,14.0,12.8,12.8,8.380908,144600
31,2002-01-17,12.7,13.74,12.7,13.74,8.996381,618900
32,2002-01-18,13.54,13.65,13.1,13.45,8.8065,123300
33,2002-01-22,13.45,14.04,13.35,13.82,9.048762,86000
34,2002-01-23,13.82,13.92,13.3,13.92,9.114239,70300
35,2002-01-24,13.82,13.82,13.5,13.5,8.839237,63000
36,2002-01-25,13.4,13.61,12.9,13.61,8.911263,300500
37,2002-01-28,13.7,13.92,13.66,13.75,9.002928,135600
38,2002-01-29,13.75,13.75,13.02,13.2,8.642815,214400
39,2002-01-30,13.15,13.18,12.82,13.08,8.564241,31600
40,2002-01-31,13.0,13.05,12.5,13.05,8.544597,144700
41,2002-02-01,13.05,13.05,12.74,13.03,8.531505,114100
42,2002-02-04,12.8,13.99,12.69,13.39,8.767219,83400
43,2002-02-05,13.29,13.29,12.53,13.24,8.669004,112700
44,2002-02-06,13.24,13.45,13.1,13.27,8.688647,207500
45,2002-02-07,13.17,13.25,13.1,13.19,8.636265,76500
46,2002-02-08,13.29,13.47,13.26,13.4,8.773762,98900
47,2002-02-11,13.3,13.35,13.0,13.2,8.642815,104900
48,2002-02-12,13.2,13.3,13.15,13.27,8.688647,138700
49,2002-02-13,13.26,13.3,13.25,13.3,8.708288,65400
50,2002-02-14,13.3,13.35,13.25,13.35,8.741026,173400
51,2002-02-15,13.3,13.57,13.3,13.44,8.799952,90300
52,2002-02-19,13.54,13.58,13.3,13.46,8.81305,242600
53,2002-02-20,13.45,13.62,13.45,13.55,8.871979,101100
54,2002-02-21,13.55,13.69,13.5,13.57,8.885072,74100
55,2002-02-22,13.65,14.65,13.65,14.52,9.507094,92600
56,2002-02-25,14.42,14.75,14.25,14.52,9.507094,67300
57,2002-02-26,14.52,14.52,13.88,13.96,9.140426,54500
58,2002-02-27,13.9,14.3,13.5,14.1,9.232095,61000
59,2002-02-28,14.5,14.61,13.9,14.2,9.297567,148300
60,2002-03-01,14.15,15.5,14.06,15.3,10.017807,188500
61,2002-03-04,15.2,15.85,15.2,15.6,10.214232,320000
62,2002-03-05,15.5,15.75,15.23,15.4,10.083282,158400
63,2002-03-06,15.3,15.4,15.0,15.35,10.050539,121500
64,2002-03-07,15.29,15.3,14.75,14.85,9.723166,119300
