,Date,Open,High,Low,Close,Adj Close,Volume
0,1996-01-04,17.125,17.25,16.75,16.78125,8.333422,5502000
1,1996-01-05,16.5,16.59375,16.1875,16.4375,8.16272,8226800
2,1996-01-08,16.40625,16.65625,16.375,16.65625,8.271352,1634400
3,1996-01-09,16.71875,16.71875,16.46875,16.550781,8.218979,6674400
4,1996-01-10,16.5,16.625,16.28125,16.3125,8.10065,6672000
5,1996-01-11,16.46875,16.46875,16.28125,16.40625,8.147202,2596000
6,1996-01-12,16.4375,16.65625,16.25,16.53125,8.209278,4012800
7,1996-01-15,16.5625,16.65625,16.375,16.40625,8.147202,3866400
8,1996-01-16,16.5,16.5625,16.09375,16.5,8.193761,8422400
9,1996-01-17,16.5625,16.625,16.4375,16.59375,8.240314,5702400
10,1996-01-18,16.75,16.75,16.3125,16.46875,8.17824,3342400
11,1996-01-19,16.46875,16.75,16.3125,16.6875,8.286875,4556000
12,1996-01-22,16.5625,16.875,16.53125,16.75,8.317907,2461600
13,1996-01-23,16.71875,16.78125,16.59375,16.78125,8.333422,2012800
14,1996-01-24,16.75,16.78125,16.625,16.75,8.317907,2700000
15,1996-01-25,16.75,16.96875,16.6875,16.75,8.317907,4171600
16,1996-01-26,16.75,16.8125,16.5625,16.75,8.317907,1996400
17,1996-01-29,16.78125,17.125,16.625,17.125,8.504128,2331200
18,1996-01-30,17.21875,17.34375,17.15625,17.25,8.566206,3321200
19,1996-01-31,17.3125,17.5,17.21875,17.46875,8.674832,5628000
20,1996-02-01,17.5,17.5,17.09375,17.1875,8.535164,9975200
21,1996-02-02,17.15625,17.375,17.0,17.1875,8.535164,4112000
22,1996-02-05,17.125,17.40625,17.03125,17.28125,8.581725,2597600
23,1996-02-06,17.34375,17.5625,17.3125,17.375,8.628277,4653600
24,1996-02-07,17.5,17.6875,17.40625,17.625,8.752428,5961200
25,1996-02-08,17.6875,18.5625,17.65625,18.375,9.124874,5296800
26,1996-02-09,18.34375,18.625,18.28125,18.375,9.124874,4092400
27,1996-02-12,18.4375,18.53125,18.3125,18.40625,9.140383,2722000
28,1996-02-13,18.34375,18.59375,18.34375,18.46875,9.171427,3000400
29,1996-02-14,18.46875,18.625,18.25,18.28125,9.078313,3085600
30,1996-02-15,18.34375,18.59375,18.28125,18.5,9.186941,2256400
31,1996-02-16,18.5,18.5,18.15625,18.3125,9.09383,3780000
32,1996-02-20,18.125,18.1875,17.875,18.0,8.938653,5360800
33,1996-02-21,18.0,18.4375,17.96875,18.40625,9.140383,3210400
34,1996-02-22,18.5625,18.875,18.46875,18.59375,9.2335,5047200
35,1996-02-23,18.65625,18.8125,18.5,18.65625,9.264534,3513200
36,1996-02-26,18.6875,19.0625,18.625,18.90625,9.388687,4487200
37,1996-02-27,18.90625,18.9375,18.65625,18.75,9.311093,3268800
38,1996-02-28,18.71875,18.96875,18.53125,18.6875,9.352384,2328000
39,1996-02-29,18.625,18.6875,18.375,18.4375,9.227261,2911600
40,1996-03-01,18.625,18.90625,18.375,18.8125,9.414934,4333200
41,1996-03-04,19.0,19.15625,18.875,19.15625,9.586973,2962400
42,1996-03-05,19.03125,19.71875,19.0,19.625,9.821563,3048400
43,1996-03-06,19.6875,19.75,19.40625,19.46875,9.743366,3397200
44,1996-03-07,19.40625,19.6875,19.25,19.34375,9.680808,3363200
45,1996-03-08,18.90625,19.0625,18.53125,18.59375,9.305461,4671600
46,1996-03-11,18.5625,18.78125,18.3125,18.5625,9.289824,3638400
47,1996-03-12,18.3125,18.46875,17.75,18.40625,9.211626,6066800
48,1996-03-13,18.53125,18.65625,18.28125,18.34375,9.180348,2426400
49,1996-03-14,18.40625,18.5625,18.34375,18.40625,9.211626,2471600
50,1996-03-15,18.375,18.53125,18.25,18.5,9.258543,3344800
51,1996-03-18,18.59375,19.15625,18.59375,18.96875,9.493139,2135200
52,1996-03-19,19.03125,19.15625,18.6875,18.78125,9.399302,2240000
53,1996-03-20,18.84375,18.875,18.59375,18.78125,9.399302,2155200
54,1996-03-21,18.75,18.8125,18.46875,18.5,9.258543,2416800
55,1996-03-22,18.625,18.84375,18.59375,18.8125,9.414934,2048800
56,1996-03-25,19.1875,19.28125,18.90625,18.96875,9.493139,3526000
57,1996-03-26,18.9375,19.3125,18.9375,19.25,9.633888,2311600
58,1996-03-27,19.25,19.78125,19.21875,19.625,9.821563,7557600
59,1996-03-28,19.5625,19.84375,19.5,19.71875,9.868481,4535600
60,1996-03-29,19.96875,20.34375,19.8125,20.03125,10.024877,6886000
61,1996-04-01,20.21875,20.6875,20.21875,20.6875,10.353303,3926400
62,1996-04-02,20.625,20.65625,20.40625,20.5625,10.290749,2405200
63,1996-04-03,20.5,20.53125,20.375,20.5,10.259467,1822000
64,1996-04-04,20.5625,20.6875,20.46875,20.5625,10.290749,3050000
65,1996-04-08,20.1875,20.1875,19.78125,20.15625,10.087435,5518400
66,1996-04-09,20.1875,20.21875,19.6875,19.84375,9.931035,3462800
