,Date,Open,High,Low,Close,Adj Close,Volume
0,1996-01-04,5.625,5.666667,5.555556,5.569444,3.058241,1141200
1,1996-01-05,5.569444,5.569444,5.486111,5.527778,3.035362,1109700
2,1996-01-08,5.555556,5.611111,5.555556,5.611111,3.081122,435600
3,1996-01-09,5.611111,5.611111,5.486111,5.486111,3.012483,1406700
4,1996-01-10,5.5,5.5,5.25,5.263889,2.890457,1429200
5,1996-01-11,5.291667,5.388889,5.291667,5.305556,2.913338,1710000
6,1996-01-12,5.319444,5.319444,5.25,5.263889,2.890457,966600
7,1996-01-15,5.291667,5.305556,5.208333,5.222222,2.867578,1062000
8,1996-01-16,5.222222,5.222222,5.152778,5.180556,2.8447,2129400
9,1996-01-17,5.180556,5.388889,5.180556,5.361111,2.943843,1215000
10,1996-01-18,5.375,5.375,5.25,5.347222,2.936217,954000
11,1996-01-19,5.347222,5.388889,5.291667,5.361111,2.943843,1326600
12,1996-01-22,5.361111,5.416667,5.319444,5.416667,2.974349,3132000
13,1996-01-23,5.416667,5.486111,5.375,5.472222,3.004856,1393200
14,1996-01-24,5.472222,5.597222,5.472222,5.5,3.020108,1855800
15,1996-01-25,5.472222,5.597222,5.472222,5.583333,3.065867,2615400
16,1996-01-26,5.569444,5.652778,5.527778,5.652778,3.104,1781100
17,1996-01-29,5.625,5.708333,5.611111,5.680556,3.119254,1226700
18,1996-01-30,5.694444,5.847222,5.680556,5.847222,3.210772,1218600
19,1996-01-31,5.847222,5.972222,5.819444,5.958333,3.271785,1089000
20,1996-02-01,5.972222,6.041667,5.944444,5.986111,3.28704,585000
21,1996-02-02,5.986111,6.013889,5.847222,5.847222,3.210772,1345500
22,1996-02-05,5.847222,5.888889,5.777778,5.888889,3.233652,1636200
23,1996-02-06,5.916667,5.972222,5.902778,5.958333,3.271785,1282500
24,1996-02-07,5.972222,6.013889,5.958333,6.013889,3.302291,503100
25,1996-02-08,5.986111,6.347222,5.986111,6.319444,3.470075,1123200
26,1996-02-09,6.319444,6.319444,6.236111,6.291667,3.454821,875700
27,1996-02-12,6.291667,6.402778,6.25,6.402778,3.515835,541800
28,1996-02-13,6.375,6.388889,6.347222,6.375,3.500581,477000
29,1996-02-14,6.361111,6.416667,6.333333,6.388889,3.508206,573300
30,1996-02-15,6.388889,6.388889,6.25,6.291667,3.454821,895500
31,1996-02-16,6.305556,6.375,6.291667,6.333333,3.4777,690300
32,1996-02-20,6.333333,6.333333,6.180556,6.194444,3.401437,645300
33,1996-02-21,6.222222,6.333333,6.208333,6.25,3.431942,812700
34,1996-02-22,6.277778,6.388889,6.277778,6.361111,3.492955,1330200
35,1996-02-23,6.361111,6.430556,6.361111,6.402778,3.515835,1401300
36,1996-02-26,6.388889,6.402778,6.333333,6.361111,3.492955,778500
37,1996-02-27,6.347222,6.361111,6.291667,6.333333,3.4777,705600
38,1996-02-28,6.319444,6.444444,6.319444,6.416667,3.52346,1169100
39,1996-02-29,6.402778,6.416667,6.402778,6.402778,3.515835,707400
40,1996-03-01,6.402778,6.402778,6.347222,6.361111,3.492955,407700
41,1996-03-04,6.361111,6.513889,6.361111,6.513889,3.576845,1024200
42,1996-03-05,6.458333,6.555556,6.458333,6.513889,3.576845,799200
43,1996-03-06,6.541667,6.569444,6.486111,6.513889,3.576845,621900
44,1996-03-07,6.527778,6.555556,6.402778,6.416667,3.52346,375300
45,1996-03-08,6.361111,6.361111,6.111111,6.152778,3.378556,1590300
46,1996-03-11,6.166667,6.180556,6.083333,6.083333,3.340423,1224000
47,1996-03-12,6.111111,6.125,5.972222,6.055556,3.325171,657900
48,1996-03-13,6.069444,6.138889,6.041667,6.069444,3.332796,1833300
49,1996-03-14,6.055556,6.194444,6.055556,6.180556,3.39381,1090800
50,1996-03-15,6.152778,6.236111,6.152778,6.236111,3.424315,882000
51,1996-03-18,6.319444,6.388889,6.291667,6.361111,3.492955,944100
52,1996-03-19,6.388889,6.416667,6.333333,6.402778,3.515835,647100
53,1996-03-20,6.402778,6.430556,6.347222,6.361111,3.492955,839700
54,1996-03-21,6.333333,6.375,6.319444,6.347222,3.485326,864900
55,1996-03-22,6.361111,6.361111,6.319444,6.361111,3.492955,940500
56,1996-03-25,6.347222,6.416667,6.347222,6.375,3.500581,180000
57,1996-03-26,6.388889,6.458333,6.333333,6.430556,3.531086,420300
58,1996-03-27,6.430556,6.5,6.402778,6.416667,3.53017,491400
59,1996-03-28,6.444444,6.444444,6.347222,6.388889,3.514887,567000
60,1996-03-29,6.416667,6.444444,6.333333,6.333333,3.484323,1026900
61,1996-04-01,6.347222,6.638889,6.347222,6.597222,3.629502,759600
62,1996-04-02,6.597222,6.666667,6.569444,6.611111,3.637144,459900
63,1996-04-03,6.583333,6.583333,6.486111,6.555556,3.60658,551700
64,1996-04-04,6.597222,6.638889,6.5,6.527778,3.591298,529200
65,1996-04-08,6.388889,6.402778,6.194444,6.194444,3.407914,1086300
66,1996-04-09,6.222222,6.319444,6.222222,6.305556,3.469042,827100
67,1996-04-10,6.291667,6.291667,6.166667,6.180556,3.400273,692100
68,1996-04-11,6.208333,6.208333,6.069444,6.083333,3.346785,755100
69,1996-04-12,6.083333,6.125,6.055556,6.125,3.369707,629100
70,1996-04-15,6.138889,6.166667,6.083333,6.166667,3.392631,2041200
71,1996-04-16,6.111111,6.208333,6.111111,6.125,3.369707,882000
