,Date,Open,High,Low,Close,Adj Close,Volume
0,1998-08-18,12.875,13.125,12.875,13.0,9.37024,5783000
1,1998-08-19,13.0,13.25,13.0,13.0,9.37024,388700
2,1998-08-20,13.125,13.25,13.0,13.0,9.37024,348500
3,1998-08-21,13.0,13.0,13.0,13.0,9.37024,804000
4,1998-08-24,13.0,13.0,13.0,13.0,9.37024,119700
5,1998-08-25,13.0,13.0,12.875,13.0,9.37024,294100
6,1998-08-26,13.0,13.0,12.125,12.25,8.829648,383800
7,1998-08-27,12.25,12.375,10.75,11.125,8.01876,435300
8,1998-08-28,11.375,11.375,10.0,10.0,7.207877,192400
9,1998-08-31,10.0,10.125,7.625,8.125,5.856399,150800
10,1998-09-01,8.25,9.0,6.6875,8.5,6.126694,440700
11,1998-09-02,8.5,10.5,8.5,9.5625,6.89253,509200
12,1998-09-03,9.75,9.75,8.5,8.75,6.306891,165900
13,1998-09-04,9.0,9.0,8.125,8.375,6.036595,155700
14,1998-09-08,9.0,10.0,8.75,9.875,7.117778,149300
15,1998-09-09,9.875,10.0,9.5,9.5,6.847483,116900
16,1998-09-10,9.375,9.375,9.0,9.25,6.667284,80700
17,1998-09-11,9.3125,9.375,9.0,9.0,6.487089,84800
18,1998-09-14,9.25,9.625,9.0,9.0,6.487089,90800
19,1998-09-15,9.125,9.25,8.625,8.75,6.306891,200400
20,1998-09-16,8.75,8.75,7.75,7.875,5.676201,221300
21,1998-09-17,7.875,8.625,7.875,8.28125,5.969022,87300
22,1998-09-18,8.375,8.6875,7.75,8.25,5.946498,147300
23,1998-09-21,7.875,8.0,6.875,7.0,5.045512,472900
24,1998-09-22,7.125,8.125,7.0625,8.0,5.7663,728300
25,1998-09-23,8.25,8.625,8.0,8.375,6.036595,382500
26,1998-09-24,8.5,9.375,8.5,9.0625,6.532137,280800
27,1998-09-25,8.75,9.4375,8.75,9.375,6.757384,44400
28,1998-09-28,9.5,9.875,9.375,9.375,6.757384,26500
29,1998-09-29,9.5,9.75,9.25,9.53125,6.870005,88300
30,1998-09-30,9.5,10.0625,9.375,9.625,6.937579,172300
31,1998-10-01,9.625,9.625,8.875,8.875,6.396988,85500
32,1998-10-02,8.875,9.25,8.875,8.875,6.396988,58700
33,1998-10-05,8.75,8.875,8.0,8.0,5.7663,63000
34,1998-10-06,9.0,9.125,8.0,8.375,6.036595,129500
35,1998-10-07,8.375,8.625,7.8125,7.8125,5.631153,340400
36,1998-10-08,7.75,7.8125,6.0,6.3125,4.549971,346800
37,1998-10-09,7.0,7.125,6.125,6.25,4.504921,271500
38,1998-10-12,6.5,6.5,6.0,6.25,4.504921,660400
39,1998-10-13,6.25,7.5,6.25,7.0,5.045512,228600
40,1998-10-14,6.875,7.625,6.875,7.625,5.496006,46400
41,1998-10-15,7.5,7.625,7.375,7.5625,5.450956,44100
42,1998-10-16,7.8125,8.375,7.5,7.875,5.676201,421600
43,1998-10-19,8.125,8.5625,8.0,8.5625,6.171743,50600
44,1998-10-20,8.625,9.5,8.5,9.375,6.757384,354800
45,1998-10-21,9.4375,10.375,9.4375,10.0,7.207877,156000
46,1998-10-22,10.125,11.5,10.0,11.4375,8.244006,134600
47,1998-10-23,11.625,13.125,11.375,13.0,9.37024,411400
48,1998-10-26,13.0,13.0,12.625,12.75,9.19004,125500
49,1998-10-27,12.875,13.375,12.375,12.4375,8.964795,417500
50,1998-10-28,12.375,12.75,12.25,12.75,9.19004,53000
51,1998-10-29,12.625,13.0625,11.75,12.0,8.649451,280000
52,1998-10-30,12.0,12.875,11.875,12.875,9.280138,198600
53,1998-11-02,12.9375,13.3125,12.625,12.875,9.280138,105900
54,1998-11-03,12.8125,12.875,12.625,12.75,9.19004,24900
55,1998-11-04,12.875,12.875,12.25,12.5,9.009843,105800
56,1998-11-05,12.5,13.25,12.3125,13.25,9.550434,81800
57,1998-11-06,13.25,13.3125,12.875,13.25,9.550434,55600
58,1998-11-09,12.875,13.3125,12.75,13.25,9.550434,84200
59,1998-11-10,13.25,13.3125,12.875,13.0,9.37024,22600
60,1998-11-11,12.875,13.125,12.625,12.75,9.19004,22200
61,1998-11-12,12.75,12.75,12.25,12.5,9.009843,23700
62,1998-11-13,12.5625,12.5625,10.5,11.8125,8.514302,96600
63,1998-11-16,11.6875,12.25,11.25,11.5,8.289058,70500
64,1998-11-17,11.75,12.0,11.125,11.75,8.469252,188500
65,1998-11-18,11.5,12.0,11.5,11.9375,8.604399,22500
66,1998-11-19,12.0,12.0,10.75,10.875,7.838563,41700
67,1998-11-20,11.0,11.0,9.875,10.625,7.658366,148500
68,1998-11-23,10.75,12.5,10.75,11.625,8.379155,151200
69,1998-11-24,11.4375,11.4375,11.1875,11.3125,8.153909,33400
70,1998-11-25,11.375,12.625,11.1875,12.0,8.649451,66200
71,1998-11-27,11.875,13.25,11.875,12.9375,9.325189,203200
72,1998-11-30,13.25,13.625,12.875,13.4375,9.685581,265900
73,1998-12-01,13.25,13.5,12.625,13.3125,9.595481,73100
74,1998-12-02,13.125,13.75,12.9375,13.3125,9.595481,142400
75,1998-12-03,13.5,13.625,13.25,13.625,9.820729,100000
76,1998-12-04,14.375,16.625,13.9375,16.375,11.802893,377200
77,1998-12-07,16.5,16.75,15.5,15.6875,11.307353,193400
78,1998-12-08,15.875,15.9375,14.875,15.1875,10.946959,140300
79,1998-12-09,14.75,19.375,14.75,17.625,12.703879,412500
80,1998-12-10,17.75,17.875,16.625,16.9375,12.20834,200200
81,1998-12-11,16.5,16.625,15.125,15.9375,11.487547,227800
82,1998-12-14,16.0,16.25,15.25,15.25,10.992011,84400
83,1998-12-15,16.125,16.375,15.0,15.96875,11.510075,276900
84,1998-12-16,15.9375,17.0,15.75,16.875,12.16329,226900
85,1998-12-17,17.125,17.25,16.75,17.0625,12.298434,222700
86,1998-12-18,17.25,17.25,16.875,17.0,12.253387,47500
87,1998-12-21,17.125,19.0,16.875,18.5,13.334567,145100
88,1998-12-22,18.8125,18.8125,17.75,17.90625,12.906602,652100
89,1998-12-23,18.375,18.75,17.75,18.5,13.334567,340000
90,1998-12-24,18.375,18.75,17.875,18.0,12.974177,27100
91,1998-12-28,18.1875,20.0,17.875,20.0,14.415754,139100
92,1998-12-29,20.125,20.875,18.5,20.875,15.04644,103600
93,1998-12-30,20.625,21.25,20.25,20.875,15.04644,28700
94,1998-12-31,21.0625,23.5,20.875,23.5,16.938503,96100
95,1999-01-04,23.0,23.5,20.0,21.0625,15.181587,199200
96,1999-01-05,20.5625,20.6875,19.8125,19.9375,14.3707,116900
97,1999-01-06,19.875,22.0,19.875,20.75,14.956342,160300
98,1999-01-07,21.0,23.25,20.25,22.5,16.217722,211200
99,1999-01-08,23.25,23.5,22.375,22.40625,16.150146,94600
100,1999-01-11,22.5,22.5,21.75,21.875,15.767223,37200
101,1999-01-12,22.0625,22.0625,20.25,21.0,15.136535,79800
102,1999-01-13,19.75,20.875,19.25,20.25,14.595948,113400
103,1999-01-14,20.5,21.25,20.25,20.9375,15.091479,212300
104,1999-01-15,20.625,21.75,20.625,21.75,15.677126,42700
105,1999-01-19,21.75,22.875,21.125,22.125,15.947423,178900
106,1999-01-20,22.25,22.9375,22.25,22.75,16.397913,104800
107,1999-01-21,22.4375,22.5,21.5,21.5,15.496931,128100
108,1999-01-22,21.125,21.25,19.875,20.0,14.415754,72800
109,1999-01-25,20.0,21.625,19.5,21.625,15.587034,70400
110,1999-01-26,21.875,22.75,21.0,21.5,15.496931,123800
111,1999-01-27,21.75,22.25,20.75,21.5625,15.541982,15000
112,1999-01-28,21.625,22.0,21.0,21.375,15.406832,31000
113,1999-01-29,21.625,21.75,21.375,21.625,15.587034,51900
114,1999-02-01,21.625,21.75,21.375,21.5625,15.541982,73100
115,1999-02-02,21.5625,22.0,21.5625,21.875,15.767223,13300
116,1999-02-03,22.25,22.25,21.5,21.625,15.587034,9800
117,1999-02-04,21.375,21.75,21.375,21.75,15.677126,28800
118,1999-02-05,21.75,22.0,21.375,21.75,15.677126,25400
119,1999-02-08,21.875,23.125,21.25,21.75,15.677126,193600
120,1999-02-09,21.5,21.75,21.0,21.125,15.226636,23800
121,1999-02-10,21.125,21.5,20.75,21.0,15.136535,5400
122,1999-02-11,21.375,21.5,19.5,19.6875,14.190505,96500
123,1999-02-12,19.6875,19.6875,18.125,18.75,13.514768,85500
124,1999-02-16,19.375,19.375,18.0,19.0,13.694965,78800
125,1999-02-17,19.125,19.125,17.5,18.375,13.24447,28400
126,1999-02-18,18.375,19.0625,18.0,18.75,13.514768,32400
127,1999-02-19,18.75,19.0,18.625,18.625,13.424667,122500
128,1999-02-22,19.125,19.125,18.9375,18.9375,13.649911,97000
129,1999-02-23,19.125,19.125,18.75,18.875,13.604863,13100
130,1999-02-24,18.875,19.125,18.875,18.9375,13.649911,190100
131,1999-02-25,18.9375,19.125,18.625,19.125,13.78506,17300
132,1999-02-26,19.0,19.0,17.0,17.0,12.253387,173400
133,1999-03-01,17.0,17.25,16.625,17.25,12.433582,31700
134,1999-03-02,17.125,17.25,17.0,17.125,12.343486,131700
135,1999-03-03,17.125,17.3125,17.0,17.125,12.343486,117400
136,1999-03-04,17.25,18.125,17.125,18.125,13.064275,247600
137,1999-03-05,18.375,18.8125,18.25,18.625,13.424667,66100
138,1999-03-08,18.875,19.0,18.375,18.875,13.604863,378000
139,1999-03-09,21.0,21.5,19.25,19.375,13.965258,535500
140,1999-03-10,19.5,19.5,18.0,18.125,13.064275,158000
141,1999-03-11,18.0,18.5625,17.8125,18.0625,13.019223,508800
142,1999-03-12,18.0,18.875,17.75,18.5625,13.379621,235200
143,1999-03-15,18.375,19.9375,18.375,19.9375,14.3707,231800
144,1999-03-16,20.0,20.0625,19.375,20.0,14.415754,57300
145,1999-03-17,20.0,20.0625,19.0,19.90625,14.348174,56600
146,1999-03-18,19.5,19.75,18.75,19.25,13.875158,390700
147,1999-03-19,19.375,19.375,18.75,18.875,13.604863,44100
148,1999-03-22,19.25,19.25,18.75,18.9375,13.649911,122100
149,1999-03-23,18.875,19.0625,18.25,18.25,13.15437,361500
150,1999-03-24,18.5,18.5,18.125,18.375,13.24447,2900
151,1999-03-25,18.375,18.5,18.0,18.125,13.064275,197300
152,1999-03-26,18.0,18.25,18.0,18.0,12.974177,24600
153,1999-03-29,18.0,18.5,18.0,18.375,13.24447,516800
154,1999-03-30,18.375,18.5,17.875,18.0,12.974177,129800
155,1999-03-31,17.875,18.0625,17.5,18.0,12.974177,311300
156,1999-04-01,18.0625,19.40625,17.9375,19.0,13.694965,47100
157,1999-04-05,19.0,19.0,18.0,18.125,13.064275,26200
158,1999-04-06,18.125,18.125,17.5,17.9375,12.929126,75300
159,1999-04-07,18.375,18.375,17.875,18.09375,13.041748,139200
160,1999-04-08,18.0625,18.375,18.0625,18.28125,13.176898,70700
161,1999-04-09,18.25,18.3125,18.25,18.25,13.15437,46200
162,1999-04-12,18.1875,18.3125,18.0625,18.1875,13.109323,47700
163,1999-04-13,18.0625,18.3125,18.0625,18.25,13.15437,166300
164,1999-04-14,18.3125,18.3125,18.0,18.0,12.974177,177700
165,1999-04-15,17.9375,17.9375,17.25,17.625,12.703879,114000
166,1999-04-16,17.375,17.75,17.0,17.125,12.343486,291000
167,1999-04-19,17.125,17.5,17.0,17.125,12.343486,140300
168,1999-04-20,17.125,17.25,16.375,16.96875,12.230865,71600
169,1999-04-21,17.0,18.25,16.8125,18.1875,13.109323,227000
170,1999-04-22,18.25,18.625,18.0,18.4375,13.289521,425500
171,1999-04-23,18.4375,18.875,18.3125,18.75,13.514768,285200
172,1999-04-26,18.8125,19.125,18.5,19.0,13.694965,150900
173,1999-04-27,19.125,19.1875,19.0,19.1875,13.83011,30500
174,1999-04-28,19.25,19.5625,19.0,19.5,14.055357,450000
175,1999-04-29,19.5,19.5,18.75,18.75,13.514768,342500
176,1999-04-30,18.5,19.125,18.5,19.125,13.78506,57500
177,1999-05-03,19.125,19.125,18.875,19.0,13.694965,32100
178,1999-05-04,19.375,20.25,19.125,20.0625,14.460799,722200
179,1999-05-05,20.125,20.625,19.9375,20.375,14.686042,441800
180,1999-05-06,20.4375,20.875,20.25,20.5625,14.821189,818800
181,1999-05-07,20.6875,21.125,20.3125,20.4375,14.731096,346400
182,1999-05-10,20.375,20.375,18.4375,18.9375,13.649911,341100
183,1999-05-11,18.5625,18.75,18.0,18.1875,13.109323,909400
184,1999-05-12,17.5,18.625,17.125,18.25,13.15437,10559800
185,1999-05-13,18.875,20.25,18.75,19.875,14.325653,3129700
186,1999-05-14,19.75,19.875,18.625,19.5,14.055357,1212300
187,1999-05-17,19.25,20.75,19.0,20.375,14.686042,683500
188,1999-05-18,20.75,21.375,20.375,20.8125,15.00139,1020000
189,1999-05-19,21.25,21.5,20.75,21.0,15.136535,548700
190,1999-05-20,21.125,21.125,20.0,20.6875,14.911292,591700
191,1999-05-21,20.5,20.75,19.875,20.0,14.415754,656500
192,1999-05-24,19.9375,20.0625,19.125,19.875,14.325653,504700
193,1999-05-25,19.5625,19.8125,19.125,19.4375,14.010305,852600
194,1999-05-26,19.375,19.5,18.5,19.0,13.694965,875700
195,1999-05-27,18.9375,18.9375,17.75,18.625,13.424667,546000
196,1999-05-28,18.625,20.125,18.0,20.125,14.505851,509400
197,1999-06-01,19.8125,19.8125,18.4375,18.5625,13.379621,432200
198,1999-06-02,18.6875,18.6875,17.125,17.875,12.884077,591400
199,1999-06-03,18.0,18.8125,17.875,18.4375,13.289521,418200
200,1999-06-04,18.0625,19.75,18.0,19.75,14.235556,484000
201,1999-06-07,19.875,19.875,18.875,19.125,13.78506,321900
202,1999-06-08,19.125,19.5,18.875,18.9375,13.649911,436500
203,1999-06-09,18.875,19.375,18.875,19.375,13.965258,229600
204,1999-06-10,18.875,19.1875,18.8125,19.0,13.694965,272800
205,1999-06-11,19.0625,19.0625,18.375,18.875,13.604863,388300
206,1999-06-14,18.5,18.5,17.75,18.0,12.974177,466800
207,1999-06-15,17.875,18.5625,17.875,18.25,13.15437,737300
208,1999-06-16,18.125,19.375,18.125,19.375,13.965258,476400
209,1999-06-17,19.125,19.875,19.0,19.8125,14.2806,447900
210,1999-06-18,19.8125,19.875,19.375,19.75,14.235556,76600
211,1999-06-21,19.6875,19.75,19.1875,19.3125,13.920208,99900
212,1999-06-22,19.3125,19.5,18.4375,18.4375,13.289521,243500
213,1999-06-23,18.6875,19.125,18.25,19.125,13.78506,247200
214,1999-06-24,19.125,19.125,18.0,18.0,12.974177,206200
215,1999-06-25,18.125,18.5,16.875,17.1875,12.388534,235300
216,1999-06-28,17.375,18.625,17.3125,18.625,13.424667,378500
217,1999-06-29,18.75,19.8125,18.625,19.75,14.235556,388200
218,1999-06-30,20.0,21.0625,19.625,20.8125,15.00139,1065800
219,1999-07-01,20.8125,22.0,20.375,21.375,15.406832,401500
220,1999-07-02,21.5,22.25,20.9375,21.3125,15.361788,217200
221,1999-07-06,21.3125,21.3125,20.375,20.5,14.776137,241500
222,1999-07-07,20.375,20.375,19.3125,19.4375,14.010305,317700
223,1999-07-08,19.75,19.9375,19.4375,19.9375,14.3707,137100
224,1999-07-09,19.875,20.125,19.75,20.0625,14.460799,238600
225,1999-07-12,20.5,21.5,20.4375,21.125,15.226636,386400
226,1999-07-13,21.0625,22.875,21.0625,22.375,16.127619,345400
227,1999-07-14,22.5,25.125,22.3125,25.0,18.019686,979800
228,1999-07-15,25.125,25.125,23.125,23.375,16.848413,324400
229,1999-07-16,23.25,24.25,23.25,24.0,17.298903,948100
230,1999-07-19,24.125,25.5,24.0625,24.8125,17.884539,690100
231,1999-07-20,24.75,24.875,23.875,24.1875,17.434044,213200
232,1999-07-21,23.875,24.875,23.625,24.875,17.92959,283500
233,1999-07-22,24.25,24.75,23.5,23.6875,17.073652,253700
234,1999-07-23,24.125,24.375,23.6875,24.125,17.389004,514800
235,1999-07-26,24.1875,24.625,23.875,24.25,17.479095,466900
236,1999-07-27,24.4375,24.4375,22.75,23.25,16.75831,1084100
237,1999-07-28,23.0,23.375,22.8125,22.8125,16.442959,135300
238,1999-07-29,22.5,23.5,21.75,22.875,16.488012,279800
239,1999-07-30,22.875,23.0,20.5,21.0625,15.181587,141600
240,1999-08-02,21.25,23.6875,21.125,23.6875,17.073652,339200
241,1999-08-03,23.75,23.75,22.0,22.8125,16.442959,365500
242,1999-08-04,22.375,22.4375,21.5625,22.0,15.857319,162000
243,1999-08-05,22.25,22.5,18.75,19.1875,13.83011,614300
244,1999-08-06,19.25,19.5625,18.5,18.5625,13.379621,414400
245,1999-08-09,18.59375,19.25,18.0,18.375,13.24447,257400
246,1999-08-10,18.375,18.375,17.25,17.25,12.433582,180800
247,1999-08-11,17.59375,17.8125,17.5,17.8125,12.839029,290500
248,1999-08-12,18.75,18.75,17.625,17.625,12.703879,207600
249,1999-08-13,17.9375,18.125,17.0,17.5,12.613783,288800
250,1999-08-16,17.5625,17.625,16.875,16.875,12.16329,272400
251,1999-08-17,17.25,18.0625,17.0,17.875,12.884077,548300
252,1999-08-18,18.0625,18.0625,16.8125,16.9375,12.20834,342500
253,1999-08-19,17.0,17.625,16.25,17.5625,12.658828,479400
254,1999-08-20,17.625,17.625,17.3125,17.5,12.613783,233900
255,1999-08-23,17.84375,18.0,17.125,17.375,12.523685,188000
256,1999-08-24,17.5,17.5625,17.0,17.375,12.523685,105300
257,1999-08-25,17.625,17.625,16.5,16.625,11.983093,368500
258,1999-08-26,17.125,17.25,16.9375,17.125,12.343486,395000
259,1999-08-27,17.25,17.3125,15.0,15.25,10.992011,243200
260,1999-08-30,15.9375,16.4375,15.625,15.6875,11.307353,482700
261,1999-08-31,15.875,16.6875,14.875,15.125,10.901912,315800
262,1999-09-01,15.6875,15.6875,14.6875,15.5,11.172208,901500
263,1999-09-02,15.6875,17.0625,15.5625,17.0,12.253387,588000
264,1999-09-03,17.5,18.125,17.1875,18.0,12.974177,422600
265,1999-09-07,18.8125,19.375,18.25,18.9375,13.649911,844700
266,1999-09-08,18.9375,19.5,18.75,19.125,13.78506,698100
267,1999-09-09,19.25,19.5,18.9375,19.25,13.875158,746800
268,1999-09-10,19.5,20.25,18.875,19.625,14.145457,939800
269,1999-09-13,19.6875,19.75,18.875,19.1875,13.83011,468500
270,1999-09-14,19.0,19.4375,18.875,19.4375,14.010305,307000
271,1999-09-15,20.0,21.25,19.3125,19.8125,14.2806,788400
272,1999-09-16,20.0625,20.0625,19.125,19.4375,14.010305,642800
273,1999-09-17,19.9375,20.0,19.375,19.5625,14.100407,238700
274,1999-09-20,19.5625,19.75,19.125,19.125,13.78506,303700
275,1999-09-21,19.25,19.578125,18.5,19.1875,13.83011,101800
276,1999-09-22,19.25,19.25,18.875,19.0625,13.74001,185500
277,1999-09-23,18.875,20.1875,18.6875,19.9375,14.3707,367900
278,1999-09-24,20.125,20.125,18.8125,19.5,14.055357,163500
279,1999-09-27,19.9375,19.9375,18.640625,19.125,13.78506,191800
280,1999-09-28,19.0,19.0,18.5625,18.6875,13.469716,122100
281,1999-09-29,18.6875,18.875,18.5,18.5,13.334567,326600
282,1999-09-30,18.5,18.8125,18.25,18.71875,13.492241,1387500
283,1999-10-01,18.8125,18.8125,18.3125,18.375,13.24447,566800
284,1999-10-04,18.5,19.125,18.375,18.4375,13.289521,964200
285,1999-10-05,18.75,18.75,18.125,18.1875,13.109323,1119900
286,1999-10-06,18.125,18.625,18.125,18.5625,13.379621,267300
287,1999-10-07,18.625,18.8125,18.25,18.25,13.15437,459400
288,1999-10-08,18.625,18.75,18.25,18.625,13.424667,223400
289,1999-10-11,18.75,18.75,18.375,18.6875,13.469716,275100
290,1999-10-12,18.8125,18.8125,17.375,17.875,12.884077,261900
291,1999-10-13,17.875,17.9375,16.625,16.8125,12.118239,166800
292,1999-10-14,17.125,17.375,15.4375,16.875,12.16329,247500
293,1999-10-15,16.0,17.625,16.0,17.5,12.613783,334100
294,1999-10-18,17.5,17.5,17.0625,17.0625,12.298434,204100
295,1999-10-19,17.71875,18.0,17.625,17.9375,12.929126,451900
296,1999-10-20,18.125,18.25,18.0,18.0625,13.019223,616900
297,1999-10-21,18.0,18.1875,17.8125,18.0625,13.019223,100600
298,1999-10-22,18.21875,18.75,18.0625,18.4375,13.289521,929200
299,1999-10-25,18.375,18.5,18.0,18.3125,13.199421,587200
300,1999-10-26,18.28125,19.25,18.28125,18.625,13.424667,132000
301,1999-10-27,18.6875,19.25,18.125,19.1875,13.83011,192600
302,1999-10-28,19.59375,20.375,19.5,20.03125,14.438273,702700
303,1999-10-29,20.4375,20.6875,19.0625,19.25,13.875158,317200
304,1999-11-01,19.5,20.0,19.1875,19.6875,14.190505,518400
