,Date,Open,High,Low,Close,Adj Close,Volume
0,1996-01-04,12.0,12.041667,11.861111,11.902778,9.667591,2846700
1,1996-01-05,11.888889,11.902778,11.75,11.847222,9.622466,3740400
2,1996-01-08,11.888889,11.916667,11.861111,11.916667,9.678871,350100
3,1996-01-09,11.888889,11.916667,11.833333,11.847222,9.622466,3540600
4,1996-01-10,11.777778,11.805556,11.597222,11.638889,9.453256,2615400
5,1996-01-11,11.638889,11.777778,11.597222,11.777778,9.566062,2325600
6,1996-01-12,12.0,12.166667,11.902778,12.166667,9.881924,4338000
7,1996-01-15,12.166667,12.375,12.166667,12.375,10.051132,3547800
8,1996-01-16,12.388889,12.527778,12.375,12.527778,10.175223,2352600
9,1996-01-17,12.527778,12.861111,12.513889,12.763889,10.366995,3204000
10,1996-01-18,13.222222,13.263889,13.055556,13.25,10.761822,4905000
11,1996-01-19,13.194444,13.208333,12.958333,12.972222,10.536204,6118200
12,1996-01-22,12.916667,13.0,12.791667,12.805556,10.400839,1884600
13,1996-01-23,12.833333,13.0,12.805556,13.0,10.558766,1306800
14,1996-01-24,12.958333,13.166667,12.958333,13.0,10.558766,1533600
15,1996-01-25,13.013889,13.097222,12.875,12.888889,10.468521,1656900
16,1996-01-26,12.888889,12.888889,12.680556,12.763889,10.366995,1591200
17,1996-01-29,12.763889,13.041667,12.763889,13.041667,10.592607,1748700
18,1996-01-30,13.013889,13.152778,12.972222,13.111111,10.649014,1366200
19,1996-01-31,13.111111,13.194444,13.027778,13.180556,10.705416,3182400
20,1996-02-01,13.166667,13.166667,12.861111,12.875,10.457239,2631600
21,1996-02-02,12.875,12.916667,12.583333,12.638889,10.265468,2128500
22,1996-02-05,12.666667,12.708333,12.555556,12.666667,10.288027,1015200
23,1996-02-06,12.680556,13.0,12.638889,12.916667,10.491082,3151800
24,1996-02-07,12.930556,13.041667,12.930556,13.041667,10.592607,1843200
25,1996-02-08,13.222222,13.611111,13.222222,13.333333,10.829507,4935600
26,1996-02-09,13.305556,13.319444,13.055556,13.180556,10.705416,2763000
27,1996-02-12,13.125,13.388889,13.125,13.180556,10.705416,4568400
28,1996-02-13,13.25,13.611111,13.25,13.513889,10.976153,4640400
29,1996-02-14,13.833333,13.833333,13.305556,13.333333,10.829507,4342500
30,1996-02-15,13.222222,13.458333,13.222222,13.236111,10.750538,3644100
31,1996-02-16,13.222222,13.305556,13.041667,13.069444,10.61517,3992400
32,1996-02-20,12.791667,13.013889,12.791667,13.013889,10.570048,3198600
33,1996-02-21,13.013889,13.208333,13.013889,13.125,10.660289,2203200
34,1996-02-22,13.166667,13.430556,13.166667,13.319444,10.818223,2934000
35,1996-02-23,13.444444,13.458333,13.236111,13.361111,10.852069,4371300
36,1996-02-26,13.333333,13.375,13.152778,13.347222,10.840783,1698300
37,1996-02-27,13.402778,13.416667,13.166667,13.166667,10.694135,2549700
38,1996-02-28,13.25,13.5,13.25,13.319444,10.818223,2635200
39,1996-02-29,13.208333,13.291667,13.138889,13.166667,10.694135,2622600
40,1996-03-01,13.194444,13.361111,13.111111,13.361111,10.852069,966600
41,1996-03-04,13.319444,13.555556,13.305556,13.444444,10.919749,1737000
42,1996-03-05,13.527778,13.680556,13.458333,13.666667,11.100241,1449000
43,1996-03-06,13.666667,13.944444,13.652778,13.847222,11.246893,2121300
44,1996-03-07,13.805556,13.819444,13.555556,13.722222,11.145368,1169100
45,1996-03-08,13.597222,13.597222,12.625,12.861111,10.445961,4040100
46,1996-03-11,12.763889,13.0,12.652778,12.888889,10.541378,3705300
47,1996-03-12,12.805556,12.833333,12.444444,12.805556,10.473225,2735100
48,1996-03-13,12.833333,13.083333,12.791667,13.0,10.632249,2788200
49,1996-03-14,13.0,13.180556,13.0,13.138889,10.745847,1638900
50,1996-03-15,13.166667,13.166667,12.958333,13.083333,10.700404,2343600
51,1996-03-18,13.083333,13.208333,13.055556,13.111111,10.723125,1693800
52,1996-03-19,13.111111,13.111111,13.013889,13.111111,10.723125,1853100
53,1996-03-20,13.138889,13.138889,12.902778,13.0,10.632249,1161000
54,1996-03-21,13.027778,13.083333,12.888889,12.958333,10.598175,1161900
55,1996-03-22,12.958333,13.180556,12.930556,13.111111,10.723125,1609200
56,1996-03-25,13.111111,13.125,12.777778,12.777778,10.450503,1743300
57,1996-03-26,12.791667,12.875,12.777778,12.791667,10.461864,3045600
58,1996-03-27,12.861111,12.875,12.75,12.777778,10.450503,1309500
59,1996-03-28,12.777778,12.916667,12.680556,12.763889,10.439144,1706400
60,1996-03-29,12.791667,12.833333,12.680556,12.694444,10.382345,1256400
61,1996-04-01,12.833333,12.875,12.75,12.819444,10.484582,1635300
62,1996-04-02,12.819444,12.902778,12.708333,12.861111,10.518661,1819800
63,1996-04-03,12.861111,12.861111,12.638889,12.666667,10.359628,2744100
64,1996-04-04,12.638889,12.694444,12.263889,12.333333,10.087007,5281200
65,1996-04-08,11.944444,12.069444,11.805556,11.972222,9.791666,5092200
66,1996-04-09,12.055556,12.166667,11.902778,12.0,9.814383,4788900
67,1996-04-10,11.666667,11.75,11.513889,11.583333,9.473611,4424400
68,1996-04-11,11.583333,11.625,11.194444,11.319444,9.257781,8186400
69,1996-04-12,11.527778,11.611111,11.472222,11.583333,9.473611,8252100
70,1996-04-15,11.611111,11.611111,11.444444,11.527778,9.428171,2818800
71,1996-04-16,11.555556,11.569444,11.416667,11.444444,9.360014,3206700
72,1996-04-17,11.388889,11.541667,11.388889,11.458333,9.371373,1712700
73,1996-04-18,11.486111,11.583333,11.458333,11.541667,9.43953,2178000
74,1996-04-19,11.569444,11.583333,11.513889,11.555556,9.45089,2682000
75,1996-04-22,11.583333,11.708333,11.486111,11.611111,9.496326,3008700
76,1996-04-23,11.638889,12.0,11.638889,11.972222,9.791666,3401100
77,1996-04-24,12.0,12.513889,11.986111,12.458333,10.189237,4181400
78,1996-04-25,12.416667,12.430556,12.097222,12.166667,9.950699,3046500
79,1996-04-26,12.25,12.319444,12.180556,12.222222,9.996134,2062800
80,1996-04-29,12.180556,12.180556,12.041667,12.097222,9.893902,951300
81,1996-04-30,12.125,12.597222,12.111111,12.597222,10.302832,1875600
82,1996-05-01,12.5,12.625,12.388889,12.388889,10.132447,3996000
83,1996-05-02,12.055556,12.097222,11.527778,11.555556,9.45089,7214400
84,1996-05-03,11.888889,11.986111,11.666667,11.666667,9.541766,16488000
85,1996-05-06,11.777778,11.777778,11.611111,11.666667,9.541766,4485600
86,1996-05-07,11.680556,11.722222,11.652778,11.680556,9.553122,3675600
87,1996-05-08,11.680556,12.0,11.638889,11.888889,9.723512,4007700
88,1996-05-09,11.902778,12.111111,11.888889,12.111111,9.905257,2338200
89,1996-05-10,12.333333,12.625,12.236111,12.402778,10.143803,2790900
90,1996-05-13,12.402778,12.555556,12.25,12.527778,10.246038,1716300
91,1996-05-14,12.638889,12.722222,12.569444,12.611111,10.314193,2957400
92,1996-05-15,12.583333,12.763889,12.583333,12.722222,10.405069,2201400
93,1996-05-16,12.625,12.652778,12.444444,12.458333,10.189237,3960000
94,1996-05-17,12.5,12.666667,12.486111,12.555556,10.268755,5240700
95,1996-05-20,12.638889,12.694444,12.597222,12.652778,10.348269,2294100
96,1996-05-21,12.652778,12.722222,12.638889,12.722222,10.405069,1806300
97,1996-05-22,12.694444,12.763889,12.625,12.763889,10.439144,2166300
98,1996-05-23,12.763889,12.833333,12.611111,12.694444,10.382345,1998000
99,1996-05-24,12.708333,12.888889,12.652778,12.875,10.530017,1003500
100,1996-05-28,12.819444,12.895833,12.722222,12.861111,10.518661,1190700
101,1996-05-29,12.861111,12.861111,12.597222,12.611111,10.314193,1338300
102,1996-05-30,12.583333,12.805556,12.527778,12.708333,10.393708,1172700
103,1996-05-31,12.680556,12.847222,12.555556,12.763889,10.439144,1134900
104,1996-06-03,12.75,12.833333,12.652778,12.652778,10.348269,1044900
105,1996-06-04,12.652778,12.777778,12.625,12.625,10.32555,1997100
106,1996-06-05,12.680556,12.694444,12.611111,12.652778,10.348269,2176200
107,1996-06-06,12.708333,12.722222,12.611111,12.625,10.32555,1800000
108,1996-06-07,12.222222,12.388889,12.194444,12.347222,10.098365,2822400
109,1996-06-10,12.416667,12.430556,12.277778,12.277778,10.114388,1008900
110,1996-06-11,12.319444,12.486111,12.263889,12.277778,10.114388,782100
111,1996-06-12,12.333333,12.472222,12.263889,12.277778,10.114388,806400
112,1996-06-13,12.25,12.319444,12.208333,12.263889,10.102944,1115100
113,1996-06-14,12.375,12.375,12.25,12.333333,10.160151,1305000
114,1996-06-17,12.388889,12.486111,12.347222,12.458333,10.26312,1286100
115,1996-06-18,12.472222,12.541667,12.458333,12.458333,10.26312,1214100
116,1996-06-19,12.444444,12.5,12.430556,12.430556,10.240244,1325700
117,1996-06-20,12.444444,12.513889,12.388889,12.5,10.297449,2516400
118,1996-06-21,12.486111,12.638889,12.444444,12.638889,10.411867,2519100
119,1996-06-24,12.638889,12.958333,12.638889,12.958333,10.675024,3401100
120,1996-06-25,12.958333,13.013889,12.638889,12.763889,10.51484,1548000
121,1996-06-26,12.694444,12.847222,12.694444,12.819444,10.56061,1936800
122,1996-06-27,12.777778,12.972222,12.777778,12.861111,10.594934,1705500
123,1996-06-28,12.777778,13.097222,12.777778,13.097222,10.789445,1466100
124,1996-07-01,13.111111,13.166667,12.888889,13.166667,10.846648,1073700
125,1996-07-02,13.236111,13.236111,13.111111,13.166667,10.846648,1003500
126,1996-07-03,13.166667,13.25,13.111111,13.236111,10.90386,1271700
127,1996-07-05,13.111111,13.111111,12.666667,12.680556,10.446191,785700
128,1996-07-08,12.680556,12.805556,12.472222,12.5,10.297449,1282500
129,1996-07-09,12.583333,12.694444,12.472222,12.472222,10.274571,1982700
130,1996-07-10,12.472222,12.472222,12.291667,12.402778,10.217358,3528900
131,1996-07-11,12.222222,12.236111,11.888889,12.069444,9.94276,7698600
132,1996-07-12,12.069444,12.25,12.041667,12.25,10.091498,2467800
