,Date,Open,High,Low,Close,Adj Close,Volume
0,1996-01-04,8.125,8.208333,7.875,7.875,5.786285,593700
1,1996-01-05,7.833333,7.958333,7.833333,7.916667,5.8169,549000
2,1996-01-08,7.916667,8.041667,7.916667,8.041667,5.908746,157500
3,1996-01-09,8.041667,8.166667,7.916667,7.958333,5.847516,522600
4,1996-01-10,7.875,7.875,7.5,7.5,5.510747,802200
5,1996-01-11,7.583333,7.708333,7.583333,7.666667,5.633207,1362600
6,1996-01-12,7.583333,7.625,7.416667,7.458333,5.48013,1610400
7,1996-01-15,7.5,7.5,7.25,7.291667,5.357672,1642200
8,1996-01-16,7.333333,7.5,7.333333,7.416667,5.449518,680400
9,1996-01-17,7.458333,8.041667,7.458333,7.958333,5.847516,2289000
10,1996-01-18,8.25,8.25,8.083333,8.166667,6.00059,1306800
11,1996-01-19,8.166667,8.375,8.125,8.333333,6.123054,1419000
12,1996-01-22,8.375,8.583333,8.375,8.541667,6.27613,1104000
13,1996-01-23,8.583333,8.708333,8.583333,8.708333,6.398588,1107600
14,1996-01-24,8.625,8.625,8.083333,8.333333,6.123054,2760600
15,1996-01-25,8.583333,8.875,8.5,8.875,6.52105,1086900
16,1996-01-26,8.916667,8.916667,8.541667,8.75,6.429205,1248900
17,1996-01-29,8.791667,8.791667,8.541667,8.666667,6.367976,431700
18,1996-01-30,8.625,8.666667,8.583333,8.666667,6.367976,403800
19,1996-01-31,8.625,9.0,8.583333,8.958333,6.582281,1879500
20,1996-02-01,9.0,9.0,8.791667,8.916667,6.551663,1199400
21,1996-02-02,8.875,9.291667,8.875,9.083333,6.694147,2105400
22,1996-02-05,8.958333,8.958333,8.791667,8.833333,6.5099,525900
23,1996-02-06,8.791667,8.833333,8.541667,8.666667,6.387078,816300
24,1996-02-07,8.75,8.916667,8.708333,8.75,6.448491,690600
25,1996-02-08,8.833333,8.875,8.791667,8.833333,6.5099,614700
26,1996-02-09,8.833333,9.041667,8.833333,8.958333,6.602025,635700
27,1996-02-12,8.916667,9.0,8.75,8.875,6.540611,545400
28,1996-02-13,8.833333,9.333333,8.75,9.208333,6.786267,1220100
29,1996-02-14,9.125,9.333333,9.125,9.208333,6.786267,671100
30,1996-02-15,9.083333,9.25,8.916667,8.958333,6.602025,500400
31,1996-02-16,8.875,9.0,8.875,8.916667,6.571317,563100
32,1996-02-20,8.833333,8.833333,8.625,8.666667,6.387078,423600
33,1996-02-21,8.625,8.833333,8.625,8.708333,6.417782,476400
34,1996-02-22,8.875,9.0,8.75,8.916667,6.571317,579000
35,1996-02-23,8.875,9.083333,8.875,9.083333,6.694147,695100
36,1996-02-26,9.125,9.125,8.916667,9.0,6.632734,580800
37,1996-02-27,9.0,9.0,8.75,8.791667,6.479197,381900
38,1996-02-28,8.833333,9.0,8.833333,8.875,6.540611,557700
39,1996-02-29,8.833333,8.958333,8.75,8.916667,6.571317,753600
40,1996-03-01,8.958333,8.958333,8.75,8.791667,6.479197,666300
41,1996-03-04,8.833333,9.0,8.833333,8.916667,6.571317,416100
42,1996-03-05,8.875,9.041667,8.833333,8.916667,6.571317,937200
43,1996-03-06,8.916667,8.916667,8.75,8.833333,6.5099,603600
44,1996-03-07,8.75,8.791667,8.708333,8.75,6.448491,296700
45,1996-03-08,8.5,8.541667,7.916667,8.041667,5.926471,1207800
46,1996-03-11,8.041667,8.333333,8.0,8.333333,6.141421,1164900
47,1996-03-12,8.208333,8.291667,8.083333,8.25,6.080002,553800
48,1996-03-13,8.25,8.25,8.083333,8.166667,6.018589,749100
49,1996-03-14,8.208333,8.458333,8.208333,8.375,6.172127,1775400
50,1996-03-15,8.333333,8.333333,8.208333,8.25,6.080002,990900
51,1996-03-18,8.416667,8.666667,8.291667,8.666667,6.387078,1247400
52,1996-03-19,8.916667,9.125,8.916667,9.083333,6.694147,2922300
53,1996-03-20,9.333333,9.583333,9.166667,9.291667,6.847685,1590000
54,1996-03-21,9.25,9.25,8.916667,9.0,6.632734,983100
55,1996-03-22,9.0,9.166667,8.833333,9.166667,6.75556,598500
56,1996-03-25,9.166667,9.291667,9.166667,9.208333,6.786267,1081800
57,1996-03-26,9.208333,9.208333,9.0,9.0,6.632734,292200
58,1996-03-27,9.083333,9.166667,9.041667,9.083333,6.694147,348600
59,1996-03-28,9.041667,9.125,8.916667,9.125,6.724853,297600
60,1996-03-29,9.125,9.166667,9.083333,9.166667,6.75556,493200
61,1996-04-01,9.166667,9.5,9.125,9.5,7.001218,1332600
62,1996-04-02,9.583333,9.583333,9.166667,9.208333,6.786267,801600
63,1996-04-03,9.208333,9.291667,9.083333,9.208333,6.786267,464700
64,1996-04-04,9.208333,9.25,9.083333,9.125,6.724853,280500
65,1996-04-08,8.75,8.916667,8.75,8.875,6.540611,706800
66,1996-04-09,8.958333,8.958333,8.75,8.75,6.448491,621600
67,1996-04-10,8.75,8.791667,8.708333,8.75,6.448491,579300
68,1996-04-11,8.75,8.75,8.333333,8.333333,6.141421,1425300
69,1996-04-12,8.375,8.666667,8.333333,8.583333,6.325665,486600
70,1996-04-15,8.625,8.625,8.416667,8.458333,6.233541,330000
71,1996-04-16,8.5,8.583333,8.333333,8.375,6.172127,955800
72,1996-04-17,8.416667,8.708333,8.333333,8.625,6.356369,1256100
