,Date,Open,High,Low,Close,Adj Close,Volume
0,1996-01-03,3.8125,3.8125,3.5625,3.625,3.535758,98000
1,1996-01-04,3.5625,3.6875,3.5625,3.625,3.535758,41000
2,1996-01-05,3.625,3.75,3.625,3.625,3.535758,62800
3,1996-01-08,3.6875,3.75,3.625,3.75,3.65768,26200
4,1996-01-09,3.75,3.75,3.625,3.6875,3.596719,30400
5,1996-01-10,3.625,3.6875,3.5,3.625,3.535758,49400
6,1996-01-11,3.6875,3.6875,3.625,3.625,3.535758,55600
7,1996-01-12,3.625,3.6875,3.625,3.625,3.535758,30000
8,1996-01-15,3.625,3.625,3.4375,3.4375,3.352874,304000
9,1996-01-16,3.5,3.5,3.4375,3.5,3.413835,65600
10,1996-01-17,3.5,3.5,3.4375,3.4375,3.352874,8400
11,1996-01-18,3.5,3.5,3.4375,3.4375,3.352874,99200
12,1996-01-19,3.4375,3.5,3.3125,3.375,3.291912,31200
13,1996-01-22,3.4375,3.4375,3.375,3.375,3.291912,69200
14,1996-01-23,3.4375,3.4375,3.3125,3.4375,3.352874,40400
15,1996-01-24,3.375,3.375,3.3125,3.375,3.291912,22200
16,1996-01-25,3.3125,3.4375,3.3125,3.375,3.291912,30600
17,1996-01-26,3.375,3.375,3.3125,3.375,3.291912,38800
18,1996-01-29,3.375,3.4375,3.3125,3.4375,3.352874,32800
19,1996-01-30,3.375,3.4375,3.375,3.375,3.291912,42000
20,1996-01-31,3.375,3.4375,3.375,3.4375,3.352874,37600
21,1996-02-01,3.4375,3.4375,3.375,3.375,3.291912,10800
22,1996-02-02,3.375,3.4375,3.3125,3.4375,3.352874,67800
23,1996-02-05,3.375,3.5,3.3125,3.3125,3.230952,60200
24,1996-02-06,3.3125,3.375,3.1875,3.1875,3.109029,457800
25,1996-02-07,3.1875,3.4375,3.1875,3.3125,3.230952,485000
26,1996-02-08,3.375,3.4375,3.3125,3.375,3.291912,79400
27,1996-02-09,3.375,3.4375,3.375,3.4375,3.352874,18800
28,1996-02-12,3.375,3.4375,3.375,3.375,3.291912,48400
29,1996-02-13,3.4375,3.4375,3.375,3.375,3.291912,60000
30,1996-02-14,3.375,3.4375,3.25,3.3125,3.230952,110000
31,1996-02-15,3.25,3.375,3.25,3.375,3.291912,32000
32,1996-02-16,3.3125,3.375,3.3125,3.375,3.291912,32400
33,1996-02-20,3.375,3.375,3.25,3.3125,3.230952,75600
34,1996-02-21,3.375,3.375,3.3125,3.3125,3.230952,16400
35,1996-02-22,3.375,3.375,3.3125,3.375,3.291912,95000
36,1996-02-23,3.375,3.375,3.3125,3.375,3.291912,64200
37,1996-02-26,3.3125,3.375,3.3125,3.3125,3.230952,40000
38,1996-02-27,3.3125,3.375,3.3125,3.375,3.291912,44600
39,1996-02-28,3.3125,3.375,3.3125,3.375,3.291912,115000
40,1996-02-29,3.375,3.6875,3.375,3.6875,3.596719,235400
41,1996-03-01,3.75,3.8125,3.625,3.75,3.65768,171600
42,1996-03-04,3.6875,3.75,3.625,3.625,3.535758,27800
43,1996-03-05,3.9375,4.0625,3.8125,3.8125,3.718642,363400
44,1996-03-06,3.875,3.9375,3.75,3.875,3.779603,113200
45,1996-03-07,3.875,3.9375,3.875,3.9375,3.840564,47000
46,1996-03-08,3.875,3.875,3.6875,3.6875,3.596719,52400
47,1996-03-11,3.8125,3.875,3.75,3.8125,3.718642,33800
48,1996-03-12,3.75,3.875,3.75,3.8125,3.718642,85000
49,1996-03-13,3.875,3.9375,3.8125,3.875,3.779603,53600
50,1996-03-14,3.9375,4.0,3.875,4.0,3.901526,103000
51,1996-03-15,4.0,4.3125,4.0,4.25,4.145372,128000
52,1996-03-18,4.3125,4.375,4.1875,4.375,4.267294,85200
53,1996-03-19,4.3125,4.375,4.25,4.25,4.145372,92600
54,1996-03-20,4.25,4.3125,4.125,4.3125,4.206334,36400
55,1996-03-21,4.375,4.5,4.3125,4.4375,4.328255,196800
56,1996-03-22,4.375,4.4375,4.3125,4.4375,4.328255,41000
57,1996-03-25,4.5,4.5,4.375,4.375,4.267294,50200
58,1996-03-26,4.375,4.4375,4.3125,4.4375,4.328255,50200
59,1996-03-27,4.375,4.625,4.3125,4.5,4.389217,134600
60,1996-03-28,4.5,4.625,4.5,4.5625,4.450179,214400
61,1996-03-29,4.625,4.625,4.4375,4.5,4.389217,53400
62,1996-04-01,4.4375,4.5625,4.4375,4.4375,4.328255,35400
63,1996-04-02,4.5,4.5625,4.4375,4.5,4.389217,50400
64,1996-04-03,4.5,4.625,4.4375,4.625,4.511142,58200
65,1996-04-04,4.5625,4.625,4.5625,4.5625,4.450179,12000
66,1996-04-08,4.5,4.5625,4.4375,4.5,4.389217,56600
67,1996-04-09,4.5,4.5,4.4375,4.5,4.389217,36200
68,1996-04-10,4.5,4.5625,4.5,4.5,4.389217,57600
69,1996-04-11,4.5,4.625,4.5,4.5625,4.450179,96200
70,1996-04-12,4.5,4.8125,4.5,4.8125,4.694023,186400
71,1996-04-15,4.8125,5.0,4.8125,4.9375,4.815947,152800
72,1996-04-16,4.875,5.0,4.875,5.0,4.876904,59400
73,1996-04-17,5.0,5.0625,4.9375,5.0,4.876904,43800
74,1996-04-18,5.0,5.0625,5.0,5.0,4.876904,96000
75,1996-04-19,5.0,5.0625,4.875,4.875,4.754985,67800
76,1996-04-22,4.875,4.875,4.75,4.8125,4.694023,47000
77,1996-04-23,4.875,4.875,4.75,4.75,4.633062,44600
78,1996-04-24,4.8125,4.8125,4.6875,4.6875,4.5721,44800
79,1996-04-25,4.6875,4.75,4.6875,4.6875,4.5721,15800
80,1996-04-26,4.75,4.75,4.6875,4.6875,4.5721,15400
81,1996-04-29,4.6875,4.875,4.6875,4.8125,4.694023,32600
82,1996-04-30,4.875,5.5625,4.875,5.5,5.364598,248200
83,1996-05-01,5.4375,5.6875,5.3125,5.625,5.486521,243400
84,1996-05-02,5.625,5.75,5.3125,5.3125,5.181713,195000
85,1996-05-03,5.4375,5.5,5.25,5.375,5.242674,66400
86,1996-05-06,5.375,5.5,5.375,5.5,5.364598,29000
87,1996-05-07,5.4375,5.5625,5.3125,5.375,5.242674,58800
88,1996-05-08,5.375,5.375,5.25,5.3125,5.181713,39600
89,1996-05-09,5.3125,5.3125,5.25,5.25,5.120754,25800
90,1996-05-10,5.3125,5.375,5.25,5.3125,5.181713,14800
91,1996-05-13,5.375,5.375,5.3125,5.3125,5.181713,17200
92,1996-05-14,5.3125,5.5,5.3125,5.5,5.364598,57000
