,Date,Open,High,Low,Close,Adj Close,Volume
0,1996-01-04,21.0625,21.1875,20.9375,21.0,6.327345,619400
1,1996-01-05,20.875,21.125,20.6875,21.125,6.365007,662000
2,1996-01-08,21.0625,21.25,21.0625,21.1875,6.383837,85400
3,1996-01-09,21.1875,21.4375,21.1875,21.4375,6.459163,655000
4,1996-01-10,21.25,21.375,21.125,21.25,6.402671,777600
5,1996-01-11,21.3125,21.3125,20.9375,21.125,6.365007,974400
6,1996-01-12,21.1875,21.1875,21.0,21.0625,6.346172,248800
7,1996-01-15,21.0625,21.125,21.0,21.0,6.327345,111200
8,1996-01-16,21.0625,21.375,21.0,21.3125,6.421502,361200
9,1996-01-17,21.3125,21.375,21.1875,21.3125,6.421502,390400
10,1996-01-18,21.25,21.28125,21.125,21.25,6.402671,341600
11,1996-01-19,21.1875,21.25,21.0,21.1875,6.383837,365600
12,1996-01-22,21.125,21.1875,21.0625,21.125,6.365007,222400
13,1996-01-23,21.125,21.25,21.0625,21.1875,6.383837,286000
14,1996-01-24,21.25,21.375,21.1875,21.375,6.440333,298600
15,1996-01-25,21.3125,21.3125,21.0625,21.125,6.365007,261800
16,1996-01-26,21.125,21.1875,21.0,21.1875,6.383837,338800
17,1996-01-29,21.25,21.3125,21.125,21.25,6.402671,327200
18,1996-01-30,21.375,21.375,21.25,21.25,6.402671,245200
19,1996-01-31,21.25,21.4375,21.25,21.4375,6.459163,299000
20,1996-02-01,21.3125,21.375,21.125,21.25,6.402671,199200
21,1996-02-02,21.1875,21.1875,21.0,21.0,6.327345,364600
22,1996-02-05,21.0,21.0625,20.8125,21.0625,6.346172,299000
23,1996-02-06,21.0,21.25,21.0,21.25,6.402671,454000
24,1996-02-07,21.3125,21.4375,21.25,21.4375,6.459163,207600
25,1996-02-08,21.375,21.5,21.3125,21.4375,6.459163,220800
26,1996-02-09,21.4375,21.625,21.375,21.5625,6.496828,525000
27,1996-02-12,21.5625,21.8125,21.5,21.8125,6.572149,442800
28,1996-02-13,21.8125,22.1875,21.8125,21.9375,6.609818,536400
29,1996-02-14,21.9375,21.9375,21.625,21.75,6.553319,363800
30,1996-02-15,21.6875,21.75,21.5,21.6875,6.53449,341000
31,1996-02-16,21.625,21.625,21.4375,21.5625,6.496828,614000
32,1996-02-20,21.4375,21.5625,21.0625,21.1875,6.383837,890200
33,1996-02-21,21.1875,21.25,21.0625,21.1875,6.383837,340600
34,1996-02-22,21.1875,21.375,21.1875,21.1875,6.383837,636000
35,1996-02-23,21.25,21.3125,21.0,21.0625,6.346172,440600
36,1996-02-26,21.0625,21.3125,20.625,20.6875,6.23319,395000
37,1996-02-27,20.6875,20.875,20.5625,20.6875,6.23319,3929000
38,1996-02-28,20.4375,20.5,20.1875,20.25,6.197991,2132800
39,1996-02-29,20.125,20.25,19.75,19.75,6.044953,1262800
40,1996-03-01,19.9375,20.0625,19.875,20.0,6.121468,1436600
41,1996-03-04,20.0,20.3125,20.0,20.3125,6.217119,783600
42,1996-03-05,20.1875,20.25,20.0625,20.25,6.197991,295200
43,1996-03-06,20.1875,20.25,19.9375,20.0,6.121468,320800
44,1996-03-07,20.0,20.1875,19.875,20.125,6.15973,443000
45,1996-03-08,19.9375,19.9375,19.4375,19.625,6.006692,764000
