,Date,Open,High,Low,Close,Adj Close,Volume
0,1996-01-04,3.0326,3.0326,2.854909,2.914139,2.702159,1697817
1,1996-01-05,2.925986,2.985216,2.902293,2.937832,2.724128,1215590
2,1996-01-08,2.961524,3.020754,2.961524,3.008908,2.790034,322891
3,1996-01-09,2.997062,2.997062,2.937832,2.961524,2.746095,432632
4,1996-01-10,2.925986,2.949678,2.843063,2.854909,2.647236,812504
5,1996-01-11,2.866755,2.902293,2.854909,2.902293,2.691173,789290
6,1996-01-12,2.890447,2.914139,2.831217,2.890447,2.680191,768186
7,1996-01-15,2.890447,2.914139,2.843063,2.843063,2.636253,449515
8,1996-01-16,2.843063,2.866755,2.771986,2.795679,2.592315,918024
9,1996-01-17,2.807525,2.890447,2.807525,2.878601,2.669207,1760074
10,1996-01-18,2.866755,2.866755,2.843063,2.854909,2.647236,1333773
11,1996-01-19,2.854909,2.890447,2.843063,2.866755,2.65822,1527930
12,1996-01-22,2.890447,2.961524,2.890447,2.914139,2.702159,559256
13,1996-01-23,2.949678,2.997062,2.925986,2.985216,2.768066,673218
14,1996-01-24,2.961524,3.020754,2.961524,3.008908,2.790034,485392
15,1996-01-25,3.008908,3.008908,2.97337,3.008908,2.790034,268021
16,1996-01-26,2.985216,3.079985,2.97337,3.044447,2.822987,1844490
17,1996-01-29,3.044447,3.056293,3.008908,3.044447,2.822987,539207
18,1996-01-30,3.044447,3.044447,2.997062,3.008908,2.790034,754468
19,1996-01-31,3.008908,3.056293,2.985216,3.0326,2.812002,765020
20,1996-02-01,3.020754,3.044447,3.008908,3.020754,2.801018,451626
21,1996-02-02,3.020754,3.044447,3.008908,3.020754,2.801018,694322
22,1996-02-05,3.008908,3.056293,3.008908,3.0326,2.812002,1233529
23,1996-02-06,3.044447,3.115523,3.020754,3.079985,2.855941,1078414
24,1996-02-07,3.079985,3.174754,3.079985,3.162908,2.932832,1432962
25,1996-02-08,3.162908,3.210292,3.162908,3.210292,2.976769,672162
26,1996-02-09,3.198446,3.210292,3.1866,3.210292,2.976769,1545868
27,1996-02-12,3.198446,3.24583,3.198446,3.233984,2.998737,588802
28,1996-02-13,3.24583,3.24583,3.1866,3.1866,2.9548,613071
29,1996-02-14,3.198446,3.222138,3.198446,3.222138,2.987752,779793
30,1996-02-15,3.222138,3.305061,3.210292,3.305061,3.064644,747082
31,1996-02-16,3.305061,3.305061,3.222138,3.257676,3.020705,612016
32,1996-02-20,3.222138,3.233984,3.174754,3.222138,2.987752,368265
33,1996-02-21,3.222138,3.269522,3.210292,3.210292,2.976769,828332
