,Date,Open,High,Low,Close,Adj Close,Volume
0,1996-01-04,20.21875,20.375,19.75,20.09375,9.545328,2161200
1,1996-01-05,20.125,20.125,19.875,20.09375,9.545328,899200
2,1996-01-08,20.0625,20.28125,20.03125,20.28125,9.6344,288400
3,1996-01-09,20.4375,20.4375,20.125,20.1875,9.589868,987600
4,1996-01-10,20.0625,20.09375,19.65625,19.71875,9.367191,1760400
5,1996-01-11,19.75,19.9375,19.6875,19.9375,9.471103,1512000
6,1996-01-12,19.9375,20.03125,19.78125,19.875,9.441412,1220000
7,1996-01-15,19.84375,19.9375,19.6875,19.875,9.441412,1076800
8,1996-01-16,19.84375,19.84375,19.5625,19.8125,9.411726,1475200
9,1996-01-17,19.8125,19.84375,19.625,19.71875,9.367191,1730400
10,1996-01-18,19.71875,20.21875,19.65625,20.125,9.560175,1183200
11,1996-01-19,20.0625,20.15625,19.9375,20.09375,9.545328,1356000
12,1996-01-22,20.0625,20.09375,19.8125,19.875,9.441412,1402400
13,1996-01-23,19.8125,19.90625,19.59375,19.8125,9.411726,1495200
14,1996-01-24,19.84375,20.375,19.84375,20.21875,9.60471,1719200
15,1996-01-25,20.21875,20.59375,20.1875,20.5,9.738317,2918800
16,1996-01-26,20.4375,20.71875,20.3125,20.71875,9.842231,1996000
17,1996-01-29,20.71875,20.84375,20.65625,20.84375,9.901611,1520000
18,1996-01-30,20.8125,20.96875,20.75,20.875,9.916453,1086400
19,1996-01-31,20.875,20.9375,20.71875,20.9375,9.946147,940000
20,1996-02-01,20.9375,21.0,20.75,20.96875,9.960987,1451200
21,1996-02-02,21.0625,21.21875,20.96875,21.125,10.035211,2864400
22,1996-02-05,21.0,21.15625,20.90625,21.15625,10.050056,1129600
23,1996-02-06,21.125,21.125,20.90625,21.125,10.035211,1800400
24,1996-02-07,21.125,21.40625,21.09375,21.40625,10.16882,1034400
25,1996-02-08,21.28125,21.59375,21.21875,21.5,10.213358,1256400
26,1996-02-09,21.5,21.6875,21.28125,21.375,10.153971,1788400
27,1996-02-12,21.25,21.375,20.875,20.9375,9.946147,2321600
28,1996-02-13,20.875,21.375,20.875,21.09375,10.020374,2425200
29,1996-02-14,21.09375,21.15625,20.6875,20.6875,9.827384,1834800
30,1996-02-15,20.71875,21.1875,20.71875,21.09375,10.020374,2098400
31,1996-02-16,21.03125,21.0625,20.75,20.75,9.857072,1974000
32,1996-02-20,20.5,20.625,20.34375,20.40625,9.693775,1110400
33,1996-02-21,20.28125,20.5,20.0625,20.1875,9.647783,2162400
34,1996-02-22,20.34375,20.875,20.34375,20.8125,9.946472,4684800
35,1996-02-23,20.96875,20.96875,20.40625,20.46875,9.78219,1548800
36,1996-02-26,20.375,20.5625,20.25,20.25,9.677649,1518400
37,1996-02-27,20.28125,20.3125,20.0,20.1875,9.647783,1856800
38,1996-02-28,20.1875,20.28125,19.75,19.8125,9.468564,2499600
39,1996-02-29,19.78125,20.0,19.46875,19.46875,9.304281,3584800
40,1996-03-01,19.625,19.84375,19.4375,19.84375,9.483503,2578400
41,1996-03-04,19.96875,20.4375,19.9375,20.40625,9.752319,2652400
42,1996-03-05,20.4375,20.625,20.28125,20.5625,9.826991,2021600
43,1996-03-06,20.5625,20.65625,20.21875,20.25,9.677649,1776000
44,1996-03-07,20.1875,20.3125,20.0625,20.1875,9.647783,1176000
45,1996-03-08,19.4375,20.03125,19.4375,19.78125,9.453628,1743600
46,1996-03-11,19.78125,20.15625,19.75,20.0,9.558175,1446800
47,1996-03-12,19.875,20.0625,19.75,19.96875,9.543238,928800
48,1996-03-13,19.9375,19.96875,19.5625,19.71875,9.423762,1518800
49,1996-03-14,19.78125,20.15625,19.75,19.90625,9.513369,1413200
50,1996-03-15,19.875,20.0625,19.78125,19.96875,9.543238,1823200
51,1996-03-18,20.03125,20.53125,20.0,20.53125,9.812059,1712800
52,1996-03-19,20.53125,20.71875,20.28125,20.4375,9.767259,1618400
53,1996-03-20,20.53125,20.625,20.3125,20.40625,9.752319,1055600
54,1996-03-21,20.46875,20.71875,20.125,20.125,9.617913,936000
55,1996-03-22,20.21875,20.5,20.1875,20.4375,9.767259,689600
56,1996-03-25,20.5625,20.65625,20.375,20.40625,9.752319,988800
