,Date,Open,High,Low,Close,Adj Close,Volume
0,1996-01-04,5.96875,6.0625,5.9375,5.96875,4.311139,1644000
1,1996-01-05,5.9375,6.09375,5.9375,6.0625,4.378853,680800
2,1996-01-08,6.0625,6.125,6.0625,6.125,4.423996,779200
3,1996-01-09,6.15625,6.15625,5.9375,6.0,4.333711,948400
4,1996-01-10,6.0,6.03125,5.84375,5.96875,4.311139,516400
5,1996-01-11,5.8125,5.8125,5.6875,5.78125,4.180963,1618400
6,1996-01-12,5.75,5.8125,5.75,5.8125,4.203564,555200
7,1996-01-15,5.875,5.875,5.75,5.75,4.158365,1159200
8,1996-01-16,5.75,5.8125,5.71875,5.75,4.158365,1683200
9,1996-01-17,5.75,5.78125,5.59375,5.75,4.158365,2281600
10,1996-01-18,5.75,5.78125,5.71875,5.78125,4.180963,504000
11,1996-01-19,5.8125,5.84375,5.75,5.75,4.158365,803200
12,1996-01-22,5.78125,5.875,5.78125,5.875,4.248764,545600
13,1996-01-23,5.84375,5.90625,5.78125,5.78125,4.180963,426400
14,1996-01-24,5.8125,5.96875,5.78125,5.875,4.248764,539600
15,1996-01-25,5.875,5.96875,5.875,5.9375,4.293962,693600
16,1996-01-26,5.90625,5.90625,5.875,5.875,4.248764,1880000
17,1996-01-29,5.90625,6.0,5.875,6.0,4.339163,1636800
18,1996-01-30,6.0,6.03125,5.96875,6.03125,4.361763,970800
19,1996-01-31,6.03125,6.125,5.96875,6.09375,4.40696,650000
20,1996-02-01,6.125,6.3125,6.125,6.21875,4.497361,2182400
21,1996-02-02,6.15625,6.25,6.125,6.15625,4.452162,1204000
22,1996-02-05,6.09375,6.15625,6.0625,6.09375,4.40696,923200
23,1996-02-06,6.09375,6.125,6.03125,6.03125,4.361763,938400
24,1996-02-07,6.09375,6.15625,6.0625,6.125,4.429559,838800
25,1996-02-08,6.125,6.25,6.125,6.1875,4.474761,705600
26,1996-02-09,6.1875,6.28125,6.125,6.25,4.519961,1770400
27,1996-02-12,6.25,6.65625,6.15625,6.53125,4.723359,4923200
28,1996-02-13,6.59375,6.59375,6.25,6.34375,4.587762,3442800
29,1996-02-14,6.375,6.625,6.375,6.5625,4.745959,1570000
30,1996-02-15,6.53125,6.9375,6.53125,6.90625,4.994559,1637600
31,1996-02-16,7.125,7.125,6.65625,6.75,4.881558,2182000
32,1996-02-20,6.625,6.71875,6.5625,6.625,4.791158,421200
33,1996-02-21,6.5625,6.71875,6.53125,6.71875,4.85896,1553600
34,1996-02-22,6.6875,6.75,6.59375,6.6875,4.836359,1300800
35,1996-02-23,6.65625,6.75,6.5625,6.71875,4.85896,660000
36,1996-02-26,6.625,6.65625,6.5625,6.59375,4.768559,556400
37,1996-02-27,6.53125,6.625,6.5,6.59375,4.768559,532800
38,1996-02-28,6.59375,6.71875,6.40625,6.40625,4.63296,2225600
39,1996-02-29,6.4375,6.4375,6.1875,6.25,4.519961,956000
40,1996-03-01,6.25,6.34375,6.25,6.25,4.519961,402800
41,1996-03-04,6.25,6.34375,6.1875,6.3125,4.565158,809200
42,1996-03-05,6.25,6.25,6.15625,6.25,4.519961,574000
43,1996-03-06,6.21875,6.40625,6.1875,6.40625,4.63296,830000
44,1996-03-07,6.375,6.40625,6.3125,6.375,4.610364,1132000
45,1996-03-08,6.1875,6.28125,6.1875,6.21875,4.497361,278400
46,1996-03-11,6.1875,6.1875,6.09375,6.15625,4.452162,1366400
47,1996-03-12,6.125,6.15625,6.09375,6.125,4.429559,1108400
48,1996-03-13,6.125,6.1875,6.125,6.1875,4.474761,1038800
49,1996-03-14,6.25,6.40625,6.25,6.3125,4.565158,2724800
50,1996-03-15,6.25,6.25,6.0,6.0625,4.38436,1051600
51,1996-03-18,6.09375,6.375,6.0625,6.375,4.610364,4547200
52,1996-03-19,6.375,6.4375,6.34375,6.34375,4.587762,473600
53,1996-03-20,6.375,6.375,6.1875,6.1875,4.474761,223600
54,1996-03-21,6.1875,6.28125,6.125,6.125,4.429559,936800
55,1996-03-22,6.15625,6.1875,6.09375,6.09375,4.40696,1019600
56,1996-03-25,6.0625,6.28125,6.0625,6.28125,4.542561,907200
57,1996-03-26,6.28125,6.3125,6.25,6.3125,4.565158,216800
58,1996-03-27,6.5,6.59375,6.40625,6.53125,4.723359,1842000
59,1996-03-28,6.53125,6.65625,6.53125,6.65625,4.813761,1270000
60,1996-03-29,6.59375,6.625,6.5625,6.59375,4.768559,1343600
61,1996-04-01,6.59375,6.6875,6.5625,6.6875,4.836359,752800
62,1996-04-02,6.71875,6.875,6.65625,6.84375,4.949356,1116400
63,1996-04-03,6.78125,6.96875,6.71875,6.9375,5.017159,1519600
64,1996-04-04,6.9375,6.9375,6.75,6.875,4.971958,796800
65,1996-04-08,6.84375,6.84375,6.625,6.8125,4.92676,1262800
66,1996-04-09,6.8125,6.90625,6.8125,6.875,4.971958,923200
