,Date,Open,High,Low,Close,Adj Close,Volume
0,1996-01-04,4.150789,4.201824,4.150789,4.201824,2.57665,598127
1,1996-01-05,4.184812,4.184812,4.116766,4.133778,2.534922,1141144
2,1996-01-08,4.150789,4.184812,4.133778,4.167801,2.555787,99933
3,1996-01-09,4.150789,4.201824,4.133778,4.133778,2.534922,735535
4,1996-01-10,4.133778,4.133778,4.082744,4.082744,2.503627,295390
5,1996-01-11,4.082744,4.116766,4.031709,4.065732,2.493195,246893
6,1996-01-12,4.031709,4.048721,3.997686,4.014698,2.4619,267467
7,1996-01-15,4.014698,4.031709,3.997686,4.014698,2.4619,108750
8,1996-01-16,3.997686,4.014698,3.980675,3.997686,2.451468,598127
9,1996-01-17,3.980675,3.997686,3.980675,3.980675,2.441036,195457
10,1996-01-18,3.980675,3.997686,3.963664,3.980675,2.441036,142551
11,1996-01-19,3.980675,3.997686,3.946652,3.963664,2.430605,301268
12,1996-01-22,3.946652,3.980675,3.929641,3.946652,2.420172,1028720
13,1996-01-23,3.946652,3.946652,3.912629,3.946652,2.420172,806810
14,1996-01-24,3.929641,3.929641,3.810561,3.810561,2.336718,760518
15,1996-01-25,3.844584,3.844584,3.776538,3.810561,2.336718,455576
16,1996-01-26,3.810561,3.810561,3.776538,3.810561,2.336718,745822
17,1996-01-29,3.810561,3.895618,3.810561,3.895618,2.388876,282898
18,1996-01-30,3.895618,3.895618,3.810561,3.827572,2.347149,318903
19,1996-01-31,3.844584,3.878606,3.827572,3.861595,2.368012,277020
20,1996-02-01,3.878606,3.929641,3.878606,3.912629,2.399308,720104
21,1996-02-02,3.946652,3.946652,3.912629,3.912629,2.399308,363726
22,1996-02-05,3.895618,3.946652,3.895618,3.946652,2.420172,260119
23,1996-02-06,3.929641,3.963664,3.929641,3.946652,2.420172,705408
24,1996-02-07,3.946652,3.980675,3.895618,3.912629,2.399308,1599660
25,1996-02-08,3.912629,3.946652,3.878606,3.946652,2.420172,2257306
26,1996-02-09,3.929641,3.997686,3.929641,3.997686,2.451468,1602599
27,1996-02-12,3.980675,3.997686,3.963664,3.980675,2.441036,1489440
28,1996-02-13,3.929641,3.997686,3.929641,3.980675,2.465905,765662
29,1996-02-14,3.997686,4.031709,3.946652,3.980675,2.465905,964058
30,1996-02-15,3.963664,4.048721,3.963664,4.031709,2.49752,370339
31,1996-02-16,4.014698,4.031709,3.997686,4.031709,2.49752,548161
32,1996-02-20,4.014698,4.048721,4.014698,4.014698,2.486982,745087
33,1996-02-21,4.014698,4.014698,3.912629,3.980675,2.465905,1404203
34,1996-02-22,3.997686,4.031709,3.980675,4.014698,2.486982,344621
35,1996-02-23,4.014698,4.014698,3.929641,3.963664,2.455369,1468865
36,1996-02-26,3.946652,3.980675,3.929641,3.963664,2.455369,1883292
37,1996-02-27,3.946652,3.963664,3.921135,3.929641,2.434292,267467
38,1996-02-28,3.929641,3.946652,3.929641,3.946652,2.44483,147695
39,1996-02-29,3.912629,3.912629,3.878606,3.895618,2.413215,470272
40,1996-03-01,3.895618,3.946652,3.878606,3.929641,2.434292,426184
41,1996-03-04,3.946652,3.946652,3.878606,3.912629,2.423753,346091
42,1996-03-05,3.912629,3.946652,3.895618,3.912629,2.423753,149899
43,1996-03-06,3.929641,3.929641,3.878606,3.895618,2.413215,743618
44,1996-03-07,3.861595,3.912629,3.861595,3.912629,2.423753,362991
45,1996-03-08,3.895618,3.895618,3.844584,3.895618,2.413215,1021372
46,1996-03-11,3.861595,3.895618,3.844584,3.878606,2.402677,201335
47,1996-03-12,3.844584,3.912629,3.844584,3.878606,2.402677,1003002
48,1996-03-13,3.912629,3.929641,3.895618,3.912629,2.423753,1709880
49,1996-03-14,3.929641,3.980675,3.912629,3.946652,2.44483,592249
50,1996-03-15,3.946652,3.963664,3.929641,3.929641,2.434292,399731
51,1996-03-18,3.929641,3.980675,3.895618,3.963664,2.455369,162391
52,1996-03-19,3.997686,3.997686,3.912629,3.946652,2.44483,789910
53,1996-03-20,3.946652,3.946652,3.861595,3.946652,2.44483,820037
54,1996-03-21,3.946652,3.946652,3.895618,3.895618,2.413215,630458
55,1996-03-22,3.895618,3.963664,3.895618,3.912629,2.423753,881760
56,1996-03-25,3.929641,3.929641,3.878606,3.895618,2.413215,656176
57,1996-03-26,3.895618,3.929641,3.878606,3.895618,2.413215,4837923
58,1996-03-27,3.912629,4.031709,3.912629,4.014698,2.486982,300533
59,1996-03-28,3.980675,4.014698,3.946652,3.980675,2.465905,330660
60,1996-03-29,3.997686,4.031709,3.963664,3.980675,2.465905,97728
61,1996-04-01,3.963664,4.014698,3.946652,3.997686,2.476443,155778
62,1996-04-02,3.980675,4.031709,3.980675,4.014698,2.486982,187374
63,1996-04-03,3.997686,4.048721,3.980675,4.048721,2.508058,118303
64,1996-04-04,4.031709,4.048721,4.031709,4.048721,2.508058,195457
65,1996-04-08,4.014698,4.014698,3.946652,3.946652,2.44483,376218
66,1996-04-09,3.946652,4.065732,3.946652,4.065732,2.518596,478355
67,1996-04-10,4.031709,4.031709,3.997686,3.997686,2.476443,253506
68,1996-04-11,4.014698,4.014698,3.980675,3.980675,2.465905,343886
69,1996-04-12,3.980675,3.980675,3.946652,3.980675,2.465905,189578
70,1996-04-15,4.014698,4.048721,4.014698,4.031709,2.49752,874412
71,1996-04-16,4.031709,4.082744,4.031709,4.082744,2.529135,452637
72,1996-04-17,4.099755,4.116766,4.099755,4.099755,2.539671,644420
73,1996-04-18,4.116766,4.116766,4.082744,4.099755,2.539671,177822
74,1996-04-19,4.116766,4.116766,4.099755,4.099755,2.539671,526852
75,1996-04-22,4.133778,4.167801,4.116766,4.133778,2.560748,685568
76,1996-04-23,4.116766,4.133778,4.082744,4.082744,2.529135,2660711
77,1996-04-24,4.082744,4.133778,4.082744,4.099755,2.539671,624580
78,1996-04-25,4.099755,4.150789,4.099755,4.133778,2.560748,321842
79,1996-04-26,4.116766,4.133778,4.082744,4.099755,2.539671,260119
80,1996-04-29,4.082744,4.116766,4.082744,4.116766,2.55021,206479
81,1996-04-30,4.116766,4.133778,4.099755,4.116766,2.55021,185904
82,1996-05-01,4.099755,4.116766,4.082744,4.099755,2.539671,392383
83,1996-05-02,4.065732,4.099755,4.065732,4.099755,2.539671,391648
84,1996-05-03,4.099755,4.116766,4.065732,4.116766,2.55021,208683
85,1996-05-06,4.099755,4.150789,4.082744,4.116766,2.55021,329925
86,1996-05-07,4.099755,4.133778,4.048721,4.082744,2.529135,581227
87,1996-05-08,4.065732,4.099755,4.048721,4.082744,2.529135,270406
88,1996-05-09,4.099755,4.133778,4.065732,4.133778,2.560748,44088
89,1996-05-10,4.150789,4.150789,4.099755,4.116766,2.55021,132999
90,1996-05-13,4.116766,4.133778,4.099755,4.116766,2.55021,304942
91,1996-05-14,4.065732,4.116766,4.065732,4.099755,2.564682,114629
92,1996-05-15,4.065732,4.099755,4.065732,4.082744,2.554042,465128
93,1996-05-16,4.082744,4.116766,4.065732,4.099755,2.564682,185904
94,1996-05-17,4.099755,4.133778,4.099755,4.133778,2.585966,49966
95,1996-05-20,4.133778,4.150789,4.099755,4.099755,2.564682,423980
96,1996-05-21,4.116766,4.116766,4.082744,4.082744,2.554042,378422
97,1996-05-22,4.082744,4.099755,4.065732,4.082744,2.554042,365930
98,1996-05-23,4.099755,4.116766,4.082744,4.099755,2.564682,743618
99,1996-05-24,4.099755,4.133778,4.082744,4.082744,2.554042,121977
100,1996-05-28,4.082744,4.099755,4.065732,4.065732,2.5434,501868
101,1996-05-29,4.065732,4.082744,4.065732,4.065732,2.5434,96994
102,1996-05-30,4.065732,4.082744,4.065732,4.082744,2.554042,417366
103,1996-05-31,4.065732,4.082744,4.048721,4.048721,2.532758,220440
104,1996-06-03,4.048721,4.065732,4.048721,4.048721,2.532758,722308
105,1996-06-04,4.065732,4.065732,4.031709,4.048721,2.532758,180761
106,1996-06-05,4.048721,4.065732,4.014698,4.014698,2.511474,316699
107,1996-06-06,4.014698,4.014698,3.946652,3.963664,2.479549,1165393
108,1996-06-07,3.963664,3.963664,3.929641,3.963664,2.479549,285102
109,1996-06-10,3.963664,3.980675,3.895618,3.912629,2.447623,299064
110,1996-06-11,3.895618,3.946652,3.895618,3.929641,2.458266,238075
111,1996-06-12,3.895618,3.929641,3.878606,3.929641,2.458266,189578
112,1996-06-13,3.912629,3.929641,3.912629,3.912629,2.447623,85237
113,1996-06-14,3.912629,3.963664,3.912629,3.946652,2.468907,96259
114,1996-06-17,3.929641,3.963664,3.895618,3.895618,2.43698,294655
115,1996-06-18,3.912629,3.912629,3.810561,3.878606,2.426339,626784
116,1996-06-19,3.878606,3.912629,3.827572,3.878606,2.426339,233666
117,1996-06-20,3.878606,3.878606,3.827572,3.861595,2.415697,334334
118,1996-06-21,3.861595,3.861595,3.827572,3.844584,2.405056,174882
119,1996-06-24,3.844584,3.895618,3.844584,3.844584,2.405056,300533
120,1996-06-25,3.861595,3.861595,3.844584,3.861595,2.415697,664994
121,1996-06-26,3.827572,3.844584,3.776538,3.776538,2.362488,748761
122,1996-06-27,3.776538,3.844584,3.776538,3.810561,2.383771,369604
123,1996-06-28,3.810561,3.912629,3.810561,3.844584,2.405056,221910
124,1996-07-01,3.878606,3.929641,3.861595,3.895618,2.43698,138142
125,1996-07-02,3.895618,3.946652,3.844584,3.878606,2.426339,102872
126,1996-07-03,3.878606,3.929641,3.861595,3.929641,2.458266,72745
127,1996-07-05,3.861595,3.912629,3.861595,3.895618,2.43698,72010
128,1996-07-08,3.844584,3.844584,3.793549,3.793549,2.373131,289511
129,1996-07-09,3.793549,3.793549,3.742515,3.776538,2.362488,464394
130,1996-07-10,3.742515,3.776538,3.657458,3.691481,2.309279,645154
131,1996-07-11,3.708492,3.742515,3.691481,3.708492,2.319921,180026
132,1996-07-12,3.742515,3.793549,3.708492,3.759526,2.351846,316699
133,1996-07-15,3.742515,3.776538,3.742515,3.742515,2.341205,130060
134,1996-07-16,3.742515,3.759526,3.674469,3.691481,2.309279,221175
135,1996-07-17,3.759526,3.776538,3.708492,3.725504,2.330562,292450
136,1996-07-18,3.691481,3.776538,3.674469,3.742515,2.341205,223379
137,1996-07-19,3.725504,3.725504,3.657458,3.691481,2.309279,351234
138,1996-07-22,3.691481,3.691481,3.623435,3.623435,2.266712,262324
139,1996-07-23,3.589412,3.589412,3.555389,3.572401,2.234786,205744
140,1996-07-24,3.453321,3.555389,3.453321,3.538378,2.213503,432062
141,1996-07-25,3.555389,3.589412,3.521366,3.521366,2.202861,318903
142,1996-07-26,3.521366,3.555389,3.504355,3.521366,2.202861,151369
143,1996-07-29,3.521366,3.538378,3.504355,3.521366,2.202861,202805
144,1996-07-30,3.504355,3.521366,3.470332,3.487343,2.181577,128590
145,1996-07-31,3.487343,3.487343,3.436309,3.453321,2.160293,102872
146,1996-08-01,3.470332,3.504355,3.470332,3.504355,2.192219,277754
147,1996-08-02,3.521366,3.521366,3.436309,3.470332,2.170935,199131
148,1996-08-05,3.470332,3.470332,3.436309,3.470332,2.170935,677486
149,1996-08-06,3.453321,3.504355,3.453321,3.504355,2.192219,891312
150,1996-08-07,3.504355,3.504355,3.470332,3.487343,2.181577,385770
151,1996-08-08,3.487343,3.521366,3.487343,3.504355,2.192219,534200
152,1996-08-09,3.504355,3.504355,3.470332,3.470332,2.170935,523178
153,1996-08-12,3.470332,3.606424,3.470332,3.606424,2.256071,1615090
154,1996-08-13,3.572401,3.742515,3.538378,3.742515,2.367561,930257
155,1996-08-14,3.691481,3.742515,3.691481,3.708492,2.346037,1036068
156,1996-08-15,3.725504,3.742515,3.708492,3.742515,2.367561,187374
157,1996-08-16,3.725504,3.776538,3.725504,3.759526,2.378321,135203
158,1996-08-19,3.759526,3.810561,3.759526,3.810561,2.410607,265263
159,1996-08-20,3.827572,3.878606,3.827572,3.844584,2.43213,1837000
160,1996-08-21,3.861595,3.912629,3.861595,3.912629,2.475176,784766
161,1996-08-22,3.929641,4.014698,3.912629,4.014698,2.539747,1233729
162,1996-08-23,3.946652,4.031709,3.946652,3.946652,2.4967,429858
163,1996-08-26,3.946652,3.980675,3.929641,3.946652,2.4967,559183
164,1996-08-27,3.929641,3.946652,3.895618,3.895618,2.464416,747292
165,1996-08-28,3.912629,3.912629,3.895618,3.912629,2.475176,365930
166,1996-08-29,3.895618,3.912629,3.895618,3.912629,2.475176,390179
167,1996-08-30,3.895618,3.929641,3.895618,3.895618,2.464416,809015
168,1996-09-03,3.929641,4.014698,3.912629,3.980675,2.518224,947157
169,1996-09-04,3.997686,4.065732,3.997686,4.031709,2.550508,1246221
170,1996-09-05,4.014698,4.031709,3.946652,3.963664,2.507462,439410
171,1996-09-06,3.929641,3.963664,3.895618,3.929641,2.485938,218236
172,1996-09-09,3.929641,3.929641,3.878606,3.929641,2.485938,183700
173,1996-09-10,3.929641,3.946652,3.895618,3.929641,2.485938,260854
174,1996-09-11,3.946652,3.963664,3.912629,3.946652,2.4967,244688
175,1996-09-12,3.980675,3.980675,3.946652,3.980675,2.518224,314494
176,1996-09-13,3.997686,4.014698,3.912629,3.929641,2.485938,630458
177,1996-09-16,3.946652,3.963664,3.895618,3.912629,2.475176,254241
178,1996-09-17,3.929641,3.929641,3.861595,3.895618,2.464416,218970
179,1996-09-18,3.878606,3.929641,3.878606,3.912629,2.475176,414427
180,1996-09-19,3.912629,3.929641,3.878606,3.912629,2.475176,333599
181,1996-09-20,3.929641,3.929641,3.878606,3.895618,2.464416,309351
182,1996-09-23,3.929641,3.946652,3.878606,3.895618,2.464416,121977
183,1996-09-24,3.895618,3.929641,3.878606,3.929641,2.485938,316699
184,1996-09-25,3.912629,3.929641,3.895618,3.895618,2.464416,489377
185,1996-09-26,3.895618,3.946652,3.895618,3.912629,2.475176,148430
186,1996-09-27,3.912629,3.929641,3.861595,3.895618,2.464416,78624
187,1996-09-30,3.895618,3.895618,3.827572,3.878606,2.453653,360052
188,1996-10-01,3.827572,3.861595,3.827572,3.861595,2.442891,171943
189,1996-10-02,3.878606,3.895618,3.827572,3.861595,2.442891,542282
190,1996-10-03,3.878606,3.946652,3.861595,3.861595,2.442891,245423
191,1996-10-04,3.861595,3.912629,3.844584,3.878606,2.453653,543017
192,1996-10-07,3.861595,3.929641,3.861595,3.912629,2.475176,540813
193,1996-10-08,3.895618,3.929641,3.861595,3.895618,2.464416,277020
194,1996-10-09,3.878606,3.895618,3.776538,3.844584,2.43213,1029455
195,1996-10-10,3.827572,3.844584,3.776538,3.793549,2.399846,99933
196,1996-10-11,3.810561,3.810561,3.742515,3.810561,2.410607,455576
197,1996-10-14,3.827572,3.878606,3.810561,3.861595,2.442891,135938
198,1996-10-15,3.861595,3.878606,3.776538,3.844584,2.43213,189578
199,1996-10-16,3.861595,3.878606,3.810561,3.810561,2.410607,235871
200,1996-10-17,3.810561,3.844584,3.810561,3.844584,2.43213,820772
201,1996-10-18,3.844584,3.929641,3.827572,3.929641,2.485938,276285
202,1996-10-21,3.895618,3.912629,3.878606,3.878606,2.453653,213827
203,1996-10-22,3.878606,3.912629,3.861595,3.895618,2.464416,329925
204,1996-10-23,3.929641,3.929641,3.895618,3.929641,2.485938,584166
205,1996-10-24,3.929641,3.929641,3.895618,3.929641,2.485938,160186
206,1996-10-25,3.895618,3.895618,3.810561,3.827572,2.421368,205744
207,1996-10-28,3.827572,3.861595,3.810561,3.827572,2.421368,320373
208,1996-10-29,3.827572,3.895618,3.827572,3.844584,2.43213,429858
209,1996-10-30,3.844584,3.912629,3.844584,3.895618,2.464416,1009615
210,1996-10-31,3.878606,3.912629,3.861595,3.912629,2.475176,520973
211,1996-11-01,3.912629,3.912629,3.895618,3.895618,2.464416,343886
212,1996-11-04,3.895618,3.929641,3.878606,3.912629,2.475176,449698
213,1996-11-05,3.912629,3.980675,3.912629,3.963664,2.507462,504073
214,1996-11-06,3.963664,3.997686,3.963664,3.997686,2.528984,520973
215,1996-11-07,3.980675,3.997686,3.963664,3.980675,2.518224,96994
216,1996-11-08,3.963664,4.031709,3.963664,4.014698,2.539747,883964
217,1996-11-11,4.048721,4.048721,4.014698,4.048721,2.56127,360052
218,1996-11-12,4.031709,4.031709,3.946652,3.946652,2.521705,235136
219,1996-11-13,3.929641,4.014698,3.929641,3.980675,2.543445,132264
220,1996-11-14,3.997686,4.048721,3.980675,3.980675,2.543445,172678
221,1996-11-15,3.980675,4.048721,3.980675,4.048721,2.586921,131529
222,1996-11-18,4.048721,4.048721,4.014698,4.031709,2.576052,108016
223,1996-11-19,4.031709,4.048721,4.014698,4.031709,2.576052,218236
224,1996-11-20,4.014698,4.048721,3.997686,4.031709,2.576052,344621
225,1996-11-21,4.014698,4.065732,4.014698,4.065732,2.597791,393853
226,1996-11-22,4.065732,4.099755,4.031709,4.048721,2.586921,986836
227,1996-11-25,4.099755,4.235846,4.099755,4.184812,2.673877,1507075
228,1996-11-26,4.201824,4.201824,4.048721,4.116766,2.6304,716430
229,1996-11-27,4.150789,4.184812,4.099755,4.116766,2.6304,247628
230,1996-11-29,4.150789,4.167801,4.150789,4.150789,2.652139,115364
231,1996-12-02,4.150789,4.167801,4.048721,4.082744,2.608661,351969
232,1996-12-03,4.099755,4.116766,4.048721,4.082744,2.608661,435736
233,1996-12-04,4.099755,4.099755,4.048721,4.082744,2.608661,482029
234,1996-12-05,4.048721,4.065732,4.048721,4.048721,2.586921,149899
235,1996-12-06,4.014698,4.014698,3.844584,3.963664,2.532576,308616
236,1996-12-09,3.980675,3.997686,3.929641,3.963664,2.532576,706143
237,1996-12-10,3.997686,4.014698,3.946652,4.014698,2.565183,278489
238,1996-12-11,3.980675,3.997686,3.929641,3.946652,2.521705,462924
239,1996-12-12,3.980675,4.065732,3.963664,3.980675,2.543445,877351
240,1996-12-13,3.980675,3.997686,3.963664,3.980675,2.543445,676751
241,1996-12-16,4.014698,4.099755,3.980675,4.014698,2.565183,515830
242,1996-12-17,3.997686,4.031709,3.963664,4.014698,2.565183,240280
243,1996-12-18,4.031709,4.031709,3.980675,4.014698,2.565183,257180
244,1996-12-19,3.997686,4.048721,3.997686,4.031709,2.576052,103607
245,1996-12-20,4.031709,4.048721,3.997686,4.048721,2.586921,169004
246,1996-12-23,4.048721,4.048721,3.980675,3.997686,2.554313,270406
247,1996-12-24,4.014698,4.031709,3.980675,3.997686,2.554313,84502
248,1996-12-26,3.980675,4.065732,3.980675,4.048721,2.586921,208683
249,1996-12-27,4.065732,4.082744,4.048721,4.065732,2.597791,30862
250,1996-12-30,4.031709,4.099755,4.031709,4.082744,2.608661,229258
251,1996-12-31,4.048721,4.082744,3.980675,4.048721,2.586921,317434
252,1997-01-02,3.963664,3.980675,3.895618,3.946652,2.521705,377687
253,1997-01-03,3.963664,3.963664,3.844584,3.878606,2.478227,656176
254,1997-01-06,3.878606,3.878606,3.810561,3.861595,2.467359,272611
255,1997-01-07,3.810561,3.895618,3.776538,3.861595,2.467359,1071338
256,1997-01-08,3.827572,3.861595,3.793549,3.844584,2.45649,1656974
257,1997-01-09,3.844584,3.929641,3.810561,3.912629,2.499965,640011
258,1997-01-10,3.861595,3.946652,3.861595,3.929641,2.510835,933931
259,1997-01-13,3.929641,3.963664,3.912629,3.929641,2.510835,175617
260,1997-01-14,3.929641,3.980675,3.895618,3.963664,2.532576,343152
261,1997-01-15,3.997686,4.031709,3.946652,3.946652,2.521705,743618
262,1997-01-16,3.963664,3.980675,3.912629,3.963664,2.532576,364461
263,1997-01-17,3.963664,3.997686,3.912629,3.963664,2.532576,360787
264,1997-01-20,3.980675,4.133778,3.963664,4.116766,2.6304,1141879
265,1997-01-21,4.116766,4.286881,4.116766,4.218835,2.695614,2151494
266,1997-01-22,4.218835,4.252858,4.150789,4.184812,2.673877,1057377
267,1997-01-23,4.184812,4.320904,4.150789,4.286881,2.739095,1979551
268,1997-01-24,4.286881,4.303892,4.269869,4.269869,2.728223,1193315
269,1997-01-27,4.269869,4.269869,4.235846,4.252858,2.717355,904539
270,1997-01-28,4.252858,4.303892,4.252858,4.252858,2.717355,577553
271,1997-01-29,4.252858,4.286881,4.235846,4.252858,2.717355,815628
272,1997-01-30,4.252858,4.286881,4.235846,4.252858,2.717355,440880
273,1997-01-31,4.252858,4.422972,4.252858,4.422972,2.826048,535669
274,1997-02-03,4.422972,4.422972,4.354927,4.388949,2.804309,500399
275,1997-02-04,4.388949,4.422972,4.371938,4.405961,2.81518,554039
276,1997-02-05,4.388949,4.422972,4.354927,4.354927,2.782572,271141
277,1997-02-06,4.354927,4.405961,4.354927,4.388949,2.804309,349765
278,1997-02-07,4.456995,4.456995,4.371938,4.405961,2.81518,718634
279,1997-02-10,4.405961,4.405961,4.337915,4.354927,2.782572,4818084
280,1997-02-11,4.303892,4.303892,4.218835,4.235846,2.731666,166065
281,1997-02-12,4.269869,4.269869,4.167801,4.252858,2.742639,440880
282,1997-02-13,4.286881,4.286881,4.252858,4.269869,2.753609,204274
283,1997-02-14,4.235846,4.252858,4.116766,4.150789,2.676816,648828
284,1997-02-18,4.167801,4.167801,4.099755,4.116766,2.654874,1128653
285,1997-02-19,4.116766,4.150789,4.099755,4.099755,2.643903,1027985
286,1997-02-20,4.116766,4.133778,4.082744,4.082744,2.632933,823711
287,1997-02-21,4.116766,4.116766,4.048721,4.099755,2.643903,330660
288,1997-02-24,4.099755,4.167801,4.099755,4.150789,2.676816,646624
289,1997-02-25,4.167801,4.167801,4.116766,4.133778,2.665844,487907
290,1997-02-26,4.150789,4.150789,4.031709,4.031709,2.600021,352704
291,1997-02-27,4.065732,4.099755,4.031709,4.048721,2.610992,303472
292,1997-02-28,4.048721,4.082744,3.946652,4.031709,2.600021,325516
293,1997-03-03,4.014698,4.014698,3.963664,3.997686,2.578079,245423
294,1997-03-04,4.014698,4.082744,3.980675,4.065732,2.621962,1101465
295,1997-03-05,4.065732,4.116766,4.014698,4.099755,2.643903,517299
296,1997-03-06,4.099755,4.150789,4.099755,4.133778,2.665844,594453
297,1997-03-07,4.133778,4.167801,4.133778,4.167801,2.687786,364461
298,1997-03-10,4.201824,4.235846,4.184812,4.235846,2.731666,508482
299,1997-03-11,4.235846,4.269869,4.201824,4.201824,2.709728,590779
300,1997-03-12,4.184812,4.201824,4.167801,4.201824,2.709728,130794
301,1997-03-13,4.184812,4.201824,4.184812,4.184812,2.698756,736270
302,1997-03-14,4.184812,4.184812,4.150789,4.167801,2.687786,455576
303,1997-03-17,4.167801,4.286881,4.167801,4.286881,2.76458,763457
304,1997-03-18,4.286881,4.286881,4.235846,4.235846,2.731666,185170
305,1997-03-19,4.252858,4.286881,4.218835,4.252858,2.742639,180026
306,1997-03-20,4.252858,4.269869,4.184812,4.184812,2.698756,598862
307,1997-03-21,4.201824,4.201824,4.184812,4.201824,2.709728,642950
308,1997-03-24,4.201824,4.218835,4.167801,4.167801,2.687786,892047
309,1997-03-25,4.167801,4.235846,4.167801,4.218835,2.720696,217501
310,1997-03-26,4.218835,4.286881,4.218835,4.286881,2.76458,438676
311,1997-03-27,4.286881,4.303892,4.286881,4.303892,2.775549,83767
312,1997-03-31,4.252858,4.252858,4.167801,4.167801,2.687786,620906
313,1997-04-01,4.184812,4.201824,4.133778,4.184812,2.698756,448228
314,1997-04-02,4.201824,4.218835,4.184812,4.184812,2.698756,914091
315,1997-04-03,4.184812,4.201824,4.082744,4.116766,2.654874,606945
316,1997-04-04,4.116766,4.133778,4.065732,4.082744,2.632933,914091
317,1997-04-07,4.082744,4.150789,4.082744,4.116766,2.654874,138142
318,1997-04-08,4.099755,4.133778,4.048721,4.048721,2.610992,349030
319,1997-04-09,4.048721,4.116766,4.048721,4.116766,2.654874,191048
320,1997-04-10,4.116766,4.116766,4.031709,4.031709,2.600021,671607
321,1997-04-11,4.031709,4.048721,4.014698,4.048721,2.610992,310086
322,1997-04-14,4.014698,4.031709,3.997686,3.997686,2.578079,401936
323,1997-04-15,4.014698,4.116766,3.997686,3.997686,2.578079,757579
