,Date,Open,High,Low,Close,Adj Close,Volume
0,1996-01-04,24.0,24.5,24.0,24.4375,13.658117,2348200
1,1996-01-05,24.4375,24.5,24.1875,24.375,13.623194,3229000
2,1996-01-08,24.625,24.9375,24.5,24.9375,13.93757,1086400
3,1996-01-09,24.9375,24.9375,24.625,24.820313,13.87208,4461400
4,1996-01-10,24.5625,24.6875,23.9375,24.125,13.483462,1805000
5,1996-01-11,24.375,24.4375,24.125,24.375,13.623194,2521600
6,1996-01-12,24.875,24.875,24.3125,24.8125,13.867707,1359200
7,1996-01-15,24.9375,25.25,24.875,25.25,14.112229,945600
8,1996-01-16,25.6875,25.6875,25.3125,25.375,14.182098,1892000
9,1996-01-17,25.125,25.3125,25.0625,25.0625,14.007437,1104800
10,1996-01-18,24.9375,25.25,24.6875,25.125,14.042365,1987200
11,1996-01-19,24.9375,25.125,24.875,25.0,13.972507,1019200
12,1996-01-22,24.875,25.0,24.75,25.0,13.972507,1224000
13,1996-01-23,25.25,25.5,25.1875,25.4375,14.217023,2034400
14,1996-01-24,25.375,25.4375,25.1875,25.25,14.112229,2159600
15,1996-01-25,25.125,25.4375,24.75,24.875,13.902642,2170000
16,1996-01-26,24.75,25.1875,24.5625,25.1875,14.077297,1425600
17,1996-01-29,25.0,25.125,24.8125,25.0,13.972507,412800
18,1996-01-30,24.875,25.0,24.6875,24.8125,13.867707,635200
19,1996-01-31,24.75,25.0625,24.625,25.0625,14.007437,1502800
20,1996-02-01,25.3125,25.3125,25.125,25.1875,14.077297,1231400
21,1996-02-02,25.0625,25.0625,24.6875,25.0,13.972507,917200
22,1996-02-05,24.75,25.0625,24.75,25.0,13.972507,702000
23,1996-02-06,25.0,25.1875,24.9375,25.125,14.042365,726800
24,1996-02-07,25.125,25.25,24.9375,25.1875,14.077297,1627800
25,1996-02-08,25.1875,25.625,25.125,25.625,14.321819,1513200
26,1996-02-09,25.625,25.8125,25.3125,25.375,14.182098,1344800
27,1996-02-12,25.375,25.8125,25.375,25.75,14.391673,904400
28,1996-02-13,25.4375,26.125,25.4375,25.9375,14.496469,1055600
29,1996-02-14,25.8125,26.1875,25.8125,26.0,14.531409,717000
30,1996-02-15,25.8125,26.125,25.8125,25.875,14.461541,691800
31,1996-02-16,25.75,25.8125,25.3125,25.4375,14.217023,1504200
32,1996-02-20,25.0,25.625,24.9375,25.4375,14.217023,1628200
33,1996-02-21,25.25,26.0625,25.25,25.6875,14.356743,997800
34,1996-02-22,25.5,26.25,25.5,26.1875,14.636195,1141000
35,1996-02-23,26.25,26.5625,26.1875,26.375,14.740993,1193800
36,1996-02-26,26.375,26.5,26.125,26.5,14.810858,748200
37,1996-02-27,26.4375,26.4375,26.1875,26.3125,14.70606,782200
38,1996-02-28,26.125,26.4375,25.875,25.875,14.572304,732000
39,1996-02-29,25.75,26.25,25.6875,25.75,14.501897,1416000
40,1996-03-01,25.75,26.375,25.625,26.1875,14.7483,714600
41,1996-03-04,26.5625,26.875,26.25,26.375,14.853894,1050600
42,1996-03-05,26.375,26.4375,26.0,26.25,14.783493,1455600
43,1996-03-06,26.25,26.3125,26.0,26.25,14.783493,613400
44,1996-03-07,26.1875,26.25,26.0,26.0625,14.677896,1108000
45,1996-03-08,25.125,25.5,24.5,25.125,14.149917,1946400
46,1996-03-11,24.9375,25.1875,24.4375,24.75,13.938726,850600
47,1996-03-12,24.375,24.5,23.9375,24.25,13.657137,1167800
48,1996-03-13,24.1875,24.4375,24.1875,24.25,13.657137,925400
49,1996-03-14,24.1875,24.5,24.1875,24.25,13.657137,1018600
50,1996-03-15,24.25,24.3125,23.4375,23.5625,13.269945,1836000
51,1996-03-18,23.8125,24.375,23.8125,24.3125,13.692329,1970200
52,1996-03-19,24.4375,25.125,24.4375,25.0,14.079522,1821600
53,1996-03-20,25.0,25.25,24.875,25.125,14.149917,976800
54,1996-03-21,25.125,25.25,24.9375,25.1875,14.185119,842000
