,Date,Open,High,Low,Close,Adj Close,Volume
0,1996-01-04,12.25,12.5,11.3125,12.0,6.458899,5152000
1,1996-01-05,11.5,12.75,11.4375,12.25,6.59346,3546600
2,1996-01-08,12.375,13.0,12.375,12.875,6.929861,1288200
3,1996-01-09,12.5625,12.5625,11.0,11.125,5.987937,3405800
4,1996-01-10,10.875,12.0,10.625,10.875,5.853375,2586600
5,1996-01-11,11.625,13.25,11.5,13.25,7.131702,3005600
6,1996-01-12,13.625,14.375,12.875,13.125,7.06442,3846000
7,1996-01-15,13.375,13.5625,11.875,11.875,6.391618,1900000
8,1996-01-16,12.125,14.125,12.125,13.875,7.468103,4356000
9,1996-01-17,13.25,14.25,13.125,13.625,7.333544,2080000
10,1996-01-18,14.0,14.875,13.875,14.875,8.006348,1518400
11,1996-01-19,14.625,14.75,13.625,13.875,7.468103,1583600
12,1996-01-22,14.0,14.625,13.75,14.375,7.737223,2345200
13,1996-01-23,14.5,14.75,14.25,14.4375,7.770861,1254000
14,1996-01-24,14.75,15.0,14.5,14.875,8.006348,910000
15,1996-01-25,15.0625,15.625,14.125,14.25,7.669944,3393200
16,1996-01-26,13.875,15.0,13.75,14.75,7.939063,979600
17,1996-01-29,14.875,15.0,13.875,14.0625,7.569023,1136200
18,1996-01-30,14.125,14.625,14.0,14.4375,7.770861,1255400
19,1996-01-31,14.5,14.875,13.875,14.75,7.939063,1012400
20,1996-02-01,14.5,15.375,14.25,15.0,8.073625,1066800
21,1996-02-02,15.125,17.0,14.875,16.625,8.948264,3594000
22,1996-02-05,16.75,17.625,16.125,17.625,9.486509,3804000
23,1996-02-06,17.5,17.625,16.75,17.125,9.217384,2173000
24,1996-02-07,17.25,17.25,14.625,15.0625,8.107264,5079800
25,1996-02-08,15.125,16.375,14.875,16.0,8.611863,4788600
26,1996-02-09,15.75,16.5,15.5,15.625,8.410022,1732200
27,1996-02-12,15.75,16.125,15.625,15.875,8.544583,602800
28,1996-02-13,14.8125,15.125,14.375,14.5625,7.838143,3481800
29,1996-02-14,15.0,15.25,13.75,13.875,7.468103,4063200
30,1996-02-15,14.125,14.625,13.875,14.25,7.669944,2125400
31,1996-02-16,14.25,14.5,13.5,14.1875,7.636303,1462600
32,1996-02-20,14.125,14.5,13.625,14.25,7.669944,1321200
33,1996-02-21,14.25,14.875,14.25,14.75,7.939063,1694600
34,1996-02-22,15.125,15.125,14.375,14.75,7.939063,2970600
35,1996-02-23,14.75,15.0,13.875,14.375,7.737223,2293800
36,1996-02-26,14.5,14.6875,13.875,14.25,7.669944,1086000
37,1996-02-27,14.25,14.375,13.25,13.375,7.198983,1571800
38,1996-02-28,13.375,13.5,12.75,12.875,6.929861,3140000
39,1996-02-29,12.75,12.75,11.75,12.0,6.458899,5261200
40,1996-03-01,12.0625,12.375,11.375,11.875,6.391618,3783000
41,1996-03-04,12.25,12.25,11.75,11.8125,6.357978,1563800
42,1996-03-05,12.0,12.125,11.75,12.0,6.458899,1266600
43,1996-03-06,11.8125,12.0,11.25,11.375,6.122497,2926800
44,1996-03-07,11.5,11.75,10.875,11.0625,5.954297,3199600
45,1996-03-08,10.875,11.125,10.625,10.9375,5.887019,4875800
46,1996-03-11,11.5,11.75,11.125,11.25,6.055217,2132200
47,1996-03-12,11.375,11.375,10.875,11.0,5.920658,1865600
48,1996-03-13,11.4375,11.5,11.0,11.125,5.987937,2208400
49,1996-03-14,11.125,11.3125,11.0625,11.25,6.055217,2972200
50,1996-03-15,11.1875,12.0,11.0,11.75,6.324338,3090000
51,1996-03-18,12.0625,13.125,12.0625,13.0,6.99714,3169400
52,1996-03-19,12.9375,13.375,12.625,12.8125,6.896221,2485800
53,1996-03-20,12.4375,12.625,12.0,12.1875,6.559817,2929000
54,1996-03-21,12.5,12.5,11.9375,12.0,6.458899,2493200
55,1996-03-22,12.125,12.375,11.625,12.1875,6.559817,1378400
56,1996-03-25,12.25,12.375,11.5,11.75,6.324338,1614200
57,1996-03-26,11.625,11.75,11.0,11.15625,6.004757,4029600
58,1996-03-27,11.25,11.75,11.1875,11.4375,6.156138,1393600
59,1996-03-28,11.375,11.5,11.125,11.1875,6.021576,1573200
60,1996-03-29,11.375,11.5,11.1875,11.3125,6.088856,1299200
61,1996-04-01,11.375,11.5,11.125,11.1875,6.021576,3236600
62,1996-04-02,11.125,11.25,10.9375,11.0,5.920658,1873400
63,1996-04-03,11.0625,11.5625,11.0,11.28125,6.072036,1678000
64,1996-04-04,11.5,11.75,11.25,11.3125,6.088856,2164400
65,1996-04-08,10.875,12.625,10.8125,12.4375,6.69438,2984800
66,1996-04-09,12.625,12.9375,12.125,12.6875,6.82894,2444400
67,1996-04-10,12.5,13.1875,12.375,12.875,6.929861,2601800
68,1996-04-11,12.8125,12.8125,12.125,12.4375,6.69438,1965800
69,1996-04-12,12.625,12.625,12.0,12.25,6.59346,1444400
70,1996-04-15,12.75,12.875,12.375,12.75,6.862578,2269800
71,1996-04-16,13.1875,13.5,13.0,13.375,7.198983,5231000
72,1996-04-17,13.5,13.625,12.625,12.8125,6.896221,3053800
73,1996-04-18,12.875,13.5625,12.75,13.5,7.266263,1617200
74,1996-04-19,13.5625,13.75,13.5,13.5,7.266263,1315800
75,1996-04-22,13.75,13.875,13.375,13.8125,7.434463,991400
76,1996-04-23,13.5625,15.0,13.5,14.875,8.006348,2523000
77,1996-04-24,15.375,16.125,15.125,15.625,8.410022,4251600
78,1996-04-25,15.5,15.75,15.125,15.25,8.208184,2003600
79,1996-04-26,15.3125,15.75,14.875,15.0,8.073625,2428200
80,1996-04-29,14.875,15.0625,14.125,14.625,7.871783,1320400
81,1996-04-30,14.4375,14.8125,14.1875,14.4375,7.770861,1883200
82,1996-05-01,14.4375,15.375,14.4375,15.25,8.208184,2603200
83,1996-05-02,15.625,15.875,14.875,15.0625,8.107264,2899200
84,1996-05-03,15.25,15.625,15.0,15.125,8.140903,910800
85,1996-05-06,15.0,15.375,14.875,15.25,8.208184,1567200
86,1996-05-07,15.3125,15.625,15.125,15.375,8.275464,2935600
87,1996-05-08,15.25,15.375,14.75,15.125,8.140903,1357400
88,1996-05-09,15.125,15.25,15.0,15.0,8.073625,894000
89,1996-05-10,15.25,15.25,15.0,15.125,8.140903,1131000
90,1996-05-13,15.125,15.75,15.0,15.5,8.342744,842600
91,1996-05-14,15.625,15.6875,15.375,15.46875,8.325924,757200
92,1996-05-15,15.375,15.5,14.75,14.75,7.939063,1098200
93,1996-05-16,14.625,15.125,14.375,14.9375,8.039986,1302200
94,1996-05-17,14.875,15.0,14.75,14.75,7.939063,468000
95,1996-05-20,14.9375,15.125,14.75,14.8125,7.972705,1532200
96,1996-05-21,14.8125,14.875,13.25,13.375,7.198983,2179400
97,1996-05-22,13.375,13.625,13.125,13.25,7.131702,1627600
98,1996-05-23,13.25,14.125,13.0,13.8125,7.434463,1720400
99,1996-05-24,13.75,14.125,13.625,13.625,7.333544,1423600
100,1996-05-28,13.8125,13.8125,13.125,13.25,7.131702,1133200
101,1996-05-29,13.25,13.3125,12.625,12.8125,6.896221,1404400
102,1996-05-30,12.9375,13.125,12.375,13.0,6.99714,1526400
103,1996-05-31,13.1875,13.625,13.0625,13.5,7.266263,2544800
