,Date,Open,High,Low,Close,Adj Close,Volume
0,1996-01-03,27.5,27.5625,26.375,26.6875,12.724723,3180000
1,1996-01-04,26.5,27.0625,26.4375,26.75,12.754528,2503200
2,1996-01-05,26.6875,26.875,26.25,26.5625,12.665122,1766800
3,1996-01-08,26.5,27.0,26.5,26.875,12.814129,594400
4,1996-01-09,27.0,27.0,26.0,26.578125,12.672567,1963600
5,1996-01-10,25.75,25.8125,24.6875,24.75,11.800914,2316000
6,1996-01-11,25.5,25.5625,25.0,25.5625,12.188325,1534800
7,1996-01-12,25.625,26.0625,25.1875,25.5,12.158515,1732000
8,1996-01-15,25.5,25.75,25.0625,25.1875,12.009511,755200
9,1996-01-16,25.5625,26.4375,25.375,26.125,12.456522,2410000
10,1996-01-17,26.0625,26.625,25.8125,25.875,12.337319,2148800
11,1996-01-18,26.25,26.5625,26.125,26.5,12.635324,1907200
12,1996-01-19,26.4375,26.625,26.3125,26.5625,12.665122,2001600
13,1996-01-22,26.4375,26.5,26.1875,26.3125,12.545923,1342000
14,1996-01-23,26.25,26.6875,25.3125,26.125,12.456522,2166800
15,1996-01-24,26.25,26.5625,26.1875,26.375,12.57572,2796000
16,1996-01-25,26.375,26.625,26.0,26.0,12.396923,1581600
17,1996-01-26,25.875,26.4375,25.875,26.4375,12.605525,2040000
18,1996-01-29,26.4375,26.875,26.4375,26.8125,12.784326,2051000
19,1996-01-30,26.6875,28.0,26.625,27.9375,13.320732,4652800
20,1996-01-31,28.375,29.1875,28.0,28.625,13.648533,4084800
21,1996-02-01,28.875,29.0,28.5625,28.875,13.767731,2395000
22,1996-02-02,28.75,29.5,28.75,28.75,13.708134,2392200
23,1996-02-05,28.9375,29.0,28.6875,29.0,13.827333,1535800
24,1996-02-06,28.0,29.1875,28.0,29.0,13.827333,2271000
25,1996-02-07,29.0,29.75,28.8125,29.5625,14.095536,2530800
26,1996-02-08,29.75,30.6875,29.5,30.5,14.542543,2769000
27,1996-02-09,30.375,31.3125,30.125,30.875,14.721349,2162200
28,1996-02-12,31.25,32.0625,31.25,32.0625,15.287548,2347800
29,1996-02-13,31.75,32.1875,31.75,32.0625,15.369519,2334400
30,1996-02-14,31.875,32.0,31.375,31.9375,15.309597,3556200
31,1996-02-15,31.625,32.5625,31.5625,31.8125,15.24968,4211200
32,1996-02-16,31.5,31.5,30.9375,31.125,14.92012,2826000
33,1996-02-20,30.5,30.875,30.1875,30.25,14.500672,3094400
34,1996-02-21,30.25,31.1875,30.25,31.0,14.860198,2771800
35,1996-02-22,31.1875,31.8125,31.0625,31.625,15.159797,3045600
36,1996-02-23,32.0,32.4375,31.875,32.125,15.399477,4001800
37,1996-02-26,31.375,31.875,30.9375,31.125,14.92012,3369200
38,1996-02-27,31.0,31.1875,30.375,30.5,14.620513,2269800
39,1996-02-28,30.75,31.0625,29.875,30.0625,14.410803,4668200
40,1996-02-29,30.125,31.0,29.9375,30.3125,14.530633,3652800
41,1996-03-01,30.75,31.125,30.5625,30.8125,14.770322,2966600
42,1996-03-04,31.25,32.1875,31.1875,32.0625,15.369519,3034600
43,1996-03-05,31.75,32.375,31.5625,32.375,15.519317,1690600
44,1996-03-06,32.375,32.875,32.3125,32.5,15.579238,1878200
45,1996-03-07,32.875,33.8125,32.6875,33.6875,16.148476,2897600
46,1996-03-08,32.625,33.125,30.875,32.75,15.699082,4228600
47,1996-03-11,32.25,32.4375,31.5,32.0,15.339553,4169200
48,1996-03-12,31.8125,31.9375,30.375,31.75,15.219714,2688000
49,1996-03-13,31.75,32.0,30.9375,31.125,14.92012,2272600
50,1996-03-14,31.125,31.625,30.75,30.8125,14.770322,2172600
51,1996-03-15,30.6875,30.75,30.375,30.4375,14.59056,3142200
52,1996-03-18,30.5,30.5,29.6875,29.8125,14.290953,4364400
53,1996-03-19,30.0,30.4375,29.8125,29.9375,14.350883,3480800
54,1996-03-20,30.25,31.0,30.0625,31.0,14.860198,3492600
55,1996-03-21,31.5,33.6875,31.375,33.3125,15.968713,7608000
56,1996-03-22,33.0,33.125,31.875,32.4375,15.549273,3757200
57,1996-03-25,33.75,33.8125,32.9375,33.125,15.878843,4584800
58,1996-03-26,33.0,33.6875,32.875,33.5,16.058603,4191800
59,1996-03-27,33.0,33.125,32.6875,32.6875,15.669116,2542200
60,1996-03-28,32.375,32.6875,32.1875,32.6875,15.669116,2028000
61,1996-03-29,33.25,33.25,32.4375,32.5,15.579238,2315400
62,1996-04-01,32.75,32.9375,32.5,32.6875,15.669116,1880000
63,1996-04-02,33.25,33.625,33.0,33.1875,15.908804,1633400
64,1996-04-03,33.0625,33.125,32.5625,32.625,15.639161,1314800
65,1996-04-04,32.625,32.625,32.25,32.3125,15.489361,2186200
66,1996-04-08,31.0,31.5625,31.0,31.5,15.099877,1874800
67,1996-04-09,31.6875,31.6875,31.375,31.5,15.099877,1562600
68,1996-04-10,31.375,31.4375,30.0,30.5,14.620513,3548000
69,1996-04-11,30.25,30.5,29.203125,30.1875,14.470716,3836200
70,1996-04-12,30.375,31.0625,30.3125,30.8125,14.770322,2175000
71,1996-04-15,30.5,30.625,30.1875,30.1875,14.470716,3003600
72,1996-04-16,30.0625,30.125,29.4375,29.5,14.141154,3606000
73,1996-04-17,29.4375,29.4375,27.9375,28.25,13.541959,6091000
74,1996-04-18,28.75,29.9375,28.6875,29.4375,14.111197,7186200
75,1996-04-19,29.75,30.5,29.6875,30.375,14.560601,2851400
76,1996-04-22,30.75,30.75,28.8125,29.25,14.021316,2824600
77,1996-04-23,29.1875,29.375,28.5,28.6875,13.751675,5600800
78,1996-04-24,28.8125,28.8125,27.125,27.75,13.302275,9996400
79,1996-04-25,27.875,28.5625,27.8125,28.3125,13.571916,4786200
80,1996-04-26,28.75,29.3125,28.625,29.0625,13.931437,3468200
81,1996-04-29,29.125,29.6875,29.125,29.375,14.081236,2613400
82,1996-04-30,29.5,29.5625,29.0625,29.5625,14.17112,1811600
83,1996-05-01,29.25,29.4375,28.8125,28.875,13.841554,2201200
84,1996-05-02,28.125,28.5625,27.8125,28.0,13.422112,1839400
85,1996-05-03,28.25,28.5625,27.5625,27.6875,13.27231,1859000
86,1996-05-06,27.8125,28.3125,26.9375,27.4375,13.152471,3877200
87,1996-05-07,27.25,27.625,27.1875,27.4375,13.152471,3592000
88,1996-05-08,27.0,28.1875,26.75,28.0625,13.452082,3492400
89,1996-05-09,27.5,28.0625,27.5,27.6875,13.27231,2577600
90,1996-05-10,28.0,28.3125,27.625,28.1875,13.511996,2563800
91,1996-05-13,27.875,28.25,27.6875,27.9375,13.473895,1546800
92,1996-05-14,27.8125,28.125,27.625,28.0625,13.534178,3437000
93,1996-05-15,28.4375,28.75,28.0625,28.1875,13.594468,2981200
94,1996-05-16,28.0625,29.5625,28.0625,29.375,14.167185,3969600
95,1996-05-17,30.0,30.0,29.25,29.5625,14.257609,3162600
96,1996-05-20,29.875,30.125,29.8125,30.0,14.468614,2134400
97,1996-05-21,29.75,30.0625,29.5,29.5,14.227465,1869200
98,1996-05-22,29.25,30.3125,29.125,29.875,14.408319,2746800
99,1996-05-23,30.0,30.75,30.0,30.5625,14.739898,2786800
100,1996-05-24,30.6875,31.4375,30.6875,31.375,15.131748,2514600
101,1996-05-28,31.4375,31.5625,30.5625,30.6875,14.80018,2294200
102,1996-05-29,31.625,32.1875,31.125,31.25,15.071466,5470800
103,1996-05-30,31.25,32.3125,30.75,32.0,15.433186,3185800
104,1996-05-31,31.875,32.1875,31.4375,32.125,15.493464,2553600
105,1996-06-03,31.5,32.75,31.5,32.6875,15.764758,2987200
106,1996-06-04,32.875,33.125,32.6875,32.6875,15.764758,4523400
107,1996-06-05,33.25,33.25,32.6875,33.125,15.97576,3416800
108,1996-06-06,33.1875,33.3125,33.0,33.0625,15.945611,2763600
109,1996-06-07,31.875,33.625,31.875,33.625,16.216898,2920000
110,1996-06-10,33.5,33.625,33.1875,33.3125,16.066177,1806000
111,1996-06-11,33.3125,33.4375,32.8125,33.0,15.915474,1603600
112,1996-06-12,33.0,33.0,32.0,32.125,15.493464,1955800
113,1996-06-13,32.125,32.3125,31.625,31.875,15.372891,2258000
114,1996-06-14,31.75,32.25,31.5625,31.75,15.312607,2608200
115,1996-06-17,31.6875,32.1875,31.375,31.375,15.131748,2427600
116,1996-06-18,31.3125,31.375,30.75,30.75,14.830328,2403800
117,1996-06-19,31.125,31.3125,30.75,31.3125,15.101618,2659800
118,1996-06-20,32.0,32.5,31.6875,32.125,15.493464,3480200
119,1996-06-21,32.9375,33.0,32.5625,32.9375,15.885324,4328200
120,1996-06-24,32.6875,32.875,32.25,32.375,15.614049,1940400
121,1996-06-25,32.375,33.0,32.375,33.0,15.915474,2390600
122,1996-06-26,32.625,33.0,32.5,32.75,15.794895,1573600
123,1996-06-27,32.625,32.9375,32.4375,32.875,15.855186,1603000
124,1996-06-28,32.75,33.0625,32.4375,32.5,15.674325,1458000
125,1996-07-01,32.5,32.6875,32.1875,32.4375,15.644181,2684200
126,1996-07-02,32.5,33.0625,32.375,32.375,15.614049,2929000
