,Date,Open,High,Low,Close,Adj Close,Volume
0,1996-01-03,18.517609,18.633345,18.401875,18.517609,3.55562,68907
1,1996-01-04,18.517609,18.633345,18.401875,18.633345,3.577843,24733
2,1996-01-05,18.517609,18.633345,18.517609,18.633345,3.577843,25705
3,1996-01-08,18.401875,18.517609,18.401875,18.401875,3.533401,14905
4,1996-01-09,18.517609,18.517609,18.286139,18.517609,3.55562,47630
5,1996-01-10,18.517609,18.633345,18.286139,18.633345,3.577843,15985
6,1996-01-11,18.517609,18.517609,18.170404,18.286139,3.511175,56811
7,1996-01-12,18.286139,18.633345,18.286139,18.633345,3.577843,8208
8,1996-01-15,18.633345,18.633345,18.401875,18.401875,3.533401,3672
9,1996-01-16,18.517609,18.517609,18.286139,18.286139,3.511175,12529
10,1996-01-17,18.517609,18.517609,18.054668,18.401875,3.533401,31538
11,1996-01-18,18.401875,18.401875,17.938934,18.054668,3.466732,18145
12,1996-01-19,18.054668,18.054668,17.823198,17.938934,3.444508,20737
13,1996-01-22,17.938934,17.938934,17.823198,17.938934,3.444508,45362
14,1996-01-23,17.938934,17.938934,17.707464,17.938934,3.444508,47738
15,1996-01-24,18.054668,18.054668,17.938934,17.938934,3.444508,2376
16,1996-01-25,18.054668,18.054668,17.823198,17.938934,3.444508,82948
17,1996-01-26,18.054668,18.054668,17.823198,17.938934,3.444508,32078
18,1996-01-29,17.938934,18.054668,17.938934,18.054668,3.466732,20953
19,1996-01-30,18.054668,18.054668,17.938934,17.938934,3.444508,195706
20,1996-01-31,18.054668,18.170404,17.938934,18.054668,3.466732,36182
21,1996-02-01,18.170404,18.286139,17.938934,18.054668,3.466732,39314
22,1996-02-02,18.170404,18.170404,17.823198,17.938934,3.444508,62535
23,1996-02-05,17.938934,18.054668,17.938934,18.054668,3.466732,35642
24,1996-02-06,18.170404,18.286139,18.054668,18.286139,3.511175,39962
25,1996-02-07,18.517609,18.517609,18.054668,18.401875,3.533401,25705
26,1996-02-08,18.054668,18.286139,18.054668,18.170404,3.488954,22681
27,1996-02-09,18.170404,18.286139,18.054668,18.054668,3.466732,32726
28,1996-02-12,18.054668,18.170404,18.054668,18.054668,3.466732,27325
29,1996-02-13,18.054668,18.170404,17.938934,18.054668,3.466732,66747
30,1996-02-14,18.054668,18.401875,18.054668,18.401875,3.533401,40826
31,1996-02-15,18.054668,18.286139,18.054668,18.054668,3.541572,35102
32,1996-02-16,18.054668,18.401875,18.054668,18.401875,3.60968,55731
33,1996-02-20,18.170404,18.286139,18.170404,18.170404,3.564274,54003
34,1996-02-21,17.938934,18.170404,17.823198,18.170404,3.564274,212662
35,1996-02-22,18.170404,18.170404,17.938934,18.054668,3.541572,35642
36,1996-02-23,18.170404,18.170404,17.938934,17.938934,3.518869,15013
37,1996-02-26,18.054668,18.054668,17.707464,17.938934,3.518869,132198
38,1996-02-27,18.054668,18.170404,18.054668,18.170404,3.564274,58539
39,1996-02-28,18.054668,18.170404,18.054668,18.054668,3.541572,14257
40,1996-02-29,17.938934,17.938934,17.823198,17.938934,3.518869,67071
41,1996-03-01,17.938934,17.938934,17.823198,17.823198,3.496167,30998
42,1996-03-04,17.938934,18.286139,17.938934,18.054668,3.541572,121506
43,1996-03-05,18.054668,18.286139,18.054668,18.170404,3.564274,44498
44,1996-03-06,18.170404,18.286139,18.170404,18.286139,3.586975,96881
45,1996-03-07,18.170404,18.286139,18.170404,18.286139,3.586975,68259
46,1996-03-08,18.054668,18.286139,18.054668,18.286139,3.586975,53463
47,1996-03-11,18.286139,18.286139,18.054668,18.170404,3.564274,13393
48,1996-03-12,18.054668,18.170404,18.054668,18.054668,3.541572,29161
49,1996-03-13,18.170404,18.170404,17.938934,18.054668,3.541572,102065
50,1996-03-14,18.054668,18.170404,17.938934,17.938934,3.518869,66423
51,1996-03-15,18.054668,18.170404,18.054668,18.054668,3.541572,76900
52,1996-03-18,18.286139,18.286139,18.170404,18.286139,3.586975,134575
53,1996-03-19,18.286139,18.401875,18.286139,18.401875,3.60968,41366
54,1996-03-20,18.401875,18.401875,18.286139,18.286139,3.586975,156500
55,1996-03-21,18.401875,18.517609,18.286139,18.286139,3.586975,26029
56,1996-03-22,18.517609,18.517609,18.286139,18.286139,3.586975,21169
57,1996-03-25,18.401875,18.401875,18.286139,18.286139,3.586975,29701
58,1996-03-26,18.401875,18.633345,18.401875,18.633345,3.655083,50979
59,1996-03-27,18.517609,18.633345,18.517609,18.633345,3.655083,54759
60,1996-03-28,18.517609,18.749081,18.517609,18.633345,3.655083,13933
61,1996-03-29,18.749081,18.749081,18.054668,18.170404,3.564274,643928
62,1996-04-01,18.170404,18.517609,18.054668,18.286139,3.586975,54975
63,1996-04-02,18.286139,18.401875,18.170404,18.286139,3.586975,10909
64,1996-04-03,18.170404,18.286139,18.170404,18.170404,3.564274,30890
65,1996-04-04,18.170404,18.170404,17.938934,17.938934,3.518869,10044
66,1996-04-08,17.823198,17.938934,17.591728,17.707464,3.473465,16633
67,1996-04-09,17.591728,18.054668,17.591728,17.938934,3.518869,147319
68,1996-04-10,17.823198,17.938934,17.707464,17.823198,3.496167,33698
69,1996-04-11,17.823198,18.054668,17.707464,17.938934,3.518869,23329
70,1996-04-12,17.823198,18.054668,17.823198,17.938934,3.518869,12421
71,1996-04-15,18.054668,18.054668,17.938934,18.054668,3.541572,53895
72,1996-04-16,18.054668,18.054668,17.938934,18.054668,3.541572,131766
73,1996-04-17,18.054668,18.054668,17.823198,17.938934,3.518869,8640
74,1996-04-18,17.823198,18.054668,17.823198,17.938934,3.518869,7884
75,1996-04-19,17.938934,17.938934,17.823198,17.938934,3.518869,14041
76,1996-04-22,17.938934,18.054668,17.823198,17.938934,3.518869,75604
77,1996-04-23,18.054668,18.054668,17.823198,17.823198,3.496167,75280
78,1996-04-24,17.823198,17.938934,17.591728,17.707464,3.473465,61347
79,1996-04-25,17.707464,17.938934,17.707464,17.707464,3.473465,18577
80,1996-04-26,17.823198,17.938934,17.707464,17.707464,3.473465,19765
81,1996-04-29,17.938934,18.054668,17.707464,17.707464,3.473465,20413
82,1996-04-30,17.707464,17.938934,17.707464,17.938934,3.518869,14041
83,1996-05-01,17.938934,17.938934,17.823198,17.938934,3.518869,12205
84,1996-05-02,17.938934,17.938934,17.591728,17.591728,3.450761,105305
85,1996-05-03,18.170404,18.170404,17.823198,18.170404,3.564274,76900
86,1996-05-06,18.170404,18.401875,18.170404,18.401875,3.60968,21061
87,1996-05-07,18.401875,18.401875,18.170404,18.286139,3.586975,35750
88,1996-05-08,18.170404,18.286139,18.170404,18.286139,3.586975,29809
89,1996-05-09,18.286139,18.401875,18.286139,18.401875,3.60968,4752
90,1996-05-10,18.401875,18.749081,18.401875,18.749081,3.677787,28297
91,1996-05-13,18.749081,19.096285,18.633345,19.096285,3.745895,35210
92,1996-05-14,19.096285,19.096285,18.864815,18.980551,3.723192,23761
93,1996-05-15,18.980551,19.327755,18.980551,19.327755,3.791297,41150
94,1996-05-16,19.327755,19.790695,19.327755,19.674959,3.859406,60051
95,1996-05-17,19.327755,19.443489,19.327755,19.443489,3.890904,30457
96,1996-05-20,19.443489,19.443489,19.212021,19.327755,3.867743,92777
97,1996-05-21,19.096285,19.212021,18.980551,19.212021,3.844583,55083
98,1996-05-22,19.212021,19.443489,19.212021,19.443489,3.890904,156392
99,1996-05-23,19.443489,19.674959,19.327755,19.674959,3.937225,50222
100,1996-05-24,19.674959,19.674959,19.212021,19.212021,3.844583,16957
101,1996-05-28,19.096285,19.327755,19.096285,19.212021,3.844583,36722
102,1996-05-29,19.212021,19.559225,19.212021,19.559225,3.914063,20953
103,1996-05-30,19.443489,19.559225,19.443489,19.559225,3.914063,7452
104,1996-05-31,19.443489,19.559225,19.443489,19.443489,3.890904,70311
105,1996-06-03,19.443489,19.443489,19.327755,19.443489,3.890904,24625
106,1996-06-04,19.212021,19.443489,19.212021,19.443489,3.890904,17929
107,1996-06-05,19.443489,19.443489,19.327755,19.327755,3.867743,23329
108,1996-06-06,19.327755,19.443489,19.327755,19.443489,3.890904,18901
109,1996-06-07,19.212021,19.327755,19.096285,19.327755,3.867743,5076
110,1996-06-10,19.327755,19.443489,19.327755,19.443489,3.890904,44498
111,1996-06-11,19.327755,19.674959,19.327755,19.559225,3.914063,80788
112,1996-06-12,19.674959,19.674959,19.327755,19.443489,3.890904,19765
113,1996-06-13,19.443489,19.443489,19.327755,19.327755,3.867743,53247
114,1996-06-14,19.443489,19.674959,19.327755,19.674959,3.937225,37046
115,1996-06-17,19.559225,19.674959,19.443489,19.443489,3.890904,12313
116,1996-06-18,19.559225,19.674959,19.443489,19.674959,3.937225,9288
117,1996-06-19,19.674959,19.674959,19.559225,19.559225,3.914063,18901
118,1996-06-20,19.559225,19.674959,19.559225,19.559225,3.914063,23005
119,1996-06-21,19.674959,19.674959,19.559225,19.674959,3.937225,14257
120,1996-06-24,19.674959,19.674959,19.443489,19.559225,3.914063,35210
