,Date,Open,High,Low,Close,Adj Close,Volume
0,1996-01-03,25.5,26.1,25.5,26.1,13.689754,887875
1,1996-01-04,26.200001,26.700001,25.4,25.5,13.375042,1029875
2,1996-01-05,25.5,25.5,24.9,25.1,13.165235,401000
3,1996-01-08,25.200001,25.5,25.200001,25.5,13.375042,66250
4,1996-01-09,25.200001,25.299999,24.799999,25.1,13.165235,474750
5,1996-01-10,24.200001,24.6,23.700001,23.9,12.535824,986375
6,1996-01-11,23.700001,24.0,23.299999,23.9,12.535824,682250
7,1996-01-12,23.9,24.1,23.700001,23.9,12.535824,592750
8,1996-01-15,24.0,24.299999,23.9,24.200001,12.693178,374250
9,1996-01-16,24.4,24.4,23.9,24.1,12.640727,331750
10,1996-01-17,24.1,25.200001,24.0,24.700001,12.955432,901000
11,1996-01-18,24.6,25.299999,24.299999,25.299999,13.270137,651750
12,1996-01-19,24.9,25.299999,24.799999,25.1,13.165235,720250
13,1996-01-22,25.1,25.6,25.1,25.299999,13.270137,659250
14,1996-01-23,25.299999,25.5,25.1,25.5,13.375042,378500
15,1996-01-24,25.6,25.799999,25.4,25.6,13.427495,389000
16,1996-01-25,25.0,25.6,24.700001,25.200001,13.217691,3167500
17,1996-01-26,25.0,25.1,24.4,24.5,12.850533,1654375
18,1996-01-29,24.5,25.4,24.4,25.4,13.322594,2323875
19,1996-01-30,25.4,26.0,25.299999,26.0,13.637298,1665250
20,1996-01-31,25.9,25.9,25.6,25.9,13.584847,629625
21,1996-02-01,25.9,26.1,25.4,26.0,13.637298,551625
22,1996-02-02,26.799999,27.1,26.299999,26.9,14.109364,1984750
23,1996-02-05,26.6,26.700001,26.200001,26.6,13.952005,982750
24,1996-02-06,26.4,26.5,26.200001,26.299999,13.79465,850000
25,1996-02-07,26.700001,27.6,26.5,27.6,14.47652,1434125
26,1996-02-08,27.5,27.6,26.799999,27.1,14.214263,1569250
27,1996-02-09,27.1,27.200001,26.6,26.6,13.952005,1061875
28,1996-02-12,26.799999,26.9,26.4,26.799999,14.056909,1023000
29,1996-02-13,26.799999,27.4,26.799999,27.1,14.214263,1054250
30,1996-02-14,27.1,27.4,26.9,27.0,14.161806,753500
31,1996-02-15,26.9,27.4,26.700001,27.200001,14.266713,1159500
32,1996-02-16,27.200001,27.5,27.0,27.4,14.371615,1249625
33,1996-02-20,27.299999,28.200001,27.200001,28.200001,14.791224,1441125
34,1996-02-21,28.200001,28.299999,27.799999,27.9,14.633874,1425500
35,1996-02-22,28.0,28.4,28.0,28.299999,14.843678,981375
36,1996-02-23,28.299999,28.4,27.4,27.4,14.371615,1434625
37,1996-02-26,27.5,27.5,27.1,27.200001,14.266713,854375
38,1996-02-27,27.1,27.299999,27.0,27.1,14.214263,601000
39,1996-02-28,27.1,27.299999,26.6,26.799999,14.056909,821500
40,1996-02-29,26.6,26.700001,26.299999,26.6,13.952005,875000
41,1996-03-01,27.0,27.0,26.4,26.9,14.109364,861375
42,1996-03-04,27.0,28.25,26.875,28.125,14.751886,633200
43,1996-03-05,28.0,28.125,27.375,27.75,14.555197,740400
44,1996-03-06,27.875,28.25,26.625,27.0,14.161806,1079100
45,1996-03-07,27.125,27.375,26.875,27.125,14.227368,852600
46,1996-03-08,26.25,26.875,26.125,26.25,13.768422,803300
47,1996-03-11,26.375,26.5,25.875,26.25,13.768422,673800
48,1996-03-12,26.0,26.5,25.875,26.5,13.899553,343300
49,1996-03-13,26.25,26.625,25.75,26.5,13.931095,373400
50,1996-03-14,27.25,28.0,27.125,27.75,14.588226,918500
51,1996-03-15,27.5,27.625,27.125,27.375,14.391081,907000
52,1996-03-18,27.75,27.75,27.0,27.375,14.391081,543800
53,1996-03-19,27.625,27.75,27.125,27.625,14.522512,764500
54,1996-03-20,27.75,28.25,27.25,28.125,14.785363,393900
55,1996-03-21,28.125,28.125,27.5,27.625,14.522512,385500
56,1996-03-22,27.75,27.875,27.25,27.375,14.391081,260700
57,1996-03-25,27.625,27.875,27.25,27.75,14.588226,335500
58,1996-03-26,27.625,28.25,27.375,28.0,14.719646,483400
59,1996-03-27,28.5,28.75,27.75,27.75,14.588226,432500
60,1996-03-28,27.5,27.625,27.25,27.5,14.456793,323200
61,1996-03-29,27.625,27.625,26.625,27.125,14.259654,528600
62,1996-04-01,27.375,27.625,26.875,27.375,14.391081,550500
63,1996-04-02,27.375,27.5,26.625,26.875,14.128232,442100
64,1996-04-03,26.875,27.5,25.125,26.0,13.668242,4200300
65,1996-04-04,26.375,27.125,26.25,27.0,14.193944,1783100
66,1996-04-08,26.5,26.75,26.125,26.375,13.865388,783600
67,1996-04-09,26.375,26.375,25.5,26.125,13.733958,754300
68,1996-04-10,25.75,26.0,25.25,25.25,13.273973,867200
69,1996-04-11,24.25,24.75,23.25,24.375,12.81398,2197200
70,1996-04-12,25.75,25.75,25.0,25.125,13.208258,1227600
71,1996-04-15,25.375,25.5,24.75,24.75,13.011116,618000
72,1996-04-16,26.0,26.0,25.375,25.625,13.471107,893200
73,1996-04-17,25.875,25.875,25.25,25.75,13.536818,676400
74,1996-04-18,25.875,26.125,25.5,25.75,13.536818,730700
75,1996-04-19,25.875,26.125,25.75,25.875,13.602535,625600
76,1996-04-22,25.875,26.125,25.75,25.875,13.602535,618200
77,1996-04-23,25.875,26.125,25.625,26.0,13.668242,530700
78,1996-04-24,26.0,26.125,25.875,26.125,13.733958,899400
79,1996-04-25,26.0,26.375,25.875,25.875,13.602535,898400
80,1996-04-26,25.875,26.25,25.75,26.125,13.733958,332400
81,1996-04-29,26.0,26.125,25.875,26.0,13.668242,412400
82,1996-04-30,26.125,26.25,25.8125,26.0,13.668242,569900
83,1996-05-01,25.875,26.125,25.5,26.0,13.668242,942900
84,1996-05-02,25.875,25.875,25.5,25.5,13.405394,594600
85,1996-05-03,25.5,26.0,25.5,25.875,13.602535,604600
86,1996-05-06,25.625,25.875,25.25,25.625,13.471107,292500
87,1996-05-07,25.75,26.0,25.75,25.875,13.602535,597500
88,1996-05-08,25.625,26.375,25.125,26.25,13.799666,422700
89,1996-05-09,26.25,26.4375,25.0,25.25,13.273973,785900
90,1996-05-10,25.625,26.125,25.375,25.75,13.536818,599600
91,1996-05-13,25.75,26.625,25.625,26.375,13.865388,535900
92,1996-05-14,26.625,27.5,26.5,27.25,14.325377,555700
93,1996-05-15,27.375,27.5,26.75,27.0,14.193944,286100
94,1996-05-16,26.875,28.0,26.875,27.5,14.456793,690800
95,1996-05-17,27.75,27.875,27.0,27.25,14.325377,355000
96,1996-05-20,27.25,27.25,26.75,27.125,14.259654,419400
97,1996-05-21,27.25,27.25,26.875,26.875,14.128232,448600
98,1996-05-22,26.75,27.0,26.5,27.0,14.193944,642600
99,1996-05-23,27.0,27.25,26.625,26.625,13.996813,515300
100,1996-05-24,26.875,27.25,26.75,27.25,14.325377,557700
101,1996-05-28,27.5,27.625,27.125,27.5,14.456793,653600
102,1996-05-29,27.375,27.5,26.875,27.125,14.259654,611600
103,1996-05-30,27.0,27.5,26.875,27.5,14.456793,299800
104,1996-05-31,27.625,27.625,27.0,27.25,14.325377,338400
105,1996-06-03,27.125,27.875,27.125,27.375,14.391081,248600
106,1996-06-04,27.625,27.875,26.875,27.0,14.193944,620500
107,1996-06-05,27.25,27.375,27.0,27.25,14.325377,472600
108,1996-06-06,27.125,28.625,27.125,28.375,14.916784,705400
109,1996-06-07,28.0,28.75,27.625,28.5,14.982497,490200
110,1996-06-10,28.5,28.625,28.125,28.5,14.982497,520900
111,1996-06-11,28.625,29.0,28.25,28.375,14.916784,239600
112,1996-06-12,28.25,28.5,28.0,28.25,14.882544,350800
113,1996-06-13,28.25,28.625,28.25,28.5,15.014244,412400
114,1996-06-14,28.375,28.75,28.125,28.5,15.014244,661400
115,1996-06-17,28.375,28.5,28.0,28.0,14.750837,480700
116,1996-06-18,28.125,28.375,27.75,28.0,14.750837,908200
117,1996-06-19,28.0,28.75,27.75,28.125,14.816697,546500
118,1996-06-20,28.375,28.625,27.5,27.75,14.619142,524400
119,1996-06-21,28.0,28.0,27.625,28.0,14.750837,775100
120,1996-06-24,28.25,28.625,28.25,28.5,15.014244,828200
121,1996-06-25,28.625,28.625,28.0,28.25,14.882544,414300
122,1996-06-26,28.25,28.25,27.75,27.875,14.684991,164300
123,1996-06-27,28.0,28.875,27.875,28.875,15.211803,357400
124,1996-06-28,28.75,29.125,28.375,28.625,15.080103,453500
125,1996-07-01,28.875,29.125,28.75,29.125,15.343509,357300
126,1996-07-02,28.5,28.5,25.875,26.0,13.697207,2173400
127,1996-07-03,26.5,27.0,26.0,26.375,13.894764,1867800
128,1996-07-05,25.25,25.625,25.25,25.625,13.499652,567900
129,1996-07-08,25.875,26.125,25.625,26.0,13.697207,1352100
130,1996-07-09,25.625,25.875,25.125,25.125,13.236243,1162700
131,1996-07-10,25.25,25.25,23.75,24.375,12.84113,3455800
132,1996-07-11,24.375,24.375,23.5,23.625,12.446019,1262600
133,1996-07-12,23.875,24.375,23.5,24.375,12.84113,643600
134,1996-07-15,24.125,24.375,22.875,23.125,12.182614,612700
135,1996-07-16,23.0,23.0,21.625,22.125,11.655795,1227000
136,1996-07-17,23.5,25.0,23.5,24.625,12.972837,1825300
137,1996-07-18,24.875,26.125,24.875,25.75,13.565505,1286300
138,1996-07-19,25.625,25.625,24.625,25.125,13.236243,935300
139,1996-07-22,25.25,25.25,23.625,24.125,12.709435,964300
140,1996-07-23,24.25,24.625,24.125,24.375,12.84113,882400
141,1996-07-24,24.0,24.625,23.75,24.375,12.84113,765200
142,1996-07-25,24.625,25.125,24.5,24.75,13.038687,837100
143,1996-07-26,24.875,25.0,24.5,24.75,13.038687,511700
144,1996-07-29,25.0,25.25,24.875,25.0,13.170392,413900
145,1996-07-30,25.0,25.375,24.75,25.0,13.170392,387200
146,1996-07-31,24.0,25.0,24.0,24.75,13.038687,788700
147,1996-08-01,25.0,26.0,24.875,25.5,13.433799,816900
148,1996-08-02,26.125,26.125,25.375,26.0,13.697207,801700
149,1996-08-05,26.0,26.0,25.75,25.875,13.631356,362500
150,1996-08-06,26.0,26.0,25.75,26.0,13.697207,263300
151,1996-08-07,25.875,26.0,25.625,25.875,13.631356,761900
152,1996-08-08,26.0,26.125,25.625,26.125,13.76306,744200
153,1996-08-09,26.25,26.875,26.125,26.5,13.960615,596400
154,1996-08-12,26.375,26.625,26.375,26.5,13.960615,272400
155,1996-08-13,26.625,27.25,26.625,27.25,14.355734,569600
156,1996-08-14,27.0,27.625,26.875,27.25,14.355734,619100
157,1996-08-15,27.125,27.25,26.875,26.875,14.158171,429100
158,1996-08-16,26.875,27.125,26.75,27.0,14.224021,354400
159,1996-08-19,26.5,27.25,26.5,26.75,14.092315,343500
160,1996-08-20,26.75,27.125,26.625,27.0,14.224021,379800
161,1996-08-21,27.0,27.0,26.5,26.875,14.158171,372300
162,1996-08-22,26.75,26.875,26.5,26.625,14.026468,333600
163,1996-08-23,26.75,27.0,26.625,26.875,14.158171,388600
164,1996-08-26,26.875,27.0,26.625,26.625,14.026468,369800
165,1996-08-27,26.75,27.125,26.625,26.875,14.158171,330400
166,1996-08-28,27.0,27.125,25.625,27.125,14.289873,256400
167,1996-08-29,26.875,27.125,26.625,27.125,14.289873,360300
168,1996-08-30,27.0,27.125,26.375,26.375,13.894764,373800
169,1996-09-03,26.25,26.375,26.0,26.25,13.82891,408500
170,1996-09-04,26.0,26.5,25.9375,26.5,13.960615,485600
