,Date,Open,High,Low,Close,Adj Close,Volume
0,1996-01-03,9.125,9.25,9.0625,9.125,7.243739,3449200
1,1996-01-04,9.125,9.125,8.9375,9.0,7.144508,2594000
2,1996-01-05,9.0,9.0,8.875,8.9375,7.094893,1554400
3,1996-01-08,8.9375,8.9375,8.875,8.9375,7.094893,540800
4,1996-01-09,8.9375,9.0,8.9375,9.0,7.144508,2663200
5,1996-01-10,9.1875,9.6875,9.1875,9.1875,7.293353,43545600
6,1996-01-11,9.1875,9.25,9.125,9.125,7.243739,7378200
7,1996-01-12,9.125,9.25,9.0,9.1875,7.293353,11793200
8,1996-01-15,9.1875,9.3125,9.1875,9.3125,7.392584,5640600
9,1996-01-16,9.3125,9.3125,9.125,9.125,7.243739,4812200
10,1996-01-17,9.125,9.25,9.125,9.1875,7.293353,5651000
11,1996-01-18,9.1875,9.25,9.125,9.1875,7.293353,4691000
12,1996-01-19,9.1875,9.1875,9.0625,9.125,7.243739,4283200
13,1996-01-22,9.125,9.125,9.0,9.0625,7.194123,4168400
14,1996-01-23,9.0625,9.1875,9.0625,9.0625,7.194123,1879800
15,1996-01-24,9.0625,9.125,9.0,9.0625,7.194123,5511600
16,1996-01-25,9.0625,9.1875,9.0,9.0625,7.194123,6495600
17,1996-01-26,9.0625,9.1875,9.0625,9.1875,7.293353,4848800
18,1996-01-29,9.1875,9.25,9.125,9.25,7.342967,3576600
19,1996-01-30,9.25,9.25,9.1875,9.1875,7.293353,2245400
20,1996-01-31,9.1875,9.25,9.0625,9.1875,7.293353,5494000
21,1996-02-01,9.1875,9.25,9.1875,9.25,7.342967,2146200
22,1996-02-02,9.25,9.25,9.125,9.1875,7.293353,2436400
23,1996-02-05,9.1875,9.25,9.125,9.25,7.342967,2172200
24,1996-02-06,9.25,9.4375,9.25,9.4375,7.491813,6645600
25,1996-02-07,9.4375,9.4375,9.375,9.4375,7.491813,3522400
26,1996-02-08,9.375,9.375,9.3125,9.375,7.442203,4190800
27,1996-02-09,9.375,9.375,9.25,9.3125,7.392584,3212600
28,1996-02-12,9.25,9.25,9.1875,9.1875,7.293353,1541800
29,1996-02-13,9.1875,9.25,9.125,9.1875,7.293353,2048200
30,1996-02-14,9.1875,9.25,9.125,9.1875,7.293353,3439400
31,1996-02-15,9.1875,9.1875,9.0625,9.125,7.243739,3078000
32,1996-02-16,9.125,9.125,9.0625,9.0625,7.194123,3733800
33,1996-02-20,9.0,9.0,8.8125,8.875,7.04528,3139200
34,1996-02-21,8.875,9.0,8.875,9.0,7.144508,2842800
35,1996-02-22,9.0,9.0,8.875,9.0,7.144508,2920200
36,1996-02-23,9.0,9.0,8.8125,8.8125,6.995667,2982200
37,1996-02-26,8.8125,8.8125,8.75,8.75,6.946049,3779600
38,1996-02-27,8.75,8.8125,8.625,8.6875,6.896437,6559000
39,1996-02-28,8.6875,9.0,8.6875,8.875,7.04528,7090800
40,1996-02-29,8.875,9.0625,8.875,8.9375,7.094893,3707800
41,1996-03-01,8.9375,9.0,8.75,8.875,7.04528,2255200
42,1996-03-04,8.8125,8.8125,8.8125,8.8125,6.995667,0
43,1996-03-05,8.8125,8.875,8.8125,8.8125,6.995667,2536400
44,1996-03-06,8.8125,8.9375,8.8125,8.875,7.04528,2215200
45,1996-03-07,8.875,8.9375,8.875,8.9375,7.094893,1879200
46,1996-03-08,8.875,8.875,8.75,8.75,6.946049,4479600
47,1996-03-11,8.75,8.8125,8.625,8.8125,6.995667,3314000
48,1996-03-12,8.75,8.75,8.625,8.75,6.946049,3212600
49,1996-03-13,8.75,8.75,8.625,8.625,6.84682,2887200
50,1996-03-14,8.625,8.6875,8.5625,8.5625,6.797211,5352400
51,1996-03-15,8.5625,8.5625,8.375,8.4375,6.697979,8697400
52,1996-03-18,8.5625,8.6875,8.5625,8.6875,6.896437,9893400
53,1996-03-19,8.6875,8.75,8.625,8.6875,6.896437,5048200
54,1996-03-20,8.6875,8.75,8.625,8.6875,6.896437,3524600
55,1996-03-21,8.6875,8.6875,8.5625,8.625,6.84682,4626200
56,1996-03-22,8.625,8.6875,8.625,8.625,6.84682,1937000
57,1996-03-25,8.625,8.6875,8.5,8.5625,6.797211,5064400
58,1996-03-26,8.5625,8.75,8.5,8.75,6.946049,5005800
59,1996-03-27,8.75,8.75,8.5625,8.5625,6.797211,3264000
60,1996-03-28,8.5625,8.5625,8.5,8.5625,6.797211,3174400
61,1996-03-29,8.5625,8.5625,8.5,8.5625,6.797211,4100800
62,1996-04-01,8.5625,8.625,8.4375,8.5,6.747595,5329200
63,1996-04-02,8.5,8.6875,8.5,8.5625,6.797211,3481600
