,Date,Open,High,Low,Close,Adj Close,Volume
0,1996-01-03,5.75,5.875,5.71875,5.875,5.517739,1468800
1,1996-01-04,6.0,6.4375,6.0,6.375,5.987335,5778400
2,1996-01-05,6.34375,6.96875,6.34375,6.96875,6.544977,1827200
3,1996-01-08,7.4375,7.4375,7.1875,7.21875,6.779777,1101200
4,1996-01-09,7.1875,7.21875,7.0,7.0625,6.633028,910400
5,1996-01-10,7.0,7.0,6.6875,6.78125,6.36888,867600
6,1996-01-11,6.84375,7.15625,6.8125,7.15625,6.721076,849600
7,1996-01-12,7.1875,7.21875,6.875,7.0625,6.633028,1088000
8,1996-01-15,7.0625,7.09375,6.9375,7.0,6.574327,209600
9,1996-01-16,7.0625,7.0625,6.84375,6.90625,6.486279,149600
10,1996-01-17,6.90625,6.96875,6.875,6.9375,6.515628,216000
11,1996-01-18,6.875,7.0,6.84375,6.96875,6.544977,544800
12,1996-01-19,6.96875,6.96875,6.84375,6.84375,6.427578,96800
13,1996-01-22,6.90625,6.90625,6.59375,6.71875,6.310181,450400
14,1996-01-23,6.71875,7.09375,6.6875,7.09375,6.662377,1037600
15,1996-01-24,7.125,7.3125,7.09375,7.21875,6.779777,832000
16,1996-01-25,7.25,7.34375,7.09375,7.3125,6.867824,400400
17,1996-01-26,7.25,7.4375,7.1875,7.4375,6.985223,377200
18,1996-01-29,7.375,7.4375,7.1875,7.25,6.809125,224000
19,1996-01-30,7.25,7.28125,7.21875,7.28125,6.838476,636800
20,1996-01-31,7.28125,7.4375,7.25,7.375,6.926525,465600
21,1996-02-01,7.46875,7.65625,7.15625,7.1875,6.750425,1167600
22,1996-02-02,7.34375,7.46875,7.25,7.34375,6.897174,702800
23,1996-02-05,7.3125,7.96875,7.3125,7.96875,7.484168,1580800
24,1996-02-06,7.8125,8.25,7.5625,8.125,7.630916,2387200
25,1996-02-07,8.0625,8.15625,8.0,8.03125,7.542867,728000
26,1996-02-08,8.0,8.1875,7.875,8.0625,7.572216,960400
27,1996-02-09,8.0,8.21875,7.9375,8.0,7.513518,672800
28,1996-02-12,7.9375,8.09375,7.84375,8.0625,7.572216,492800
29,1996-02-13,8.03125,8.03125,7.84375,7.96875,7.484168,371600
30,1996-02-14,7.9375,8.0625,7.9375,8.0,7.513518,363200
31,1996-02-15,7.9375,8.0625,7.9375,8.0,7.513518,696400
32,1996-02-16,8.0,8.09375,7.9375,7.96875,7.484168,354400
33,1996-02-20,7.875,7.90625,7.59375,7.75,7.27872,826800
34,1996-02-21,7.75,8.03125,7.6875,8.03125,7.542867,348800
35,1996-02-22,8.03125,8.15625,8.0,8.125,7.630916,393600
36,1996-02-23,8.09375,8.125,7.96875,8.03125,7.542867,535200
37,1996-02-26,7.96875,8.125,7.875,8.09375,7.601566,336800
38,1996-02-27,8.09375,8.25,8.0625,8.1875,7.689616,424400
39,1996-02-28,8.21875,8.21875,7.96875,8.0,7.513518,242000
40,1996-02-29,7.96875,8.40625,7.9375,8.3125,7.807015,803600
41,1996-03-01,8.46875,8.65625,8.40625,8.5625,8.041814,1019600
42,1996-03-04,8.5625,9.09375,8.5625,9.09375,8.540755,1806000
43,1996-03-05,9.125,9.5,9.125,9.28125,8.716852,2637200
44,1996-03-06,9.28125,9.4375,9.09375,9.40625,8.834253,924400
45,1996-03-07,9.5,9.59375,9.34375,9.53125,8.951652,812400
46,1996-03-08,9.5,9.5625,9.21875,9.40625,8.834253,1128000
47,1996-03-11,9.28125,9.4375,9.25,9.375,8.804902,659600
48,1996-03-12,9.3125,9.375,9.25,9.28125,8.716852,183600
49,1996-03-13,9.40625,9.40625,9.28125,9.28125,8.716852,214000
50,1996-03-14,9.28125,9.59375,9.28125,9.5625,8.981002,292800
51,1996-03-15,9.53125,9.59375,9.5,9.5625,8.981002,316000
52,1996-03-18,9.65625,10.0,9.625,10.0,9.391895,1210000
53,1996-03-19,9.90625,9.90625,9.65625,9.71875,9.127748,809600
54,1996-03-20,9.6875,9.78125,9.59375,9.71875,9.127748,361200
55,1996-03-21,9.6875,9.6875,9.28125,9.40625,8.834253,648400
56,1996-03-22,9.34375,9.46875,9.34375,9.375,8.804902,197200
57,1996-03-25,9.40625,9.40625,9.1875,9.3125,8.746202,606800
58,1996-03-26,9.34375,9.40625,9.28125,9.375,8.804902,173600
59,1996-03-27,9.40625,9.40625,9.28125,9.40625,8.834253,914000
60,1996-03-28,9.4375,9.5625,9.40625,9.5625,8.981002,640800
61,1996-03-29,9.59375,9.625,9.46875,9.59375,9.010351,417200
62,1996-04-01,9.53125,9.59375,9.4375,9.5625,8.981002,541200
63,1996-04-02,9.59375,9.84375,9.59375,9.84375,9.245149,385600
64,1996-04-03,9.96875,10.15625,9.875,9.875,9.274501,1012400
65,1996-04-04,9.875,9.9375,9.8125,9.90625,9.303848,278000
66,1996-04-08,9.78125,10.0,9.59375,9.9375,9.333197,414800
67,1996-04-09,9.9375,10.40625,9.90625,10.375,9.744093,668400
68,1996-04-10,10.40625,10.5625,10.1875,10.1875,9.567994,658400
