,Date,Open,High,Low,Close,Adj Close,Volume
0,1996-01-03,41.875,42.5,41.5,41.625,30.164639,715100
1,1996-01-04,41.75,41.875,40.25,40.625,29.439947,622600
2,1996-01-05,39.875,40.125,39.75,40.125,29.077616,495800
3,1996-01-08,40.25,40.875,40.125,40.375,29.258801,125600
4,1996-01-09,40.375,40.375,39.375,39.625,28.715284,320400
5,1996-01-10,39.625,39.625,37.5,37.625,27.265923,744100
6,1996-01-11,38.0,39.0,38.0,38.75,28.081188,950000
7,1996-01-12,38.875,39.375,38.875,39.375,28.534113,365800
8,1996-01-15,39.125,39.875,39.125,39.625,28.715284,401400
9,1996-01-16,40.375,40.375,39.25,39.25,28.443521,428200
10,1996-01-17,39.0,39.0,38.125,38.125,27.628273,603000
11,1996-01-18,34.25,35.0,33.625,34.75,25.182474,3102000
12,1996-01-19,35.875,35.875,35.0,35.625,25.816576,1406800
13,1996-01-22,35.75,35.875,35.375,35.625,25.816576,170200
14,1996-01-23,35.75,36.0,35.4375,35.75,25.907156,571400
15,1996-01-24,35.75,36.5,35.75,36.5,26.450668,737800
16,1996-01-25,36.0,36.25,35.875,36.125,26.178925,673500
17,1996-01-26,36.0,36.875,35.875,36.75,26.631838,705500
18,1996-01-29,36.75,38.0,36.75,37.25,26.994177,859500
19,1996-01-30,37.25,37.25,36.625,37.125,26.903601,416000
20,1996-01-31,38.75,38.75,37.375,37.625,27.265923,1441100
21,1996-02-01,37.625,38.625,37.625,38.125,27.628273,983600
22,1996-02-02,38.25,38.5,38.0,38.375,27.809439,670000
23,1996-02-05,38.125,38.25,38.0,38.125,27.628273,507100
24,1996-02-06,38.125,38.125,37.875,38.125,27.628273,1016600
25,1996-02-07,38.125,38.125,38.0,38.125,27.628273,427900
26,1996-02-08,38.125,38.25,38.0,38.125,27.628273,535900
27,1996-02-09,38.25,38.25,38.0,38.125,27.628273,393300
28,1996-02-12,38.0,38.0,37.875,38.0,27.537683,278900
29,1996-02-13,38.0,38.375,37.875,38.25,27.718842,919500
30,1996-02-14,38.375,39.125,38.375,39.125,28.352953,1184900
31,1996-02-15,39.625,40.25,39.375,39.75,28.805862,845000
32,1996-02-16,39.75,40.25,39.625,40.125,29.077616,612400
33,1996-02-20,39.875,40.0,39.5,39.625,28.715284,553500
34,1996-02-21,39.75,40.375,39.75,40.0,28.987036,899000
35,1996-02-22,39.875,40.0,39.0,39.5,28.624689,981000
36,1996-02-23,39.625,39.625,39.125,39.5,28.624689,823700
37,1996-02-26,39.5,39.5,39.125,39.125,28.352953,528700
38,1996-02-27,39.25,40.0,39.25,39.75,28.805862,744800
39,1996-02-28,40.375,41.625,40.25,41.25,29.892868,908100
40,1996-02-29,41.125,41.75,40.75,41.25,29.892868,905200
41,1996-03-01,41.125,42.625,41.125,41.875,30.345812,775200
42,1996-03-04,42.0,43.25,42.0,43.125,31.251644,637200
43,1996-03-05,43.125,43.125,42.5,42.75,30.979902,612100
44,1996-03-06,42.75,42.875,41.5,41.625,30.164639,1179500
45,1996-03-07,41.625,42.0,41.375,41.5,30.074053,799100
46,1996-03-08,40.5,41.125,38.875,39.625,28.715284,669600
47,1996-03-11,39.0,39.5,38.75,39.0,28.262363,824500
48,1996-03-12,39.0,39.625,38.5,39.25,28.443521,637900
49,1996-03-13,39.25,41.125,39.25,40.875,29.681629,351700
50,1996-03-14,40.625,41.125,37.5,39.25,28.501617,1883300
51,1996-03-15,38.875,38.875,37.125,37.25,27.049316,2585300
52,1996-03-18,37.25,37.5,36.5,37.5,27.230846,1121800
53,1996-03-19,39.25,39.25,38.25,38.5,27.95701,474700
54,1996-03-20,38.5,39.25,38.5,39.0,28.320082,544000
55,1996-03-21,38.75,39.75,38.75,39.5,28.683151,265400
56,1996-03-22,39.5,39.625,38.5,38.5,27.95701,445200
57,1996-03-25,38.875,38.875,36.5,37.0,26.867764,1047600
58,1996-03-26,37.0,37.5,36.25,37.5,27.230846,753400
59,1996-03-27,37.25,37.375,36.5,36.875,26.776993,719700
60,1996-03-28,37.0,37.0,36.375,36.375,26.413919,302200
61,1996-03-29,36.5,36.875,36.375,36.5,26.504692,446700
62,1996-04-01,35.0,35.0,32.25,32.875,23.872383,2747400
63,1996-04-02,33.375,34.5,33.25,34.375,24.961607,2108000
64,1996-04-03,34.5,35.0,33.875,35.0,25.415453,600700
65,1996-04-04,35.0,36.5,34.875,36.5,26.504692,742800
66,1996-04-08,35.875,36.5,35.5,36.5,26.504692,527600
67,1996-04-09,36.5,37.625,36.5,37.125,26.958546,961700
68,1996-04-10,37.5,38.0,37.375,37.625,27.321609,539900
69,1996-04-11,37.875,38.25,37.375,37.5,27.230846,342900
70,1996-04-12,38.375,38.5,37.5,38.25,27.775454,942300
