,Date,Open,High,Low,Close,Adj Close,Volume
0,1996-01-03,5.570313,5.632813,5.421875,5.429688,3.380183,62857600
1,1996-01-04,5.453125,5.46875,5.304688,5.460938,3.39964,102353600
2,1996-01-05,5.390625,5.476563,5.382813,5.398438,3.360729,62083200
3,1996-01-08,5.40625,5.476563,5.382813,5.390625,3.355866,11377600
4,1996-01-09,5.375,5.375,4.992188,5.011719,3.119982,177424000
5,1996-01-10,5.03125,5.203125,5.030273,5.148438,3.205094,181571200
6,1996-01-11,5.21875,5.429688,5.195313,5.414063,3.370457,116617600
7,1996-01-12,5.40625,5.429688,5.242188,5.359375,3.336412,80544000
8,1996-01-15,5.367188,5.367188,5.117188,5.15625,3.209959,84572800
9,1996-01-16,5.226563,5.405273,5.203125,5.398438,3.360729,122006400
10,1996-01-17,5.296875,5.46875,5.289063,5.304688,3.302366,143078400
11,1996-01-18,5.34375,5.554688,5.3125,5.476563,3.409364,121331200
12,1996-01-19,5.640625,5.828125,5.601563,5.742188,3.574725,227440000
13,1996-01-22,5.726563,5.796875,5.679688,5.75,3.57959,82643200
14,1996-01-23,5.710938,5.734375,5.578125,5.59375,3.482319,66473600
15,1996-01-24,5.617188,5.78125,5.59375,5.703125,3.550408,92217600
16,1996-01-25,5.710938,5.726563,5.5625,5.585938,3.477455,59881600
17,1996-01-26,5.570313,5.679688,5.5625,5.65625,3.521227,50881600
18,1996-01-29,5.671875,5.703125,5.584961,5.648438,3.516364,39587200
19,1996-01-30,5.679688,5.710938,5.664063,5.675781,3.533385,45120000
20,1996-01-31,5.671875,5.789063,5.632813,5.78125,3.599044,68774400
21,1996-02-01,5.765625,5.890625,5.75,5.882813,3.662271,78587200
22,1996-02-02,5.875,5.882813,5.757813,5.8125,3.618499,44686400
23,1996-02-05,5.796875,6.078125,5.796875,6.070313,3.778997,126480000
24,1996-02-06,6.03125,6.09375,5.976563,6.03125,3.754678,98158400
25,1996-02-07,6.0,6.070313,5.967773,6.054688,3.769269,65555200
26,1996-02-08,6.039063,6.21875,5.96875,6.179688,3.847085,103924800
27,1996-02-09,6.171875,6.265625,6.15625,6.257813,3.895724,122832000
28,1996-02-12,6.234375,6.320313,6.195313,6.21875,3.871404,87779200
29,1996-02-13,6.109375,6.265625,6.09375,6.226563,3.876268,114513600
30,1996-02-14,6.257813,6.257813,6.148438,6.171875,3.842222,80212800
31,1996-02-15,6.15625,6.195313,6.109375,6.15625,3.832497,52195200
32,1996-02-16,6.171875,6.203125,6.117188,6.117188,3.808178,62206400
33,1996-02-20,6.078125,6.15625,6.054688,6.109375,3.803313,64182400
34,1996-02-21,6.109375,6.257813,6.09375,6.242188,3.885995,80046400
35,1996-02-22,6.25,6.414063,6.25,6.40625,3.98813,106500800
36,1996-02-23,6.414063,6.476563,6.367188,6.46875,4.027039,102640000
37,1996-02-26,6.4375,6.453125,6.28125,6.289063,3.915176,63696000
38,1996-02-27,6.296875,6.300781,6.233398,6.257813,3.895724,60958400
39,1996-02-28,6.296875,6.375,6.242188,6.257813,3.895724,60051200
40,1996-02-29,6.1875,6.257813,6.160156,6.167969,3.839791,61723200
41,1996-03-01,6.148438,6.164063,5.914063,5.96875,3.71577,157652800
42,1996-03-04,6.0,6.085938,5.96875,6.015625,3.744952,72564800
43,1996-03-05,6.0,6.141602,5.984375,6.132813,3.817904,57369600
44,1996-03-06,6.140625,6.179688,6.0625,6.0625,3.774132,44256000
45,1996-03-07,6.070313,6.101563,6.039063,6.082031,3.786291,44291200
46,1996-03-08,5.96875,6.09375,5.921875,5.945313,3.701179,108524800
47,1996-03-11,5.945313,6.039063,5.945313,6.03125,3.754678,74592000
48,1996-03-12,6.015625,6.039063,5.921875,5.984375,3.725497,76888000
49,1996-03-13,6.139648,6.3125,6.109375,6.304688,3.924906,156710400
50,1996-03-14,6.320313,6.367188,6.226563,6.226563,3.876268,60640000
51,1996-03-15,6.25,6.445313,6.226563,6.398438,3.983266,121721600
52,1996-03-18,6.398438,6.617188,6.398438,6.578125,4.095128,119472000
53,1996-03-19,6.648438,6.691406,6.546875,6.679688,4.158355,92491200
54,1996-03-20,6.640625,6.664063,6.483398,6.539063,4.07081,92944000
55,1996-03-21,6.515625,6.523438,6.28125,6.296875,3.920039,66313600
56,1996-03-22,6.320313,6.339844,6.234375,6.320313,3.934628,48046400
57,1996-03-25,6.34375,6.398438,6.175781,6.242188,3.885995,63379200
58,1996-03-26,6.210938,6.429688,6.171875,6.421875,3.997856,79899200
59,1996-03-27,6.453125,6.5,6.320313,6.40625,3.98813,52729600
60,1996-03-28,6.367188,6.46875,6.320313,6.390625,3.978401,54955200
61,1996-03-29,6.398438,6.507813,6.382813,6.445313,4.012448,53508800
62,1996-04-01,6.446289,6.46875,6.382813,6.421875,3.997856,31692800
63,1996-04-02,6.421875,6.5625,6.414063,6.539063,4.07081,54396800
64,1996-04-03,6.507813,6.570313,6.460938,6.53125,4.065947,46072000
65,1996-04-04,6.539063,6.554688,6.46875,6.523438,4.061084,28961600
66,1996-04-08,6.40625,6.492188,6.367188,6.484375,4.036766,73753600
67,1996-04-09,6.5,6.5,6.34375,6.351563,3.954086,66942400
68,1996-04-10,6.34375,6.4375,6.328125,6.351563,3.954086,51910400
69,1996-04-11,6.34375,6.398438,6.226563,6.320313,3.934628,62465600
70,1996-04-12,6.320313,6.351563,6.28125,6.320313,3.934628,33737600
71,1996-04-15,6.3125,6.476563,6.3125,6.469727,4.027647,50102400
72,1996-04-16,6.515625,6.59375,6.5,6.578125,4.095128,80116800
73,1996-04-17,6.578125,6.625,6.519531,6.621094,4.121879,62630400
74,1996-04-18,6.625,6.828125,6.59375,6.8125,4.241037,133958400
75,1996-04-19,6.976563,7.007813,6.84375,6.859375,4.270218,169492800
76,1996-04-22,6.90625,7.085938,6.890625,7.046875,4.386943,92758400
77,1996-04-23,7.046875,7.078125,6.960938,7.039063,4.38208,57139200
78,1996-04-24,7.0625,7.070313,6.953125,6.96875,4.338309,69251200
