,Date,Open,High,Low,Close,Adj Close,Volume
0,1996-01-03,20.6875,21.0,19.5,19.6875,19.42226,11049800
1,1996-01-04,19.8125,20.375,18.875,19.75,19.483919,12882000
2,1996-01-05,20.125,20.5625,19.5,19.5625,19.298944,12379400
3,1996-01-08,19.6875,19.8125,19.0,19.3125,19.052311,3115400
4,1996-01-09,19.3125,19.3125,17.9375,18.25,18.004129,12477000
5,1996-01-10,17.9375,18.8125,17.875,18.1875,17.942469,14918200
6,1996-01-11,18.6875,18.875,17.9375,17.9375,17.695835,16344000
7,1996-01-12,18.125,18.25,16.375,16.5,16.277704,21134400
8,1996-01-15,16.5,16.6875,15.375,15.4375,15.22952,21649200
9,1996-01-16,15.625,16.625,15.3125,16.3125,16.092733,20388800
10,1996-01-17,15.8125,17.25,15.625,16.125,15.907757,20049600
11,1996-01-18,16.5625,17.125,16.0,16.0,15.784441,13306800
12,1996-01-19,15.75,15.9375,14.875,15.5625,15.352836,21021600
13,1996-01-22,15.5625,16.4375,15.5625,15.875,15.661126,10032000
14,1996-01-23,15.875,16.375,15.75,16.0,15.784441,11018000
15,1996-01-24,16.3125,18.75,16.1875,18.5,18.250761,26093200
16,1996-01-25,18.875,19.625,17.8125,18.0,17.757496,33254800
17,1996-01-26,17.875,18.125,16.6875,17.25,17.017601,21908600
18,1996-01-29,17.3125,17.4375,16.5625,16.8125,16.585993,12030800
19,1996-01-30,17.0625,17.25,16.75,16.875,16.647654,7904000
20,1996-01-31,16.9375,17.1875,16.6875,17.125,16.894285,6969600
21,1996-02-01,16.9375,18.1875,16.8125,17.6875,17.449209,18175000
22,1996-02-02,17.875,18.1875,17.6875,18.0,17.757496,7475800
23,1996-02-05,18.0625,18.9375,18.0625,18.8125,18.55905,15067800
24,1996-02-06,19.265625,21.0,19.265625,20.9375,20.65542,37559400
25,1996-02-07,21.375,22.0,20.375,20.6875,20.408791,44766400
26,1996-02-08,20.375,20.9375,19.625,19.9375,19.66889,21604200
27,1996-02-09,19.25,19.6875,18.875,19.375,19.113972,21219200
28,1996-02-12,19.625,19.75,18.5,18.5,18.250761,9002000
29,1996-02-13,18.375,18.875,17.875,18.875,18.620707,19528400
30,1996-02-14,18.6875,19.0,18.3125,18.5,18.250761,10908400
31,1996-02-15,18.5,18.625,17.625,17.625,17.387548,11689200
32,1996-02-16,17.5625,18.25,17.4375,18.0625,17.819151,10296200
33,1996-02-20,17.75,18.5625,17.625,18.4375,18.189102,13519000
34,1996-02-21,18.5625,18.75,18.375,18.5625,18.312416,7479600
35,1996-02-22,18.6875,19.625,18.6875,19.375,19.113972,17714600
36,1996-02-23,19.625,19.6875,18.8125,18.8125,18.55905,11449600
37,1996-02-26,18.6875,18.8125,18.375,18.375,18.127443,8086600
38,1996-02-27,18.0,18.1875,16.6875,16.8125,16.585993,19389200
39,1996-02-28,16.9375,17.5625,16.25,16.625,16.40102,12884200
40,1996-02-29,16.5625,16.875,15.5625,16.0,15.784441,18158600
41,1996-03-01,16.1875,16.1875,15.4375,15.8125,15.599467,12224200
42,1996-03-04,15.75,16.0625,15.75,15.8125,15.599467,5725200
43,1996-03-05,15.75,16.6875,14.9375,15.5625,15.352836,24977800
44,1996-03-06,15.625,15.875,14.375,14.5625,14.366309,21206000
45,1996-03-07,14.25,14.625,14.0625,14.25,14.058018,13288800
46,1996-03-08,14.0625,15.0,13.75,14.9375,14.736257,16019800
47,1996-03-11,15.375,15.625,14.875,15.0,14.797914,13381600
48,1996-03-12,15.0625,15.125,14.4375,14.875,14.674599,8147000
49,1996-03-13,14.875,14.875,14.125,14.625,14.427966,10139000
50,1996-03-14,14.5,15.0625,14.1875,14.5625,14.366309,13336200
51,1996-03-15,15.1875,16.5,15.0,16.3125,16.092733,28128600
52,1996-03-18,17.0,17.5625,16.9375,17.3125,17.079258,21344000
53,1996-03-19,17.625,17.75,16.5,16.625,16.40102,13229800
54,1996-03-20,16.3125,16.3125,15.5625,16.1875,15.969416,12812400
55,1996-03-21,16.125,16.3125,15.75,16.3125,16.092733,7523000
56,1996-03-22,16.25,16.5625,15.875,15.875,15.661126,5745600
57,1996-03-25,16.0,16.125,15.375,15.5,15.291178,4775000
58,1996-03-26,15.375,16.0,15.375,15.5,15.291178,4933000
59,1996-03-27,15.5625,16.0625,15.5625,15.6875,15.476151,5773000
60,1996-03-28,15.75,15.9375,15.625,15.875,15.661126,4341000
61,1996-03-29,16.0,16.125,15.6875,15.8125,15.599467,4677400
62,1996-04-01,15.75,15.875,15.3125,15.375,15.167862,4180000
63,1996-04-02,15.4375,15.4375,15.1875,15.1875,14.982887,3469800
64,1996-04-03,15.25,15.875,14.9375,15.8125,15.599467,7623800
65,1996-04-04,15.8125,15.9375,15.375,15.5,15.291178,3986200
66,1996-04-08,15.1875,16.875,15.125,16.875,16.647654,13526600
67,1996-04-09,17.0,17.1875,16.3125,16.4375,16.216047,12168600
68,1996-04-10,16.25,17.8125,16.25,16.375,16.154388,13362400
69,1996-04-11,16.5,16.625,16.125,16.5,16.277704,7296400
70,1996-04-12,16.4375,16.9375,16.125,16.25,16.031073,6250400
71,1996-04-15,16.375,16.75,16.1875,16.3125,16.092733,4151200
72,1996-04-16,16.6875,17.125,16.5625,16.9375,16.709312,9749800
73,1996-04-17,16.875,17.125,16.625,16.875,16.647654,6522600
74,1996-04-18,16.875,17.3125,16.8125,17.125,16.894285,8994000
75,1996-04-19,17.1875,17.25,16.5625,16.5625,16.339363,5965400
76,1996-04-22,16.8125,16.875,16.375,16.5,16.277704,7073000
77,1996-04-23,16.5625,16.875,16.375,16.625,16.40102,6352400
78,1996-04-24,16.875,18.1875,16.5625,18.125,17.880812,22259200
79,1996-04-25,18.5,19.5,18.4375,19.125,18.86734,26573400
80,1996-04-26,19.25,19.875,18.75,19.1875,18.928997,20856200
81,1996-04-29,18.625,18.9375,18.1875,18.25,18.004129,9198400
82,1996-04-30,18.25,18.5625,18.0,18.1875,17.942469,9155400
83,1996-05-01,18.25,18.8125,18.25,18.3125,18.065788,8596800
84,1996-05-02,19.0,19.3125,18.3125,18.625,18.374075,14466800
85,1996-05-03,18.875,19.0625,18.1875,18.5,18.250761,10514800
86,1996-05-06,18.5,18.5,17.8125,18.125,17.880812,8135000
87,1996-05-07,18.0,18.0,17.4375,17.5,17.288076,7051400
88,1996-05-08,17.4375,17.5625,16.6875,17.5625,17.349821,10851000
89,1996-05-09,17.125,17.3125,16.8125,16.9375,16.732391,9583800
90,1996-05-10,17.125,17.25,16.3125,16.5625,16.361931,12402600
91,1996-05-13,16.6875,17.3125,16.4375,17.125,16.91762,9441400
92,1996-05-14,17.375,17.4375,16.6875,16.8125,16.6089,7278800
93,1996-05-15,16.5625,17.25,16.5,16.9375,16.732391,6825600
94,1996-05-16,16.6875,17.1875,16.6875,16.9375,16.732391,6202200
95,1996-05-17,16.9375,17.0625,16.5625,16.5625,16.361931,6357800
96,1996-05-20,16.6875,16.8125,16.3125,16.5,16.30019,5128000
97,1996-05-21,16.3125,16.375,16.125,16.1875,15.991472,7426400
98,1996-05-22,15.875,16.0,15.25,15.5625,15.374042,13875200
99,1996-05-23,15.3125,15.625,15.0625,15.4375,15.250555,9680600
100,1996-05-24,15.3125,15.3125,15.0625,15.1875,15.003583,4993800
101,1996-05-28,15.25,15.625,15.1875,15.5,15.312297,7385600
102,1996-05-29,15.5625,15.625,15.0,15.125,14.941838,7575200
103,1996-05-30,15.125,16.25,15.125,16.25,16.053215,10353800
104,1996-05-31,16.5,16.6875,16.0,16.0625,15.867986,13251200
105,1996-06-03,15.9375,16.0625,15.3125,15.5,15.312297,5630800
106,1996-06-04,15.5625,15.625,15.25,15.4375,15.250555,4557000
107,1996-06-05,15.3125,15.4375,15.1875,15.25,15.065327,3411600
108,1996-06-06,15.25,15.3125,14.625,14.75,14.571381,8428000
109,1996-06-07,14.5625,15.4375,14.5,15.4375,15.250555,9241400
110,1996-06-10,15.375,15.375,14.8125,14.9375,14.756611,4628400
111,1996-06-11,15.0,15.25,14.875,15.125,14.941838,4826800
112,1996-06-12,15.5,15.6875,14.9375,14.9375,14.756611,7527400
113,1996-06-13,15.0625,15.3125,14.6875,15.125,14.941838,8739200
114,1996-06-14,15.0625,15.375,14.75,14.875,14.694867,9534000
115,1996-06-17,14.8125,14.875,14.5625,14.75,14.571381,4523800
116,1996-06-18,14.6875,14.8125,13.6875,13.6875,13.521747,12220800
117,1996-06-19,13.75,14.1875,13.75,14.0,13.830463,7153600
