,Date,Open,High,Low,Close,Adj Close,Volume
0,2013-01-18,25.1,25.49,24.16,24.790001,24.790001,17761800
1,2013-01-22,25.0,27.360001,24.85,26.950001,26.950001,2072000
2,2013-01-23,28.0,28.860001,26.49,27.49,27.49,1572200
3,2013-01-24,27.17,27.9,26.639999,27.35,27.35,508700
4,2013-01-25,27.5,27.9,26.280001,27.35,27.35,870700
5,2013-01-28,27.879999,27.879999,26.940001,27.76,27.76,172200
6,2013-01-29,27.9,27.959999,27.0,27.110001,27.110001,437400
7,2013-01-30,26.690001,27.23,26.17,26.290001,26.290001,816400
8,2013-01-31,26.02,26.92,25.75,26.370001,26.370001,970400
9,2013-02-01,26.469999,27.799999,26.18,27.65,27.65,1099300
10,2013-02-04,27.709999,29.08,27.6,28.41,28.41,952100
11,2013-02-05,28.959999,28.959999,27.969999,28.540001,28.540001,447200
12,2013-02-06,28.1,28.74,27.799999,27.98,27.98,377200
13,2013-02-07,27.93,28.09,27.43,27.549999,27.549999,276300
14,2013-02-08,27.6,28.309999,27.32,27.91,27.91,380200
15,2013-02-11,27.780001,27.84,27.43,27.68,27.68,576900
16,2013-02-12,28.91,29.5,28.24,28.32,28.32,1876800
17,2013-02-13,28.809999,29.540001,28.290001,28.92,28.92,772500
18,2013-02-14,28.82,29.4,28.6,29.25,29.25,431900
19,2013-02-15,29.48,30.41,29.48,30.27,30.27,1418700
20,2013-02-19,30.469999,31.33,30.450001,31.190001,31.190001,497800
21,2013-02-20,31.190001,31.91,30.559999,30.799999,30.799999,612700
22,2013-02-21,30.540001,31.0,29.76,30.469999,30.469999,481400
23,2013-02-22,30.950001,31.309999,29.459999,29.99,29.99,571200
24,2013-02-25,31.34,31.41,30.18,30.780001,30.780001,471700
25,2013-02-26,30.809999,31.08,29.790001,30.209999,30.209999,418300
26,2013-02-27,30.559999,30.700001,29.83,30.26,30.26,294400
27,2013-02-28,30.549999,31.08,30.030001,30.98,30.98,234900
28,2013-03-01,30.5,31.68,30.26,30.99,30.99,688200
29,2013-03-04,30.549999,31.25,30.26,30.450001,30.450001,274400
30,2013-03-05,30.120001,30.74,29.85,30.030001,30.030001,366000
31,2013-03-06,30.190001,30.4,29.85,30.02,30.02,153100
32,2013-03-07,29.85,30.42,29.85,30.290001,30.290001,306800
33,2013-03-08,30.98,30.98,29.120001,30.299999,30.299999,679300
34,2013-03-11,30.5,30.690001,29.99,30.66,30.66,316000
35,2013-03-12,30.33,31.0,30.33,30.85,30.85,770700
36,2013-03-13,30.93,31.0,30.48,30.780001,30.780001,321600
37,2013-03-14,30.73,30.959999,29.889999,30.0,30.0,785500
38,2013-03-15,29.6,30.09,29.549999,29.82,29.82,798700
39,2013-03-18,29.799999,30.620001,29.620001,30.290001,30.290001,389600
40,2013-03-19,30.290001,30.690001,29.780001,30.26,30.26,133500
41,2013-03-20,30.27,30.99,30.25,30.5,30.5,162900
42,2013-03-21,30.389999,30.75,29.93,30.030001,30.030001,96900
43,2013-03-22,30.030001,30.26,29.91,30.18,30.18,112800
44,2013-03-25,30.139999,30.16,29.309999,29.48,29.48,563200
45,2013-03-26,29.93,30.0,29.02,29.540001,29.540001,410900
46,2013-03-27,29.41,30.33,29.26,30.15,30.15,215400
47,2013-03-28,30.01,30.440001,29.43,29.65,29.65,2345700
48,2013-04-01,29.790001,29.950001,29.34,29.93,29.93,640100
49,2013-04-02,29.98,30.540001,29.18,29.92,29.92,639000
50,2013-04-03,29.82,30.389999,28.57,29.190001,29.190001,1083700
51,2013-04-04,29.1,29.360001,28.51,29.27,29.27,442000
52,2013-04-05,29.02,29.389999,28.59,29.299999,29.299999,334700
53,2013-04-08,29.41,30.16,29.120001,29.99,29.99,246200
54,2013-04-09,30.15,30.370001,29.450001,30.34,30.34,250200
55,2013-04-10,30.459999,30.950001,29.799999,30.530001,30.530001,265800
56,2013-04-11,30.33,30.870001,30.059999,30.639999,30.639999,112700
57,2013-04-12,30.51,30.85,29.76,30.5,30.5,115100
58,2013-04-15,30.41,30.52,29.940001,30.07,30.07,144300
59,2013-04-16,30.18,30.48,29.0,30.0,30.0,452000
60,2013-04-17,29.950001,29.950001,29.209999,29.549999,29.549999,224300
61,2013-04-18,29.65,29.85,29.33,29.34,29.34,175900
62,2013-04-19,29.52,29.52,28.860001,29.43,29.43,118400
63,2013-04-22,29.42,29.709999,29.01,29.379999,29.379999,210800
64,2013-04-23,29.51,29.790001,29.15,29.34,29.34,137100
65,2013-04-24,29.4,29.4,28.75,28.9,28.9,197100
66,2013-04-25,29.59,30.370001,29.1,30.059999,30.059999,1192700
67,2013-04-26,30.450001,30.450001,29.58,30.389999,30.389999,209200
68,2013-04-29,30.5,30.52,30.16,30.360001,30.360001,381700
69,2013-04-30,30.33,31.07,29.51,31.01,31.01,429700
70,2013-05-01,31.360001,31.370001,30.459999,31.09,31.09,408700
71,2013-05-02,31.15,31.799999,30.6,31.360001,31.360001,214900
72,2013-05-03,31.389999,32.0,31.299999,31.530001,31.530001,150700
73,2013-05-06,31.66,32.310001,30.48,31.82,31.82,866000
74,2013-05-07,31.9,32.93,31.01,31.66,31.66,833200
75,2013-05-08,31.82,32.07,31.379999,31.9,31.9,325300
76,2013-05-09,31.540001,32.080002,31.01,31.709999,31.709999,252300
77,2013-05-10,31.68,31.84,30.860001,31.01,31.01,274200
78,2013-05-13,31.059999,31.059999,29.91,30.459999,30.459999,289000
79,2013-05-14,30.6,30.790001,30.209999,30.76,30.76,491700
80,2013-05-15,30.629999,31.450001,30.549999,31.360001,31.360001,274600
81,2013-05-16,31.4,31.73,31.309999,31.42,31.42,339400
82,2013-05-17,31.190001,31.84,31.1,31.559999,31.559999,841300
83,2013-05-20,31.610001,32.439999,31.35,32.029999,32.029999,286400
84,2013-05-21,31.799999,32.34,31.690001,32.0,32.0,254500
85,2013-05-22,31.84,32.400002,30.959999,31.799999,31.799999,354900
