,Date,Open,High,Low,Close,Adj Close,Volume
0,2012-04-12,33.25,34.209999,32.0,34.0,23.451,654700
1,2012-04-13,34.0,37.450001,33.91,37.0,25.520205,1685000
2,2012-04-16,37.0,37.0,35.990002,36.549999,25.20982,550200
3,2012-04-17,36.400002,36.75,36.0,36.0,24.830473,179600
4,2012-04-18,36.0,36.439999,34.5,36.0,24.830473,207100
5,2012-04-19,36.0,37.220001,35.799999,36.0,24.830473,598100
6,2012-04-20,36.099998,37.0,36.099998,36.32,25.05118,149700
7,2012-04-23,36.240002,36.240002,35.419998,35.68,24.609762,95700
8,2012-04-24,36.0,36.0,34.68,34.75,23.968304,124500
9,2012-04-25,34.799999,35.5,34.5,34.75,23.968304,266200
10,2012-04-26,34.610001,34.990002,34.439999,34.950001,24.106251,183900
11,2012-04-27,35.25,35.25,33.970001,34.110001,23.526875,536000
12,2012-04-30,34.34,34.900002,34.0,34.049999,23.485489,4105700
13,2012-05-01,33.740002,34.099998,32.580002,32.759998,22.595732,6878600
14,2012-05-02,32.599998,32.669998,31.629999,32.0,22.071531,11287600
15,2012-05-03,31.93,31.98,31.049999,31.389999,21.650797,11800000
16,2012-05-04,30.85,31.09,30.120001,30.16,20.80242,10881000
17,2012-05-07,30.1,30.549999,29.25,29.35,20.243736,12257200
18,2012-05-08,29.09,30.41,28.75,30.1,20.761036,14601300
19,2012-05-09,29.809999,32.889999,29.73,32.490002,22.4095,13990000
20,2012-05-10,33.049999,33.349998,31.52,32.48,22.402609,8862000
21,2012-05-11,31.73,32.150002,31.4,31.83,21.954269,4460100
22,2012-05-14,31.190001,31.58,30.77,31.32,21.60251,6398200
23,2012-05-15,31.35,32.32,31.059999,31.67,21.843918,6362800
24,2012-05-16,31.459999,32.389999,31.25,32.099998,22.140501,6118600
25,2012-05-17,31.889999,32.0,31.200001,31.26,21.561129,5850500
26,2012-05-18,31.43,31.690001,30.99,31.379999,21.643894,7940800
27,2012-05-21,31.23,32.34,30.950001,32.189999,22.202583,5480100
28,2012-05-22,31.879999,32.27,31.33,31.629999,21.816328,5415000
29,2012-05-23,31.35,31.49,30.879999,31.41,21.664587,5268900
30,2012-05-24,31.42,31.440001,30.75,31.129999,21.471458,4210400
31,2012-05-25,31.01,31.41,30.83,31.299999,21.588718,3217900
32,2012-05-29,31.280001,31.719999,30.860001,31.01,21.388695,3979600
33,2012-05-30,30.790001,30.83,30.18,30.440001,20.995544,6000600
34,2012-05-31,30.26,30.35,29.719999,30.030001,20.712759,8098000
35,2012-06-01,29.5,30.17,29.379999,29.92,20.636881,5701700
36,2012-06-04,29.299999,30.190001,29.25,29.530001,20.367889,4844900
37,2012-06-05,29.370001,30.1,29.32,29.9,20.623093,4046500
38,2012-06-06,30.030001,32.0,29.82,31.530001,21.74736,8609400
39,2012-06-07,32.07,32.75,31.74,31.83,21.954269,7694300
40,2012-06-08,31.66,32.349998,31.51,32.119999,22.154295,4302100
41,2012-06-11,32.450001,33.049999,32.23,32.599998,22.485371,5999000
42,2012-06-12,32.560001,33.740002,32.490002,33.490002,23.099234,6809900
43,2012-06-13,33.27,33.490002,32.540001,32.77,22.602627,2876200
44,2012-06-14,32.77,33.639999,32.310001,33.529999,23.126825,4460000
45,2012-06-15,33.599998,34.91,33.380001,34.900002,24.071772,9892400
46,2012-06-18,34.380001,34.5,33.830002,33.860001,23.354439,4254400
47,2012-06-19,34.060001,34.529999,33.73,33.860001,23.354439,4873500
48,2012-06-20,33.790001,34.849998,33.48,34.66,23.906227,4628400
