,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-10-21,12.02,12.7,11.27,12.08,11.946075,6070400
1,2021-10-22,12.0,12.1,11.71,12.0,11.866962,851700
2,2021-10-25,12.01,12.69,12.0,12.5,12.36142,1119000
3,2021-10-26,12.5,12.7,12.01,12.49,12.35153,682200
4,2021-10-27,12.35,13.155,12.23,12.35,12.213082,330100
5,2021-10-28,12.42,12.58,12.1,12.21,12.074635,331400
6,2021-10-29,12.12,12.72,12.1,12.5,12.36142,384700
7,2021-11-01,12.39,12.72,12.0,12.15,12.0153,491600
8,2021-11-02,12.05,12.48,12.05,12.32,12.183414,93400
9,2021-11-03,12.18,12.65,12.07,12.25,12.114191,191500
10,2021-11-04,12.05,12.5,12.05,12.42,12.282306,121600
11,2021-11-05,12.22,12.6,12.22,12.5,12.36142,85800
12,2021-11-08,12.36,12.6,12.25,12.49,12.35153,267100
13,2021-11-09,12.32,12.6,12.31,12.57,12.430643,209400
14,2021-11-10,12.36,12.79,12.36,12.55,12.410865,334600
15,2021-11-11,12.31,12.75,12.13,12.65,12.509757,167000
16,2021-11-12,12.63,14.0,12.63,13.45,13.300887,563200
17,2021-11-15,13.85,14.67,13.69,13.99,13.834901,389700
18,2021-11-16,13.99,14.48,13.86,13.96,13.805233,284000
19,2021-11-17,14.01,14.273,13.8,13.96,13.805233,209200
20,2021-11-18,13.93,14.39,13.47,14.03,13.874455,372600
21,2021-11-19,13.91,14.245,13.61,13.95,13.795343,176900
22,2021-11-22,14.68,14.95,13.92,13.93,13.775567,329300
23,2021-11-23,13.9,13.9,12.9,13.23,13.083325,449800
24,2021-11-24,13.1,13.53,13.1,13.5,13.350332,75600
25,2021-11-26,13.32,13.37,13.127,13.27,13.122884,31700
26,2021-11-29,13.41,13.41,12.93,13.17,13.023992,274800
27,2021-11-30,13.22,13.8,13.05,13.77,13.61734,334600
28,2021-12-01,13.88,14.3,13.86,14.02,13.864569,298600
29,2021-12-02,14.18,14.38,13.91,14.35,14.190908,472100
