,Date,Open,High,Low,Close,Adj Close,Volume
0,1996-01-03,2.734375,2.75,2.585938,2.601563,1.677003,12528000
1,1996-01-04,2.609375,2.625,2.445313,2.492188,1.606499,21673600
2,1996-01-05,2.472656,2.617188,2.445313,2.59375,1.671967,22104000
3,1996-01-08,2.585938,2.625,2.546875,2.550781,1.644269,2376000
4,1996-01-09,2.570313,2.570313,2.367188,2.375,1.530958,21417600
5,1996-01-10,2.34375,2.523438,2.308594,2.390625,1.541029,31032000
6,1996-01-11,2.40625,2.539063,2.40625,2.515625,1.621605,15171200
7,1996-01-12,2.515625,2.539063,2.359375,2.375,1.530958,24736000
8,1996-01-15,2.390625,2.390625,2.21875,2.242188,1.445345,29424000
9,1996-01-16,2.265625,2.390625,2.234375,2.375,1.530958,26371200
10,1996-01-17,2.351563,2.539063,2.328125,2.515625,1.621605,31552000
11,1996-01-18,2.523438,2.554688,2.398438,2.539063,1.636715,23241600
12,1996-01-19,2.578125,2.71875,2.554688,2.6875,1.732399,37392000
13,1996-01-22,2.6875,2.757813,2.609375,2.726563,1.757581,22272000
14,1996-01-23,2.6875,2.828125,2.679688,2.773438,1.787795,35382400
15,1996-01-24,2.796875,2.929688,2.78125,2.867188,1.848228,26753600
16,1996-01-25,2.882813,2.890625,2.757813,2.796875,1.802904,20363200
17,1996-01-26,2.796875,2.804688,2.734375,2.75,1.772688,11142400
18,1996-01-29,2.742188,2.882813,2.742188,2.859375,1.843193,15560000
19,1996-01-30,2.851563,2.9375,2.789063,2.898438,1.868373,24436800
20,1996-01-31,2.890625,2.921875,2.773438,2.796875,1.802904,29036800
21,1996-02-01,2.796875,2.929688,2.734375,2.882813,1.858301,22739200
22,1996-02-02,2.984375,3.109375,2.960938,2.984375,1.92377,41913600
23,1996-02-05,3.046875,3.054688,2.960938,3.023438,1.948949,21379200
24,1996-02-06,3.03125,3.085938,3.007813,3.054688,1.969094,31539200
25,1996-02-07,3.03125,3.0625,2.96875,2.984375,1.92377,15115200
26,1996-02-08,2.984375,3.03125,2.953125,3.0,1.933842,16755200
27,1996-02-09,3.0,3.070313,2.984375,3.039063,1.959022,12729600
28,1996-02-12,3.023438,3.054688,2.953125,2.953125,1.903625,9035200
29,1996-02-13,2.890625,2.960938,2.875,2.890625,1.863336,15977600
30,1996-02-14,2.898438,2.945313,2.835938,2.90625,1.873408,13000000
31,1996-02-15,2.914063,2.96875,2.882813,2.9375,1.893552,9307200
32,1996-02-16,2.9375,2.976563,2.898438,2.960938,1.908661,8427200
33,1996-02-20,2.929688,2.9375,2.773438,2.804688,1.80794,19419200
34,1996-02-21,2.828125,2.929688,2.804688,2.882813,1.858301,15246400
35,1996-02-22,2.875,2.890625,2.703125,2.71875,1.752543,35987200
36,1996-02-23,2.742188,2.796875,2.648438,2.65625,1.712255,23536000
37,1996-02-26,2.664063,2.75,2.648438,2.726563,1.757581,17457600
38,1996-02-27,2.734375,2.75,2.695313,2.703125,1.74247,8784000
39,1996-02-28,2.6875,2.6875,2.5,2.523438,1.626643,37529600
40,1996-02-29,2.507813,2.507813,2.453125,2.464844,1.588872,26376000
41,1996-03-01,2.476563,2.515625,2.453125,2.5,1.611535,21459200
42,1996-03-04,2.523438,2.53125,2.492188,2.5,1.611535,7963200
43,1996-03-05,2.5,2.578125,2.46875,2.484375,1.601462,19587200
44,1996-03-06,2.507813,2.515625,2.414063,2.4375,1.571245,11872000
45,1996-03-07,2.445313,2.453125,2.351563,2.378906,1.533476,14608000
46,1996-03-08,2.34375,2.367188,2.242188,2.289063,1.475561,38542400
47,1996-03-11,2.296875,2.421875,2.289063,2.421875,1.561174,26214400
48,1996-03-12,2.398438,2.484375,2.296875,2.46875,1.591389,28897600
49,1996-03-13,2.53125,2.53125,2.390625,2.429688,1.56621,22216000
50,1996-03-14,2.4375,2.492188,2.351563,2.359375,1.520885,13638400
