,Date,Open,High,Low,Close,Adj Close,Volume
0,1996-01-04,4.28125,4.3125,4.1875,4.203125,3.775779,1351200
1,1996-01-05,4.1875,4.21875,4.15625,4.21875,3.789817,1267200
2,1996-01-08,4.21875,4.21875,4.15625,4.15625,3.73367,293600
3,1996-01-09,4.1875,4.1875,3.9375,4.015625,3.607343,824800
4,1996-01-10,3.96875,4.03125,3.96875,3.96875,3.565234,392800
5,1996-01-11,4.03125,4.125,4.03125,4.109375,3.691561,1433600
6,1996-01-12,4.15625,4.15625,4.0625,4.09375,3.677525,795200
7,1996-01-15,4.0625,4.09375,4.0625,4.078125,3.663489,1601600
8,1996-01-16,4.09375,4.125,4.03125,4.125,3.705598,993600
9,1996-01-17,4.0625,4.46875,4.03125,4.375,3.93018,3550400
10,1996-01-18,4.53125,4.59375,4.375,4.375,3.93018,1651200
11,1996-01-19,4.46875,4.46875,4.21875,4.265625,3.831924,948800
12,1996-01-22,4.3125,4.46875,4.21875,4.46875,4.014397,1376000
13,1996-01-23,4.46875,4.5625,4.375,4.515625,4.056506,1913600
14,1996-01-24,4.46875,4.53125,4.4375,4.453125,4.00036,573600
15,1996-01-25,4.5,4.5,4.40625,4.46875,4.014397,392000
16,1996-01-26,4.46875,4.53125,4.4375,4.4375,3.986325,439200
17,1996-01-29,4.4375,4.53125,4.4375,4.5,4.042469,518400
18,1996-01-30,4.46875,4.65625,4.46875,4.65625,4.182834,715200
19,1996-01-31,4.71875,4.75,4.59375,4.65625,4.182834,1452000
20,1996-02-01,4.65625,4.65625,4.5625,4.59375,4.126688,243200
21,1996-02-02,4.65625,4.65625,4.53125,4.53125,4.070543,217600
22,1996-02-05,4.59375,4.59375,4.5,4.5,4.042469,195200
23,1996-02-06,4.5,4.5625,4.4375,4.53125,4.070543,753600
24,1996-02-07,4.53125,4.71875,4.53125,4.6875,4.210906,1792800
25,1996-02-08,4.6875,4.6875,4.5625,4.625,4.154762,1485600
26,1996-02-09,4.53125,4.625,4.53125,4.625,4.154762,2449600
27,1996-02-12,4.625,4.625,4.53125,4.5625,4.098616,547200
28,1996-02-13,4.59375,4.65625,4.40625,4.46875,4.014397,1354400
29,1996-02-14,4.5,4.53125,4.40625,4.4375,3.986325,696000
30,1996-02-15,4.4375,4.46875,4.3125,4.40625,3.958252,968000
31,1996-02-16,4.34375,4.40625,4.3125,4.40625,3.958252,432800
32,1996-02-20,4.34375,4.375,4.28125,4.3125,3.874034,256800
33,1996-02-21,4.3125,4.5,4.3125,4.40625,3.958252,1849600
34,1996-02-22,4.46875,4.554688,4.40625,4.546875,4.084579,883200
35,1996-02-23,4.59375,4.59375,4.5,4.5625,4.098616,511200
36,1996-02-26,4.5,4.5625,4.46875,4.5,4.042469,599200
37,1996-02-27,4.53125,4.65625,4.46875,4.5625,4.098616,1725600
38,1996-02-28,4.625,4.875,4.5625,4.84375,4.351271,2312800
39,1996-02-29,4.8125,4.84375,4.75,4.75,4.267052,1038400
40,1996-03-01,4.84375,4.84375,4.65625,4.65625,4.182834,539200
41,1996-03-04,4.75,4.84375,4.65625,4.78125,4.295123,879200
42,1996-03-05,4.75,4.90625,4.75,4.875,4.379342,1094400
43,1996-03-06,4.875,4.875,4.78125,4.78125,4.295123,1000800
44,1996-03-07,4.78125,4.84375,4.65625,4.65625,4.182834,322400
45,1996-03-08,4.65625,4.71875,4.59375,4.65625,4.182834,588000
46,1996-03-11,4.625,4.71875,4.59375,4.71875,4.238979,363200
47,1996-03-12,4.6875,4.6875,4.59375,4.625,4.154762,494400
48,1996-03-13,4.6875,4.6875,4.625,4.65625,4.182834,107200
49,1996-03-14,4.625,4.71875,4.625,4.65625,4.182834,238400
50,1996-03-15,4.65625,4.8125,4.65625,4.75,4.267052,1724800
51,1996-03-18,4.75,4.796875,4.75,4.78125,4.295123,971200
52,1996-03-19,4.75,4.78125,4.71875,4.71875,4.238979,220000
53,1996-03-20,4.71875,4.734375,4.6875,4.71875,4.238979,760000
54,1996-03-21,4.6875,4.75,4.6875,4.703125,4.224943,93600
55,1996-03-22,4.6875,4.75,4.5625,4.5625,4.098616,699200
56,1996-03-25,4.625,4.625,4.5,4.507813,4.049489,716800
57,1996-03-26,4.5,4.65625,4.46875,4.625,4.154762,1487200
58,1996-03-27,4.59375,4.71875,4.59375,4.671875,4.19687,1295200
59,1996-03-28,4.65625,4.9375,4.65625,4.9375,4.435488,2196800
60,1996-03-29,4.90625,4.9375,4.78125,4.84375,4.351271,576800
61,1996-04-01,4.84375,4.875,4.5625,4.578125,4.112652,1512800
62,1996-04-02,4.625,4.71875,4.5625,4.6875,4.210906,1332800
63,1996-04-03,4.6875,4.71875,4.65625,4.6875,4.210906,118400
64,1996-04-04,4.65625,4.71875,4.65625,4.65625,4.182834,3883200
65,1996-04-08,4.5625,4.59375,4.5,4.5625,4.098616,624000
66,1996-04-09,4.59375,4.625,4.5625,4.609375,4.140724,112000
67,1996-04-10,4.59375,4.625,4.5625,4.5625,4.098616,104000
68,1996-04-11,4.625,4.625,4.5,4.53125,4.070543,872000
69,1996-04-12,4.5,4.5625,4.5,4.5,4.042469,466400
70,1996-04-15,4.5,4.5625,4.46875,4.5,4.042469,719200
71,1996-04-16,4.53125,4.53125,4.4375,4.4375,3.986325,298400
72,1996-04-17,4.46875,4.46875,4.40625,4.421875,3.972289,503200
73,1996-04-18,4.40625,4.46875,4.375,4.375,3.93018,664000
74,1996-04-19,4.375,4.4375,4.3125,4.375,3.93018,1256000
75,1996-04-22,4.375,4.53125,4.34375,4.484375,4.028435,3732000
76,1996-04-23,4.46875,4.5625,4.46875,4.5,4.042469,548800
77,1996-04-24,4.53125,4.5625,4.46875,4.5,4.042469,350400
78,1996-04-25,4.5,4.5625,4.46875,4.5,4.042469,344800
79,1996-04-26,4.5625,4.5625,4.5,4.5625,4.098616,861600
80,1996-04-29,3.597656,3.90625,3.375,3.71875,3.340653,22568000
81,1996-04-30,3.71875,3.84375,3.6875,3.796875,3.410834,5620800
82,1996-05-01,3.84375,3.90625,3.75,3.75,3.368726,1988800
83,1996-05-02,3.8125,3.8125,3.65625,3.71875,3.340653,2740800
84,1996-05-03,3.78125,3.84375,3.71875,3.78125,3.396798,1079200
85,1996-05-06,3.78125,3.78125,3.71875,3.78125,3.396798,1691200
86,1996-05-07,3.71875,3.78125,3.65625,3.6875,3.31258,1427200
87,1996-05-08,3.65625,3.65625,3.59375,3.625,3.256434,540000
88,1996-05-09,3.65625,3.65625,3.5625,3.625,3.256434,772800
89,1996-05-10,3.65625,3.65625,3.53125,3.59375,3.228362,536800
90,1996-05-13,3.59375,3.59375,3.40625,3.5,3.144144,4987200
91,1996-05-14,3.5625,3.5625,3.46875,3.515625,3.15818,2215200
92,1996-05-15,3.53125,3.53125,3.46875,3.53125,3.172217,3806400
93,1996-05-16,3.53125,3.5625,3.46875,3.546875,3.186252,2198400
94,1996-05-17,3.53125,3.53125,3.484375,3.53125,3.172217,5166400
95,1996-05-20,3.53125,3.65625,3.46875,3.59375,3.228362,1525600
96,1996-05-21,3.65625,3.71875,3.625,3.6875,3.31258,1656800
97,1996-05-22,3.6875,3.8125,3.65625,3.734375,3.354688,5329600
98,1996-05-23,3.75,3.78125,3.71875,3.75,3.368726,2492000
99,1996-05-24,3.78125,3.78125,3.71875,3.75,3.368726,458400
