,Date,Open,High,Low,Close,Adj Close,Volume
0,1996-01-03,6.03125,6.09375,6.0,6.0625,3.238845,3209600
1,1996-01-04,6.09375,6.09375,5.9375,5.953125,3.180413,2800000
2,1996-01-05,5.90625,5.96875,5.84375,5.90625,3.155371,2819200
3,1996-01-08,5.9375,5.9375,5.875,5.9375,3.172067,513600
4,1996-01-09,5.9375,5.9375,5.84375,5.875,3.138675,602400
5,1996-01-10,5.78125,5.8125,5.4375,5.5,2.938335,1149600
6,1996-01-11,5.53125,5.59375,5.4375,5.4375,2.904945,2075200
7,1996-01-12,5.5,5.5,5.4375,5.484375,2.929987,1907200
8,1996-01-15,5.5,5.53125,5.4375,5.445313,2.909118,1070400
9,1996-01-16,5.4375,5.53125,5.34375,5.40625,2.888251,1688000
10,1996-01-17,5.40625,5.8125,5.328125,5.75,3.071895,3400000
11,1996-01-18,5.75,5.75,5.625,5.6875,3.038505,2513600
12,1996-01-19,5.6875,5.828125,5.6875,5.71875,3.055199,3875200
13,1996-01-22,5.75,5.765625,5.703125,5.71875,3.055199,377600
14,1996-01-23,5.78125,5.84375,5.71875,5.8125,3.105286,512000
15,1996-01-24,5.84375,5.84375,5.78125,5.84375,3.121981,597600
16,1996-01-25,5.84375,5.875,5.78125,5.875,3.138675,4139200
17,1996-01-26,5.875,6.46875,5.8125,6.390625,3.414145,4064800
18,1996-01-29,6.375,6.375,6.21875,6.21875,3.32232,1145600
19,1996-01-30,6.28125,6.5,6.25,6.421875,3.43084,1806400
20,1996-01-31,6.40625,6.8125,6.34375,6.75,3.606139,2500800
21,1996-02-01,6.78125,6.875,6.703125,6.75,3.606139,1238400
22,1996-02-02,6.625,6.6875,6.46875,6.5,3.472576,716800
23,1996-02-05,6.5,6.53125,6.46875,6.53125,3.48927,432800
24,1996-02-06,6.5625,6.5625,6.46875,6.5,3.472576,223200
25,1996-02-07,6.46875,6.53125,6.375,6.375,3.405796,964800
26,1996-02-08,6.40625,6.71875,6.40625,6.59375,3.522662,1817600
27,1996-02-09,6.65625,6.6875,6.59375,6.640625,3.547704,738400
28,1996-02-12,6.65625,6.71875,6.59375,6.625,3.539359,901600
29,1996-02-13,6.5625,6.5625,6.40625,6.46875,3.455881,464000
30,1996-02-14,6.46875,6.46875,6.15625,6.3125,3.372405,870400
31,1996-02-15,6.3125,6.59375,6.28125,6.5625,3.505967,1603200
32,1996-02-16,6.5,6.65625,6.5,6.625,3.539359,756800
33,1996-02-20,6.59375,6.84375,6.59375,6.71875,3.589442,1111200
34,1996-02-21,6.71875,6.75,6.71875,6.75,3.606139,454400
35,1996-02-22,6.78125,6.8125,6.6875,6.78125,3.622832,2280800
36,1996-02-23,6.8125,6.96875,6.75,6.78125,3.622832,1195200
37,1996-02-26,6.75,6.8125,6.71875,6.78125,3.622832,1127200
38,1996-02-27,6.75,6.8125,6.75,6.765625,3.614488,444800
39,1996-02-28,6.75,6.8125,6.71875,6.78125,3.622832,836000
40,1996-02-29,6.75,6.75,6.6875,6.71875,3.589442,494400
41,1996-03-01,6.78125,6.78125,6.6875,6.6875,3.572749,457600
42,1996-03-04,6.6875,6.75,6.6875,6.71875,3.589442,562400
43,1996-03-05,6.71875,6.75,6.65625,6.71875,3.589442,267200
44,1996-03-06,6.71875,6.71875,6.65625,6.65625,3.556053,1391200
45,1996-03-07,7.03125,7.25,6.96875,7.046875,3.764741,4557600
46,1996-03-08,6.90625,7.3125,6.871094,7.09375,3.789784,5274400
47,1996-03-11,7.09375,7.25,7.0,7.171875,3.83152,1942400
48,1996-03-12,7.1875,7.1875,7.0,7.046875,3.764741,1932800
49,1996-03-13,7.03125,7.0625,6.75,6.8125,3.639527,2181600
50,1996-03-14,6.84375,6.9375,6.8125,6.8125,3.639527,999200
51,1996-03-15,6.8125,6.84375,6.65625,6.6875,3.572749,679200
52,1996-03-18,6.59375,6.65625,6.5,6.65625,3.556053,1100000
