,Date,Open,High,Low,Close,Adj Close,Volume
0,1996-01-03,6.597222,6.597222,6.583333,6.597222,2.921708,324000
1,1996-01-04,6.513889,6.513889,6.388889,6.388889,2.829445,1030500
2,1996-01-05,6.375,6.444444,6.375,6.430556,2.847897,199800
3,1996-01-08,6.430556,6.430556,6.416667,6.416667,2.841747,39600
4,1996-01-09,6.388889,6.388889,6.236111,6.333333,2.80484,550800
5,1996-01-10,6.305556,6.305556,6.236111,6.277778,2.780237,495000
6,1996-01-11,6.291667,6.347222,6.277778,6.347222,2.81099,1308600
7,1996-01-12,6.319444,6.361111,6.305556,6.319444,2.798691,415800
8,1996-01-15,6.347222,6.347222,6.319444,6.333333,2.80484,217800
9,1996-01-16,6.319444,6.416667,6.319444,6.319444,2.798691,385200
10,1996-01-17,6.333333,6.388889,6.333333,6.388889,2.829445,311400
11,1996-01-18,6.375,6.458333,6.375,6.458333,2.8602,203400
12,1996-01-19,6.430556,6.555556,6.430556,6.555556,2.903255,270000
13,1996-01-22,6.555556,6.555556,6.527778,6.541667,2.897107,79200
14,1996-01-23,6.527778,6.583333,6.527778,6.569444,2.909408,426600
15,1996-01-24,6.583333,6.708333,6.583333,6.708333,2.970917,218700
16,1996-01-25,6.708333,6.777778,6.638889,6.736111,2.983217,216900
17,1996-01-26,6.736111,6.819444,6.736111,6.819444,3.020125,466200
18,1996-01-29,6.847222,6.902778,6.833333,6.847222,3.032426,642600
19,1996-01-30,6.847222,7.041667,6.847222,7.013889,3.106238,333000
20,1996-01-31,6.986111,7.0,6.930556,6.944444,3.075482,392400
21,1996-02-01,6.972222,7.0,6.944444,6.944444,3.075482,132300
22,1996-02-02,6.930556,7.055556,6.930556,6.972222,3.087785,101700
23,1996-02-05,6.986111,7.027778,6.958333,7.027778,3.112391,82800
24,1996-02-06,7.027778,7.166667,7.027778,7.097222,3.143143,282600
25,1996-02-07,7.111111,7.111111,7.055556,7.055556,3.124692,61200
26,1996-02-08,7.069444,7.138889,7.041667,7.111111,3.149296,242100
27,1996-02-09,7.125,7.152778,7.111111,7.125,3.155445,304200
28,1996-02-12,7.097222,7.166667,7.097222,7.138889,3.161596,196200
29,1996-02-13,7.152778,7.166667,7.152778,7.166667,3.173897,81900
30,1996-02-14,7.166667,7.208333,7.166667,7.180556,3.180052,512100
31,1996-02-15,7.152778,7.208333,7.138889,7.180556,3.180052,591300
32,1996-02-16,7.180556,7.194444,7.152778,7.166667,3.173897,330300
33,1996-02-20,7.138889,7.194444,7.041667,7.194444,3.186199,446400
34,1996-02-21,7.166667,7.291667,7.166667,7.291667,3.229258,361800
35,1996-02-22,7.277778,7.402778,7.25,7.375,3.266163,569700
36,1996-02-23,7.347222,7.375,7.236111,7.333333,3.247709,202500
37,1996-02-26,7.319444,7.319444,7.222222,7.222222,3.198503,377100
38,1996-02-27,7.222222,7.25,7.180556,7.194444,3.186199,320400
39,1996-02-28,7.194444,7.222222,7.125,7.125,3.155445,455400
40,1996-02-29,7.111111,7.111111,7.0,7.0,3.100087,342000
41,1996-03-01,7.027778,7.041667,6.958333,6.972222,3.087785,858600
42,1996-03-04,6.972222,7.097222,6.972222,7.083333,3.136993,245700
43,1996-03-05,7.097222,7.097222,7.069444,7.069444,3.130841,569700
44,1996-03-06,7.097222,7.097222,7.055556,7.083333,3.136993,241200
45,1996-03-07,7.055556,7.097222,7.041667,7.083333,3.136993,110700
46,1996-03-08,7.041667,7.041667,6.875,6.888889,3.050879,273600
47,1996-03-11,6.805556,6.888889,6.805556,6.861111,3.038577,341100
48,1996-03-12,6.847222,6.888889,6.833333,6.875,3.044728,568800
49,1996-03-13,6.902778,6.902778,6.847222,6.861111,3.038577,322200
50,1996-03-14,6.861111,6.902778,6.861111,6.861111,3.038577,531900
51,1996-03-15,6.861111,6.875,6.833333,6.847222,3.032426,244800
52,1996-03-18,6.875,7.055556,6.875,7.055556,3.124692,211500
53,1996-03-19,7.041667,7.041667,6.958333,6.972222,3.087785,117000
54,1996-03-20,7.0,7.138889,6.972222,7.125,3.155445,152100
55,1996-03-21,7.138889,7.222222,7.138889,7.208333,3.192351,282600
56,1996-03-22,7.222222,7.263889,7.208333,7.236111,3.204654,108900
57,1996-03-25,7.208333,7.25,7.194444,7.25,3.210804,181800
58,1996-03-26,7.263889,7.263889,7.208333,7.236111,3.204654,77400
59,1996-03-27,7.166667,7.180556,7.152778,7.152778,3.190775,58500
60,1996-03-28,7.138889,7.194444,7.125,7.194444,3.209362,147600
61,1996-03-29,7.166667,7.236111,7.138889,7.166667,3.19697,205200
62,1996-04-01,7.152778,7.305556,7.152778,7.305556,3.258928,172800
63,1996-04-02,7.305556,7.319444,7.208333,7.236111,3.22795,140400
64,1996-04-03,7.263889,7.263889,7.222222,7.25,3.234146,27000
65,1996-04-04,7.222222,7.222222,7.166667,7.180556,3.203168,106200
