,Date,Open,High,Low,Close,Adj Close,Volume
0,1996-01-03,6.179379,6.223517,6.149953,6.1757,3.047158,3367814
1,1996-01-04,6.179379,6.208804,6.149953,6.179379,3.048974,1084090
2,1996-01-05,6.164666,6.179379,6.120527,6.13524,3.027195,973642
3,1996-01-08,6.120527,6.13524,6.105815,6.105815,3.012676,281218
4,1996-01-09,6.105815,6.105815,6.002825,6.03225,2.976379,1746778
5,1996-01-10,6.002825,6.061676,5.988112,6.03225,2.976379,1554768
6,1996-01-11,6.002825,6.017538,5.929261,6.002825,2.96186,805421
7,1996-01-12,6.002825,6.046963,5.855697,5.929261,2.925563,1818144
8,1996-01-15,5.943974,5.988112,5.914548,5.914548,2.918304,679680
9,1996-01-16,5.87041,5.899835,5.826271,5.885122,2.903785,1982966
10,1996-01-17,5.885122,5.885122,5.708569,5.723282,2.823931,1133366
11,1996-01-18,5.752707,5.782133,5.605579,5.782133,2.852968,1199635
12,1996-01-19,5.737994,5.914548,5.737994,5.87041,2.896525,1418832
13,1996-01-22,5.87041,5.885122,5.811558,5.840984,2.882007,897178
14,1996-01-23,5.826271,5.826271,5.66443,5.723282,2.823931,931162
15,1996-01-24,5.723282,5.885122,5.693856,5.87041,2.896525,3614198
16,1996-01-25,5.87041,5.87041,5.811558,5.826271,2.874745,1040760
17,1996-01-26,5.826271,5.943974,5.811558,5.943974,2.932822,910771
18,1996-01-29,5.943974,6.046963,5.840984,5.87041,2.896525,696672
19,1996-01-30,5.87041,5.885122,5.723282,5.796846,2.860229,1407787
20,1996-01-31,5.855697,5.973399,5.826271,5.943974,2.932822,858946
21,1996-02-01,5.914548,5.943974,5.899835,5.914548,2.918304,2019499
22,1996-02-02,5.914548,5.973399,5.885122,5.885122,2.903785,773986
23,1996-02-05,5.855697,5.899835,5.782133,5.899835,2.911043,587923
24,1996-02-06,5.885122,6.105815,5.87041,6.091102,3.005417,634651
25,1996-02-07,6.061676,6.164666,6.002825,6.076389,2.998157,982138
26,1996-02-08,6.03225,6.13524,5.973399,6.120527,3.019935,490219
27,1996-02-09,6.091102,6.164666,6.03225,6.13524,3.027195,524203
28,1996-02-12,6.120527,6.164666,6.091102,6.13524,3.027195,652493
29,1996-02-13,6.13524,6.252943,6.120527,6.252943,3.08527,1677960
30,1996-02-14,6.223517,6.23823,6.164666,6.179379,3.048974,468130
31,1996-02-15,6.179379,6.252943,6.13524,6.164666,3.041714,1237018
32,1996-02-16,6.149953,6.179379,6.120527,6.164666,3.041714,657590
33,1996-02-20,6.105815,6.164666,6.105815,6.164666,3.041714,1049256
34,1996-02-21,6.149953,6.208804,6.149953,6.194091,3.056233,1406088
35,1996-02-22,6.194091,6.297081,6.179379,6.23823,3.07801,1320278
36,1996-02-23,6.252943,6.297081,6.223517,6.297081,3.10705,681379
