,Date,Open,High,Low,Close,Adj Close,Volume
0,1996-01-03,5.71298,5.741545,5.684415,5.71298,2.113923,370210
1,1996-01-04,5.71298,5.798675,5.71298,5.77011,2.135063,225364
2,1996-01-05,5.741545,5.798675,5.71298,5.71298,2.113923,224489
3,1996-01-08,5.71298,5.741545,5.684415,5.741545,2.124492,299318
4,1996-01-09,5.71298,5.71298,5.65585,5.684415,2.103353,719852
5,1996-01-10,5.65585,5.65585,5.54159,5.54159,2.050503,291879
6,1996-01-11,5.513026,5.570155,5.484461,5.513026,2.039935,272187
7,1996-01-12,5.513026,5.513026,5.398766,5.427331,2.008225,217925
8,1996-01-15,5.455896,5.455896,5.313071,5.341636,1.976517,399966
9,1996-01-16,5.198812,5.198812,5.055987,5.141682,1.90253,525995
10,1996-01-17,5.141682,5.227377,5.113117,5.198812,1.923669,353581
11,1996-01-18,5.198812,5.255941,5.170247,5.255941,1.944808,93646
12,1996-01-19,5.255941,5.255941,5.198812,5.227377,1.934239,300194
13,1996-01-22,5.255941,5.341636,5.255941,5.313071,1.965947,275688
14,1996-01-23,5.313071,5.313071,5.198812,5.284506,1.955378,597762
15,1996-01-24,5.284506,5.398766,5.284506,5.313071,1.965947,177228
16,1996-01-25,5.341636,5.398766,5.341636,5.370201,1.987087,206110
17,1996-01-26,5.341636,5.484461,5.341636,5.484461,2.029365,245494
18,1996-01-29,5.455896,5.484461,5.427331,5.455896,2.018797,532559
19,1996-01-30,5.455896,5.627285,5.455896,5.59872,2.071644,310696
20,1996-01-31,5.65585,5.684415,5.627285,5.65585,2.092783,546562
21,1996-02-01,5.71298,5.927217,5.71298,5.912934,2.18791,1713642
22,1996-02-02,5.912934,6.055759,5.912934,5.998629,2.219619,719852
23,1996-02-05,6.027194,6.027194,5.77011,5.77011,2.135063,594261
24,1996-02-06,5.77011,5.77011,5.71298,5.71298,2.113923,439350
25,1996-02-07,5.65585,5.684415,5.627285,5.627285,2.093098,712413
26,1996-02-08,5.65585,5.71298,5.627285,5.65585,2.103722,1689136
27,1996-02-09,5.65585,5.798675,5.65585,5.798675,2.156847,404342
28,1996-02-12,5.798675,5.855804,5.741545,5.741545,2.135597,196920
29,1996-02-13,5.71298,5.741545,5.684415,5.741545,2.135597,314634
30,1996-02-14,5.71298,5.71298,5.570155,5.570155,2.071848,772364
31,1996-02-15,5.570155,5.59872,5.54159,5.59872,2.082472,594261
32,1996-02-16,5.65585,5.684415,5.513026,5.513026,2.050598,424472
33,1996-02-20,5.513026,5.59872,5.513026,5.54159,2.061222,493613
34,1996-02-21,5.54159,5.684415,5.54159,5.684415,2.114348,181166
35,1996-02-22,5.684415,5.798675,5.684415,5.71298,2.124973,813936
36,1996-02-23,5.741545,5.77011,5.59872,5.627285,2.093098,704098
37,1996-02-26,5.627285,5.627285,5.513026,5.513026,2.050598,174602
38,1996-02-27,5.513026,5.54159,5.455896,5.484461,2.039973,293192
39,1996-02-28,5.513026,5.570155,5.455896,5.455896,2.029349,144408
40,1996-02-29,5.513026,5.513026,5.370201,5.398766,2.008099,286190
41,1996-03-01,5.455896,5.455896,5.370201,5.427331,2.018724,262998
42,1996-03-04,5.455896,5.54159,5.427331,5.54159,2.061222,388151
43,1996-03-05,5.570155,5.570155,5.513026,5.513026,2.050598,262998
44,1996-03-06,5.513026,5.513026,5.455896,5.455896,2.029349,238930
45,1996-03-07,5.455896,5.484461,5.427331,5.484461,2.039973,73079
46,1996-03-08,5.427331,5.484461,5.341636,5.370201,1.997473,782866
47,1996-03-11,5.341636,5.398766,5.284506,5.370201,1.997473,591635
48,1996-03-12,5.398766,5.455896,5.398766,5.455896,2.029349,222738
49,1996-03-13,5.513026,5.65585,5.455896,5.65585,2.103722,465169
50,1996-03-14,5.627285,5.684415,5.627285,5.65585,2.103722,161912
51,1996-03-15,5.65585,5.684415,5.627285,5.65585,2.103722,321198
52,1996-03-18,5.627285,5.71298,5.627285,5.71298,2.124973,473046
53,1996-03-19,5.71298,5.71298,5.570155,5.59872,2.082472,613078
54,1996-03-20,5.59872,5.59872,5.54159,5.570155,2.071848,268686
55,1996-03-21,5.570155,5.570155,5.484461,5.54159,2.061222,599950
56,1996-03-22,5.570155,5.570155,5.54159,5.54159,2.061222,56888
57,1996-03-25,5.570155,5.59872,5.54159,5.59872,2.082472,107212
58,1996-03-26,5.54159,5.627285,5.54159,5.59872,2.082472,238054
59,1996-03-27,5.627285,5.627285,5.570155,5.59872,2.082472,548750
60,1996-03-28,5.59872,5.627285,5.570155,5.627285,2.093098,219238
61,1996-03-29,5.627285,5.65585,5.59872,5.627285,2.093098,222301
62,1996-04-01,5.684415,5.684415,5.59872,5.59872,2.082472,338265
63,1996-04-02,5.59872,5.77011,5.59872,5.741545,2.135597,644585
64,1996-04-03,5.741545,5.77011,5.71298,5.71298,2.124973,222301
65,1996-04-04,5.77011,5.77011,5.684415,5.741545,2.135597,148784
66,1996-04-08,5.741545,5.741545,5.627285,5.65585,2.103722,302382
67,1996-04-09,5.684415,5.741545,5.684415,5.741545,2.135597,394715
68,1996-04-10,5.741545,5.741545,5.71298,5.71298,2.124973,105899
69,1996-04-11,5.71298,5.77011,5.71298,5.77011,2.146223,288816
70,1996-04-12,5.77011,5.77011,5.71298,5.71298,2.124973,119465
71,1996-04-15,5.741545,5.884369,5.741545,5.884369,2.188721,543499
72,1996-04-16,5.884369,5.912934,5.855804,5.855804,2.178097,629706
73,1996-04-17,5.998629,6.027194,5.970064,6.027194,2.241845,919835
74,1996-04-18,6.027194,6.027194,5.970064,5.998629,2.231221,464731
75,1996-04-19,5.998629,6.112888,5.970064,6.084324,2.263095,369772
76,1996-04-22,6.084324,6.198583,6.084324,6.141453,2.284345,1722831
77,1996-04-23,6.141453,6.427102,6.141453,6.369973,2.369344,938652
78,1996-04-24,6.398537,6.512797,6.398537,6.398537,2.379968,1679071
79,1996-04-25,6.369973,6.455667,6.341408,6.455667,2.401218,560128
80,1996-04-26,6.427102,6.484232,6.398537,6.484232,2.411843,587259
81,1996-04-29,6.455667,6.598492,6.455667,6.598492,2.454343,684406
82,1996-04-30,6.598492,6.598492,6.541362,6.598492,2.454343,853320
83,1996-05-01,6.598492,6.598492,6.369973,6.369973,2.369344,810873
84,1996-05-02,6.369973,6.398537,6.255713,6.312843,2.348095,383775
85,1996-05-03,6.341408,6.341408,6.255713,6.284278,2.337469,234116
86,1996-05-06,6.255713,6.312843,6.255713,6.284278,2.337469,213549
87,1996-05-07,6.284278,6.284278,6.227148,6.227148,2.316219,283565
88,1996-05-08,6.198583,6.198583,6.027194,6.084324,2.273944,405655
89,1996-05-09,6.112888,6.398537,6.084324,6.398537,2.391376,356644
90,1996-05-10,6.398537,6.455667,6.369973,6.455667,2.412728,419658
91,1996-05-13,6.427102,6.455667,6.398537,6.455667,2.412728,418346
92,1996-05-14,6.455667,6.541362,6.427102,6.484232,2.423404,522932
93,1996-05-15,6.484232,6.484232,6.369973,6.398537,2.391376,257309
94,1996-05-16,6.398537,6.541362,6.398537,6.512797,2.434079,342641
95,1996-05-17,6.512797,6.569927,6.512797,6.541362,2.444756,269124
96,1996-05-20,6.541362,6.627057,6.541362,6.598492,2.466107,315947
97,1996-05-21,6.569927,6.569927,6.484232,6.512797,2.434079,155348
98,1996-05-22,6.512797,6.569927,6.455667,6.569927,2.455431,191669
99,1996-05-23,6.598492,6.627057,6.569927,6.569927,2.455431,244181
100,1996-05-24,6.598492,6.598492,6.512797,6.512797,2.434079,236742
101,1996-05-28,6.512797,6.541362,6.341408,6.341408,2.370024,361895
102,1996-05-29,6.341408,6.369973,6.312843,6.312843,2.35935,102398
103,1996-05-30,6.312843,6.341408,6.255713,6.312843,2.35935,154910
104,1996-05-31,6.312843,6.341408,6.284278,6.284278,2.348674,163662
105,1996-06-03,6.284278,6.312843,6.284278,6.284278,2.348674,163662
106,1996-06-04,6.284278,6.312843,6.255713,6.255713,2.337999,149222
107,1996-06-05,6.284278,6.284278,6.227148,6.255713,2.337999,484423
108,1996-06-06,6.255713,6.284278,6.227148,6.284278,2.348674,241993
109,1996-06-07,6.284278,6.284278,6.227148,6.227148,2.327322,383338
110,1996-06-10,6.227148,6.227148,6.084324,6.141453,2.295295,174602
111,1996-06-11,6.141453,6.141453,6.084324,6.084324,2.273944,190794
112,1996-06-12,6.084324,6.084324,6.027194,6.084324,2.273944,162350
113,1996-06-13,6.141453,6.170018,6.084324,6.084324,2.273944,90583
114,1996-06-14,6.084324,6.112888,6.027194,6.027194,2.252591,766238
115,1996-06-17,5.998629,6.055759,5.998629,6.055759,2.263268,122090
116,1996-06-18,6.055759,6.084324,6.027194,6.055759,2.263268,417470
117,1996-06-19,6.055759,6.055759,5.970064,5.970064,2.231241,371085
118,1996-06-20,5.998629,6.027194,5.970064,5.970064,2.231241,161912
119,1996-06-21,5.884369,5.884369,5.798675,5.827239,2.177861,607826
120,1996-06-24,5.941499,5.941499,5.827239,5.827239,2.177861,450728
121,1996-06-25,5.827239,5.827239,5.71298,5.77011,2.156511,554877
122,1996-06-26,5.77011,5.827239,5.741545,5.798675,2.167186,501927
123,1996-06-27,5.798675,5.798675,5.741545,5.798675,2.167186,231053
124,1996-06-28,5.798675,5.827239,5.684415,5.71298,2.135158,602575
125,1996-07-01,5.77011,5.827239,5.741545,5.827239,2.177861,319448
126,1996-07-02,5.827239,5.827239,5.65585,5.71298,2.135158,443726
127,1996-07-03,5.71298,5.71298,5.484461,5.570155,2.081779,661651
128,1996-07-05,5.513026,5.54159,5.513026,5.54159,2.071102,184667
129,1996-07-08,5.484461,5.513026,5.427331,5.455896,2.039076,570193
130,1996-07-09,5.455896,5.484461,5.427331,5.427331,2.0284,473046
131,1996-07-10,5.455896,5.455896,5.341636,5.341636,1.996372,535622
132,1996-07-11,5.370201,5.370201,5.313071,5.313071,1.985697,711100
133,1996-07-12,5.341636,5.398766,5.341636,5.398766,2.017724,622705
134,1996-07-15,5.455896,5.54159,5.427331,5.455896,2.039076,398654
135,1996-07-16,5.427331,5.427331,5.284506,5.284506,1.975021,1125507
136,1996-07-17,5.313071,5.341636,5.255941,5.313071,1.985697,318573
137,1996-07-18,5.313071,5.313071,5.227377,5.255941,1.964345,319886
138,1996-07-19,5.227377,5.255941,5.027422,5.055987,1.889614,511554
139,1996-07-22,5.055987,5.055987,4.970293,4.998857,1.868263,650274
140,1996-07-23,4.998857,5.027422,4.856033,4.856033,1.814885,490112
141,1996-07-24,4.798903,4.827468,4.684644,4.770338,1.782857,501490
142,1996-07-25,4.827468,4.827468,4.656079,4.656079,1.740154,311571
143,1996-07-26,4.656079,4.713208,4.627514,4.713208,1.761506,333451
144,1996-07-29,4.741773,4.741773,4.684644,4.741773,1.772181,590760
145,1996-07-30,4.741773,4.741773,4.656079,4.684644,1.75083,971034
146,1996-07-31,4.684644,4.713208,4.684644,4.713208,1.761506,334764
147,1996-08-01,4.713208,4.741773,4.684644,4.741773,1.772181,956156
148,1996-08-02,4.741773,4.770338,4.713208,4.770338,1.782857,1585862
149,1996-08-05,4.827468,4.884598,4.827468,4.856033,1.814885,1020046
150,1996-08-06,4.998857,5.027422,4.913163,4.970293,1.857587,2401986
151,1996-08-07,4.913163,5.084552,4.913163,5.055987,1.900977,1287419
152,1996-08-08,5.027422,5.027422,4.913163,4.941728,1.858017,658150
153,1996-08-09,4.941728,4.941728,4.856033,4.884598,1.836538,169351
154,1996-08-12,4.913163,4.913163,4.856033,4.856033,1.825797,627956
155,1996-08-13,4.884598,4.913163,4.856033,4.856033,1.825797,574569
156,1996-08-14,4.884598,4.884598,4.827468,4.884598,1.836538,849819
157,1996-08-15,4.856033,4.970293,4.856033,4.970293,1.868757,540874
158,1996-08-16,4.970293,4.970293,4.913163,4.941728,1.858017,299318
159,1996-08-19,4.941728,5.027422,4.941728,5.027422,1.890237,428848
160,1996-08-20,5.055987,5.198812,5.055987,5.141682,1.933197,1037987
161,1996-08-21,5.141682,5.170247,5.055987,5.113117,1.922458,523807
162,1996-08-22,5.113117,5.198812,5.113117,5.170247,1.943937,419221
163,1996-08-23,5.170247,5.170247,5.055987,5.084552,1.911716,362333
164,1996-08-26,5.113117,5.113117,4.998857,4.998857,1.879496,284878
165,1996-08-27,4.970293,4.970293,4.856033,4.913163,1.847277,953093
166,1996-08-28,4.913163,4.913163,4.798903,4.856033,1.825797,340890
167,1996-08-29,4.827468,4.856033,4.741773,4.827468,1.815056,450290
168,1996-08-30,4.827468,4.856033,4.770338,4.827468,1.815056,345704
169,1996-09-03,4.827468,4.913163,4.813186,4.884598,1.836538,660338
170,1996-09-04,4.884598,4.884598,4.798903,4.798903,1.804317,624893
171,1996-09-05,4.827468,4.884598,4.798903,4.827468,1.815056,590322
172,1996-09-06,4.827468,4.884598,4.827468,4.856033,1.825797,815686
